 251 ; Медаль В память войны 1853-1856. D-28мм ;  ;  ; Ж/м ; XF+ ; 33 ; Blister ; 4970 
 646 ; 10 пенни ; 1917 ; Финляндия. Орёл ; Cu ; XF ; 30 ; satyrn1 ; 368 
 647 ; 5 пенни ; 1865 ; Финляндия ; Cu ; F-VF ; 14 ; alex995 ; 89 
 648 ; 5 пенни ; 1866 ; Финляндия ; Cu ; VF- ; 56 ; pvg ; 199 
 649 ; 5 пенни ; 1867 ; Финляндия ; Cu ; F-VF ; 10 ; admiral ; 109 
 650 ; 5 пенни ; 1872 ; Финляндия ; Cu ; F+ ; 22 ; sonegr ; 252 
 651 ; 5 пенни ; 1873 ; Финляндия ; Cu ; VF- ; 20 ; sonegr ; 123 
 652 ; 5 пенни ; 1875 ; Финляндия ; Cu ; VF ; 20 ; RuByLa ; 258 
 653 ; 5 пенни ; 1889 ; Финляндия ; Cu ; VF- ; 44 ; pvg ; 231 
 654 ; 5 пенни ; 1897 ; Финляндия ; Cu ; VF- ; 13 ; admiral ; 108 
 655 ; 5 пенни ; 1898 ; Финляндия ; Cu ; VF+ ; 38 ; solder13 ; 159 
 656 ; 5 пенни ; 1899 ; Финляндия ; Cu ; VF+ ; 21 ; RuByLa ; 215 
 557 ; Денга ; 1737 ;  ; Cu ; F- ; 21 ; 55-55 ; 50 
 558 ; Денга ; 1738 ;  ; Cu ; F ; 23 ; 55-55 ; 55 
 559 ; Денга ; 1741 ;  ; Cu ; F-VF ; 31 ; 2262н ; 196 
 560 ; Денга ; 1741 ;  ; Cu ; F-VF ; 4 ; yurrgen ; 65 
 561 ; Денга ; 1746 ;  ; Cu ; F-VF ; 31 ; crackjack ; 113 
 562 ; Денга ; 1747 ;  ; Cu ; VF- ; 5 ; 104 кг ; 145 
 563 ; Денга ; 1748 ;  ; Cu ; VF+ ; 70 ; Корсар ; 354 
 564 ; Денга ; 1748 ;  ; Cu ; F ; 24 ; С Урала ; 57 
 565 ; Денга ; 1749 ;  ; Cu ; F-VF ; 35 ; kostik_ne ; 98 
 566 ; Денга ; 1750 ;  ; Cu ; F-VF ; 26 ; Rjn ; 59 
 567 ; Денга ; 1750 ;  ; Cu ; F-VF ; 48 ; gandy ; 133 
 568 ; Денга ; 1751 ;  ; Cu ; F+ ; 6 ; С Урала ; 47 
 569 ; Денга ; 1769 ; КМ "Сибирь" ; Cu ; F ; 69 ; Papa Smurf ; 567 
 570 ; Денга ; 1771 ; ЕМ ; Cu ; VF ; 46 ; fgd ; 918 
 571 ; Денга ; 1784 ; КМ ; Cu ; F ; 11 ; 16 ; 815 
 572 ; Денга ; 1786 ; ЕМ ; Cu ; F ; 13 ; gaz ; 306 
 573 ; Денга ; 1787 ; КМ ; Cu ; F-VF ; 86 ; Drill ; 3059 
 574 ; Денга ; 1794 ; ЕМ ; Cu ; VG ; 24 ; kostik_ne ; 108 
 575 ; Денга ; 1795 ; ЕМ ; Cu ; VG ; 10 ; kostik_ne ; 108 
 576 ; Денга (Петров-1р, Ильин-1р) ; 1795 ; КМ ; Cu ; F-VF ; 88 ; ком ; 1658 
 577 ; Деньга (Петров-4р, Ильин-3р) ; 1813 ; КМ АМ ; Cu ; F+ ; 80 ; 26140 ; 1569 
 578 ; Деньга ; 1814 ; ИМ ПС ; Cu ; F-VF ; 79 ; MDV ; 744 
 579 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 103 ; SSK ; 952 
 580 ; 1/2 копейки ; 1839 ; СМ ; Cu ; G ; 36 ; Олег33 ; 176 
 581 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; VF- ; 38 ; ssss ; 167 
 582 ; 1/2 копейки ; 1842 ; ЕМ ; Cu ; F+ ; 92 ; ssss ; 340 
 583 ; 1/2 копейки ; 1843 ; СМ ; Cu ; F ; 77 ; ssss ; 165 
 584 ; 1/2 копейки ; 1845 ; СМ ; Cu ; VF- ; 69 ; volod ; 236 
 585 ; Денежка ; 1851 ; ЕМ ; Cu ; VF-XF ; 42 ; SergeyAnatoljevich ; 1888 
 586 ; Денежка ; 1855 ; ЕМ ; Cu ; VF ; 60 ; icebreaker ; 608 
 587 ; Денежка ; 1857 ; ЕМ ; Cu ; F- ; 48 ; kostik_ne ; 173 
 588 ; Денежка ; 1858 ; ЕМ ; Cu ; F ; 40 ; ML ; 157 
 589 ; Денежка ; 1859 ; ЕМ ; Cu ; F ; 23 ; Exctas ; 181 
 590 ; 1/2 копейки ; 1873 ; ЕМ ; Cu ; VF- ; 72 ; 26140 ; 1832 
 591 ; 1/2 копейки ; 1897 ; СПБ ; Cu ; VF+ ; 36 ; gaz ; 104 
 592 ; 1/2 копейки ; 1899 ; СПБ ; Cu ; VF+ ; 26 ; сократ ; 79 
 593 ; 1/2 копейки ; 1909 ; СПБ ; Cu ; AU ; 41 ; Корсар ; 420 
 594 ; 1/2 копейки ; 1911 ; СПБ ; Cu ; VF-XF ; 40 ; gaz ; 116 
 595 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; AU ; 34 ; gaz ; 153 
 596 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; VF+ ; 28 ; ML ; 126 
 597 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; VF-XF ; 22 ; gaz ; 126 
 598 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; XF+ ; 64 ; kostik_ne ; 107 
 599 ; 1/2 копейки ; 1913 ; СПБ ; Cu ; AU ; 14 ; novikoff12006 ; 309 
 600 ; 1/2 копейки ; 1914 ; СПБ ; Cu ; AU ; 17 ; Doca ; 310 
 601 ; 1/2 копейки ; 1915 ;  ; Cu ; AU ; 32 ; Ronald ; 468 
 602 ; Полушка ; 1720 ;  ; Cu ; F ; 9 ; kostik_ne ; 186 
 603 ; Полушка ; 1731 ; Орёл 1730 г. ; Cu ; VF ; 69 ; УФА ; 88 
 604 ; Полушка ; 1731 ; Орёл 1730 г. ; Cu ; VF ; 38 ; Antromis ; 177 
 605 ; Полушка ; 1735 ; Орёл 1735 г. ; Cu ; F+ ; 39 ; Northman ; 114 
 606 ; Полушка ; 1736 ; Орёл 1735 г. ; Cu ;  ; 66 ; 1dima_s ; 239 
 507 ; Копейка ; 1819 ; КМ АД ; Cu ; F-VF ; 28 ; SSK ; 323 
 508 ; Копейка ; 1820 ; КМ АД ; Cu ; F+ ; 25 ; никсер ; 153 
 509 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; F ; 19 ; kostik_ne ; 63 
 510 ; Копейка ; 1827 ; ЕМ ИК ; Cu ; VF ; 66 ; света ; 805 
 511 ; Копейка ; 1828 ; КМ АМ ; Cu ; VF- ; 21 ; sibiryak62 ; 225 
 512 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; F+ ; 26 ; ML ; 197 
 513 ; Копейка ; 1835 ; ЕМ ФХ ; Cu ; F-VF ; 100 ; Олег33 ; 329 
 514 ; Копейка ; 1839 ; СМ ; Cu ; VF- ; 59 ; suren ; 1551 
 515 ; Копейка ; 1840 ; СПМ ; Cu ; VF ; 44 ; ssss ; 167 
 516 ; Копейка ; 1841 ; СПМ ; Cu ; VF ; 11 ; 1dima_s ; 126 
 517 ; Копейка ; 1842 ; СПМ ; Cu ; VF+ ; 30 ; Doca ; 290 
 518 ; Копейка ; 1843 ; ЕМ ; Cu ; F ; 7 ; kostik_ne ; 67 
 519 ; Копейка ; 1852 ; ЕМ ; Cu ; VF- ; 45 ; 224000 ; 400 
 520 ; Копейка ; 1856 ; ВМ ; Cu ; VF ; 26 ; eugraphus ; 1240 
 521 ; Копейка ; 1858 ; ЕМ ; Cu ; VF ; 51 ; Корсар ; 403 
 522 ; Копейка ; 1861 ; ЕМ ; Cu ; F-VF ; 43 ; Корсар ; 210 
 523 ; Копейка ; 1862 ; ЕМ ; Cu ; F+ ; 22 ; никсер ; 309 
 524 ; Копейка ; 1864 ; ЕМ ; Cu ; VF ; 45 ; suren ; 297 
 525 ; Копейка ; 1877 ; СПБ ; Cu ; VF ; 22 ; никсер ; 411 
 526 ; Копейка ; 1878 ; СПБ ; Cu ; VF- ; 15 ; max2008 ; 306 
 527 ; Копейка ; 1882 ; СПБ ; Cu ; F-VF ; 10 ; sikachai ; 158 
 528 ; Копейка ; 1886 ; СПБ ; Cu ; XF- ; 84 ; gri 1971 ; 1700 
 529 ; Копейка ; 1898 ; СПБ ; Cu ; VF-XF ; 55 ; ML ; 319 
 530 ; Копейка ; 1901 ; СПБ ; Cu ; F ; 57 ; сократ ; 80 
 531 ; Копейка ; 1902 ; СПБ ; Cu ; VF ; 75 ; volodia1953 ; 1646 
 532 ; Копейка ; 1903 ; СПБ ; Cu ; VF- ; 48 ; С Урала ; 48 
 533 ; Копейка. Надпилы гурта ; 1904 ; СПБ ; Cu ; F- ; 3 ; С Урала ; 14 
 534 ; Копейка ; 1905 ; СПБ ; Cu ; VF ; 24 ; cond ; 83 
 535 ; Копейка ; 1908 ; СПБ ; Cu ; XF+ ; 33 ; lora ; 128 
 536 ; Копейка ; 1909 ; СПБ ; Cu ; F-VF ; 37 ; Northman ; 37 
 537 ; Копейка ; 1911 ; СПБ ; Cu ; XF- ; 55 ; 10 ; 59 
 538 ; Копейка ; 1911 ; СПБ ; Cu ; VF ; 19 ; zamtex ; 36 
 539 ; Копейка ; 1912 ; СПБ ; Cu ; XF/AU ; 64 ; novikoff12006 ; 245 
 540 ; Копейка ; 1913 ; СПБ ; Cu ; XF- ; 32 ; westof ; 55 
 541 ; Копейка ; 1913 ; СПБ ; Cu ; VF+ ; 48 ; lgvspb ; 51 
 542 ; Копейка ; 1913 ; СПБ ; Cu ; VF-XF ; 26 ; yurrgen ; 47 
 543 ; Копейка ; 1913 ; СПБ ; Cu ; XF+ ; 75 ; SSK ; 102 
 544 ; Копейка ; 1914 ; СПБ ; Cu ; XF- ; 47 ; dragonfly ; 48 
 545 ; Копейка ; 1914 ; СПБ ; Cu ; AU ; 22 ; SSK ; 160 
 546 ; Копейка ; 1915 ;  ; Cu ; XF+ ; 48 ; westof ; 62 
 547 ; Копейка ; 1915 ;  ; Cu ; AU ; 81 ; cheta ; 214 
 548 ; Копейка ; 1915 ;  ; Cu ; XF+ ; 49 ; westof ; 79 
 549 ; Копейка ; 1915 ;  ; Cu ; AU ; 7 ; cheta ; 453 
 550 ; Копейка ; 1916 ;  ; Cu ; AU ; 23 ; elefant1965 ; 138 
 551 ; Копейка ; 1916 ;  ; Cu ; VF ; 19 ; Димы42 ; 82 
 552 ; Денга ; 1731 ;  ; Cu ; F+ ; 4 ; asnik ; 66 
 553 ; Денга ; 1731 ;  ; Cu ; F-VF ; 12 ; IORANA ; 60 
 554 ; Денга ; 1731 ;  ; Cu ; VF+ ; 37 ; 104 кг ; 159 
 555 ; Денга ; 1734 ;  ; Cu ; F+ ; 19 ; gav1980 ; 118 
 556 ; Денга ; 1735 ;  ; Cu ; F+ ; 56 ; Iskatel ; 61 
 457 ; 2 копейки ; 1813 ; ЕМ НМ ; Cu ; F-VF ; 53 ; С Урала ; 57 
 458 ; 2 копейки ; 1813 ; ИМ ПС ; Cu ; F-VF ; 35 ; Doca ; 123 
 459 ; 2 копейки ; 1813 ; ИМ ПС ; Cu ; VF ; 67 ; AntoxaBV ; 113 
 460 ; 2 копейки ; 1813? ; ИМ ПС ; Cu ; VF- ; 29 ; 55-55 ; 63 
 461 ; 2 копейки ; 1814 ; ЕМ НМ ; Cu ; F+ ; 39 ; kostik_ne ; 77 
 462 ; 2 копейки ; 1814 ; ИМ ПС ; Cu ; VF ; 31 ; volod ; 114 
 463 ; 2 копейки ; 1814 ; ИМ ПС ; Cu ; VF ; 57 ; AntoxaBV ; 126 
 464 ; 2 копейки ; 1814 ; ИМ ПС ; Cu ; VF ; 33 ; taa ; 187 
 465 ; 2 копейки ; 1815 ; ЕМ НМ ; Cu ; F-VF ; 21 ; kostik_ne ; 61 
 466 ; 2 копейки ; 1816 ; КМ АМ ; Cu ; F-VF ; 77 ; sikachai ; 143 
 467 ; 2 копейки ; 1817 ; КМ АМ ; Cu ; F-VF ; 51 ; volod ; 108 
 468 ; 2 копейки ; 1818 ; КМ ДБ ; Cu ; F+ ; 40 ; kostik_ne ; 77 
 469 ; 2 копейки ; 1819 ; КМ АД ; Cu ; F- ; 11 ; kostik_ne ; 56 
 470 ; 2 копейки ; 1821 ; КМ АД ; Cu ; VG ; 28 ; Poiuyt ; 114 
 471 ; 2 копейки ; 1822 ; КМ АМ ; Cu ; VF ; 35 ; 1dima_s ; 327 
 472 ; 2 копейки ; 1824 ; КМ АМ ; Cu ; F-VF ; 33 ; sikachai ; 283 
 473 ; 2 копейки ; 1825 ; КМ АМ ; Cu ; VF- ; 17 ; Poiuyt ; 129 
 474 ; 2 копейки ; 1826 ; ЕМ ИК ; Cu ; F-VF ; 20 ; volod ; 126 
 475 ; 2 копейки (Ильин-1р) ; 1828 ; КМ АМ ; Cu ; VF- ; 59 ; Zakhapisty ; 453 
 476 ; 2 копейки (Ильин-1р) ; 1828 ; КМ АМ ; Cu ; VG ; 72 ; Al0851 ; 117 
 477 ; 2 копейки ; 1830 ; КМ АМ ; Cu ; F+ ; 23 ; Ритм ; 347 
 478 ; 2 копейки ; 1831 ; СМ ; Cu ; F-VF ; 63 ; SSK ; 334 
 479 ; 2 копейки ; 1837 ; ЕМ НА ; Cu ; VF- ; 38 ; Iskatel ; 254 
 480 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; F-VF ; 49 ; kostik_ne ; 134 
 481 ; 2 копейки ; 1838 ; СМ ; Cu ; F-VF ; 69 ; benc ; 627 
 482 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF- ; 24 ; 1dima_s ; 453 
 483 ; 2 копейки ; 1841 ; ЕМ ; Cu ; VF ; 7 ; трулебас ; 416 
 484 ; 2 копейки ; 1841 ; СМ ; Cu ; VF- ; 22 ; SSK ; 408 
 485 ; 2 копейки ; 1845 ; СМ ; Cu ; VF ; 22 ; SSK ; 670 
 486 ; 2 копейки ; 1847 ; СМ ; Cu ; VF ; 23 ; Корсар ; 567 
 487 ; 2 копейки ; 1859 ; ЕМ ; Cu ; VF ; 55 ; кве ; 1459 
 488 ; 2 копейки ; 1870 ; ЕМ ; Cu ; VF+ ; 55 ; Маша-растеряша ; 1181 
 489 ; 2 копейки ; 1909 ; СПБ ; Cu ; F+ ; 15 ; С Урала ; 36 
 490 ; 2 копейки ; 1912 ; СПБ ; Cu ; XF- ; 39 ; ALEXXXANGEL ; 81 
 491 ; 2 копейки ; 1914 ; СПБ ; Cu ; XF/AU ; 81 ; ALEXXXANGEL ; 143 
 492 ; 2 копейки ; 1915 ;  ; Cu ; XF ; 50 ; crackjack ; 107 
 493 ; Копейка ; 1710 ; ·Б· К· ; Cu ; F- ; 109 ; Doca ; 2392 
 494 ; Копейка ; 1714 ; НД ; Cu ; F-VF ; 55 ; $$$ ; 1071 
 495 ; Копейка ; 1728 ;  ; Cu ; F+ ; 45 ; VVBraun ; 2489 
 496 ; Копейка ; 1757 ;  ; Cu ; F+ ; 69 ; gandy ; 408 
 497 ; Копейка ; 1758 ;  ; Cu ; F+ ; 12 ; gandy ; 408 
 498 ; Копейка ; 1768 ; КМ "Сибирь" ; Cu ; VG ; 29 ; kostik_ne ; 199 
 499 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; F+ ; 25 ; коваль ; 350 
 500 ; Копейка (Петров-1,25р) ; 1779 ; КМ "Сибирь" ; Cu ; VG ; 52 ; Zakhapisty ; 614 
 501 ; Копейка ; 1799 ; ЕМ ; Cu ; VF+ ; 72 ; Ronald ; 594 
 502 ; Копейка ; 1800 ; ЕМ ; Cu ; F+ ; 17 ; kostik_ne ; 71 
 503 ; Копейка ; 1801 ; ЕМ ; Cu ; F+ ; 19 ; Northman ; 97 
 504 ; Копейка ; 1801 ; ЕМ ; Cu ; VG ; 33 ; rem16 ; 117 
 505 ; Копейка ; 1818 ; КМ АД ; Cu ; F ; 9 ; MDV ; 99 
 506 ; Копейка ; 1819 ; ЕМ НМ ; Cu ; F ; 34 ; kostik_ne ; 54 
 407 ; 5 копеек ; 1912 ; СПБ ; Cu ; VF ; 60 ; SSK ; 2823 
 408 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF- ; 49 ; shneyder ; 1426 
 409 ; 3 копейки ; 1883 ; СПБ ; Cu ; VF- ; 28 ; loyig ; 240 
 410 ; 3 копейки ; 1905 ; СПБ ; Cu ; VF- ; 106 ; peck ; 261 
 411 ; 3 копейки ; 1907 ; СПБ ; Cu ; VF- ; 76 ; АЦТЕК ; 765 
 412 ; 3 копейки ; 1908 ; СПБ ; Cu ; VF+ ; 39 ; kostik_ne ; 84 
 413 ; 3 копейки ; 1911 ; СПБ ; Cu ; VF ; 3 ; yurrgen ; 153 
 414 ; 3 копейки ; 1912 ; СПБ ; Cu ; VF+ ; 31 ; 16 ; 185 
 415 ; 3 копейки ; 1912 ; СПБ ; Cu ; XF ; 82 ; Nikolay75 ; 136 
 416 ; 3 копейки ; 1913 ; СПБ ; Cu ; VF- ; 36 ; Northman ; 72 
 417 ; 3 копейки ; 1913 ; СПБ ; Cu ; VF ; 73 ; westof ; 108 
 418 ; 3 копейки ; 1914 ; СПБ ; Cu ; XF ; 69 ; crackjack ; 123 
 419 ; 3 копейки ; 1915 ;  ; Cu ; XF ; 40 ; kostik_ne ; 111 
 420 ; 3 копейки ; 1915 ;  ; Cu ; XF+ ; 30 ; ALEXXXANGEL ; 92 
 421 ; 3 копейки ; 1916 ;  ; Cu ; AU ; 36 ; avs ; 357 
 422 ; 3 копейки ; 1916 ;  ; Cu ; XF- ; 54 ; Димы42 ; 134 
 423 ; 3 копейки ; 1916 ;  ; Cu ; XF ; 38 ; порт ; 123 
 424 ; Копейка ; 1840 ; СПМ ; Cu ; VF ; 30 ; sikachai ; 209 
 425 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; F+ ; 30 ; Майкл ; 784 
 426 ; 2 копейки ; 1758 ;  ; Cu ; F-VF ; 41 ; skupoy ; 186 
 427 ; 2 копейки ; 1758 ; Гурт надп. Екатер. ; Cu ; F-VF ; 45 ; A1 ; 1521 
 428 ; 2 копейки ; 1759 ;  ; Cu ; F-VF ; 89 ; skupoy ; 1180 
 429 ; 2 копейки ; 1762 ;  ; Cu ; F- ; 65 ; rev ; 2313 
 430 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF ; 74 ; Rosomaxa ; 1548 
 431 ; 2 копейки ; 1766 ; ММ ; Cu ; VF- ; 52 ; dpb ; 1670 
 432 ; 2 копейки ; 1795 ; ЕМ ; Cu ; F-VF ; 22 ; yurrgen ; 973 
 433 ; 2 копейки ; 1797 ; КМ ; Cu ; VF ; 26 ; dem ; 691 
 434 ; 2 копейки ; 1798 ; КМ ; Cu ; VF ; 38 ; dem ; 665 
 435 ; 2 копейки ; 1798 ; ЕМ ; Cu ; VF ; 38 ; Димы42 ; 206 
 436 ; 2 копейки ; 1798 ; ЕМ ; Cu ; VF- ; 54 ; admiral ; 146 
 437 ; 2 копейки ; 1799 ; КМ ; Cu ; VF ; 21 ; dem ; 663 
 438 ; 2 копейки ; 1799 ; КМ ; Cu ; VF+ ; 15 ; Ronald ; 765 
 439 ; 2 копейки ; 1800 ; ЕМ ; Cu ; VF ; 54 ; volod ; 151 
 440 ; 2 копейки ; 1801 ; ЕМ ; Cu ; F-VF ; 34 ; джон007 ; 211 
 441 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 118 ; icebreaker ; 2243 
 442 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF- ; 42 ; gaz ; 296 
 443 ; 2 копейки (Ильин-1р) ; 1810 ; ЕМ НМ ; Cu ; VF- ; 50 ; тру ; 3832 
 444 ; 2 копейки ; 1810 ; КМ ; Cu ; VF- ; 22 ; Олег2401 ; 179 
 445 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; F ; 43 ; AntoxaBV ; 215 
 446 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF+ ; 44 ; Zakhapisty ; 348 
 447 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; VF+ ; 14 ; 55-55 ; 100 
 448 ; 2 копейки ; 1811 ; СПБ ПС ; Cu ; VF ; 18 ; 55-55 ; 94 
 449 ; 2 копейки. Аверс-реверс - 45 градусов ; 1811 ; СПБ ПС ; Cu ; VF ; 35 ; АЛЕКСАНДРЪ ; 381 
 450 ; 2 копейки ; 1811 ; ИМ МК ; Cu ; VF- ; 93 ; win.gradoff ; 209 
 451 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; F-VF ; 38 ; Northman ; 65 
 452 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; VF ; 24 ; zxc2112 ; 65 
 453 ; 2 копейки ; 1812 ; СПБ ПС ; Cu ; VF+ ; 41 ; 439 ; 187 
 454 ; 2 копейки ; 1812 ; СПБ ПС ; Cu ; VF- ; 40 ; AntoxaBV ; 153 
 455 ; 2 копейки ; 1812 ; ИМ ПС ; Cu ; VF ; 6 ; leo 2 ; 102 
 456 ; 2 копейки ; 1812 ; ИМ ПС ; Cu ; VF ; 90 ; AntoxaBV ; 144 
 357 ; 5 копеек ; 1778 ; ЕМ ; Cu ; VF ; 62 ; eugraphus ; 281 
 358 ; 5 копеек ; 1779 ; ЕМ ; Cu ; VF ; 38 ; sever2010 ; 225 
 359 ; 5 копеек ; 1779 ; ЕМ ; Cu ; VF- ; 65 ; wertu ; 201 
 360 ; 5 копеек ; 1779 ; ЕМ ; Cu ; VF+ ; 67 ; 1dima_s ; 387 
 361 ; 5 копеек ; 1780 ; ЕМ ; Cu ; VF+ ; 68 ; taa ; 235 
 362 ; 5 копеек ; 1780 ; ЕМ ; Cu ; VF ; 20 ; Ghjcnj ; 227 
 363 ; 5 копеек ; 1780 ; ЕМ ; Cu ; VF ; 18 ; Недорого ; 211 
 364 ; 5 копеек ; 1781 ; ЕМ ; Cu ; F-VF ; 45 ; Корсар ; 173 
 365 ; 5 копеек ; 1781 ; ЕМ ; Cu ; VF+ ; 24 ; Майкл ; 227 
 366 ; 5 копеек ; 1782 ; ЕМ ; Cu ; VF ; 81 ; dnk8 ; 227 
 367 ; 5 копеек ; 1782 ; ЕМ ; Cu ; VF- ; 40 ; dnk8 ; 203 
 368 ; 5 копеек ; 1783 ; ЕМ ; Cu ; VF ; 26 ; grisha2401 ; 222 
 369 ; 5 копеек ; 1783 ; ЕМ ; Cu ; VF+ ; 85 ; solder13 ; 317 
 370 ; 5 копеек ; 1784 ; ЕМ ; Cu ; VF- ; 81 ; alex33vl ; 237 
 371 ; 5 копеек ; 1785 ; ЕМ ; Cu ; VF+ ; 59 ; Димы42 ; 293 
 372 ; 5 копеек ; 1785 ; ЕМ ; Cu ; VF ; 75 ; eugraphus ; 227 
 373 ; 5 копеек ; 1786 ; ЕМ ; Cu ; VF ; 7 ; zoom30 ; 227 
 374 ; 5 копеек ; 1786 ; ЕМ ; Cu ; VF+ ; 91 ; solder13 ; 227 
 375 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF ; 77 ; Andrei2007 ; 227 
 376 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF ; 55 ; dnk8 ; 290 
 377 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF ; 47 ; 1dima_s ; 282 
 378 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF ; 57 ; Rjn ; 193 
 379 ; 5 копеек ; 1788 ; КМ ; Cu ; VF+ ; 31 ; sikachai ; 2700 
 380 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF ; 68 ; Недорого ; 189 
 381 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF ; 49 ; Недорого ; 194 
 382 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF+ ; 114 ; 1dima_s ; 278 
 383 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF ; 81 ; dnk8 ; 313 
 384 ; 5 копеек ; 1790 ; АМ ; Cu ; VF ; 29 ; Недорого ; 616 
 385 ; 5 копеек ; 1790 ; АМ ; Cu ; VF- ; 28 ; Aleks72 ; 486 
 386 ; 5 копеек ; 1790 ; ЕМ ; Cu ; VF+ ; 48 ; 1dima_s ; 565 
 387 ; 5 копеек ; 1790 ; ЕМ ; Cu ; VF+ ; 120 ; solder13 ; 347 
 388 ; 5 копеек ; 1791 ; ЕМ ; Cu ; VF+ ; 30 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 405 
 389 ; 5 копеек ; 1791 ; ЕМ ; Cu ; VF+ ; 73 ; ForeverYoung ; 359 
 390 ; 5 копеек ; 1791 ; АМ ; Cu ; VF ; 37 ; Aleks72 ; 538 
 391 ; 5 копеек ; 1791 ; АМ ; Cu ; VF+ ; 36 ; Aleks72 ; 650 
 392 ; 5 копеек ; 1792 ; ЕМ ; Cu ; VF+ ; 47 ; 1dima_s ; 514 
 393 ; 5 копеек ; 1792 ; ЕМ ; Cu ; VF- ; 45 ; Оптимус ; 295 
 394 ; 5 копеек ; 1793 ; ЕМ ; Cu ; VF ; 39 ; Майкл ; 384 
 395 ; 5 копеек ; 1793 ; АМ ; Cu ; VF ; 51 ; MDV ; 701 
 396 ; 5 копеек ; 1794 ; АМ ; Cu ; VF-XF ; 18 ; SSK ; 905 
 397 ; 5 копеек ; 1795 ; ЕМ ; Cu ; VF+ ; 13 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 612 
 398 ; 5 копеек ; 1796 ; ЕМ ; Cu ; VF+ ; 46 ; Andr89 ; 2000 
 399 ; 5 копеек ; 1803 ; ЕМ ; Cu ; F ; 16 ; lsp25 ; 920 
 400 ; 5 копеек (Петров-5р, Ильин-3р) ; 1809 ; КМ ; Cu ; VF- ; 65 ; OMT ; 10594 
 401 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF- ; 90 ; Гриша ; 431 
 402 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 58 ; SSK ; 2346 
 403 ; 5 копеек ; 1837 ; ЕМ КТ ; Cu ; VF ; 25 ; 55-55 ; 567 
 404 ; 5 копеек ; 1838 ; ЕМ НА ; Cu ; VG ; 44 ; bvm1504 ; 329 
 405 ; 5 копеек ; 1864 ; ЕМ ; Cu ; F-VF ; 15 ; AVLid ; 650 
 406 ; 5 копеек ; 1911 ; СПБ ; Cu ; VF+ ; 59 ; gaz ; 960 
 307 ; Лот монет России (3шт): 20к,15к ; 1912,1915 ;  ; Ag ; XF/VF ; 34 ; jimmysu ; 341 
 308 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 85 ; ramik321 ; 3333 
 309 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; F- ; 105 ; benc ; 4321 
 310 ; 5 копеек ; 1758 ;  ; Cu ; VF ; 39 ; lsp25 ; 308 
 311 ; 5 копеек ; 1758 ;  ; Cu ; VF- ; 17 ; alex33vl ; 192 
 312 ; 5 копеек ; 1758 ;  ; Cu ; F-VF ; 22 ; skupoy ; 521 
 313 ; 5 копеек (Петров-1р, Ильин-1р) ; 1759 ; ММ ; Cu ; F-VF ; 32 ; alex33vl ; 351 
 314 ; 5 копеек ; 1759 ;  ; Cu ; F-VF ; 15 ; alex33vl ; 220 
 315 ; 5 копеек ; 1760 ;  ; Cu ; VF- ; 101 ; ForeverYoung ; 672 
 316 ; 5 копеек ; 1760 ;  ; Cu ; VF ; 41 ; vjacha ; 413 
 317 ; 5 копеек ; 1761 ;  ; Cu ; F-VF ; 15 ; gaz ; 217 
 318 ; 5 копеек ; 1761 ;  ; Cu ; F-VF ; 37 ; admiral ; 308 
