 1153 ; Медаль "Преуспевающему". Для выпускников мужских гимназий. М-24,76г. D-32мм ;  ;  ; Au ; XF+ ; 7 ; Продано в зале ; 82500 
 1166 ; Знак Спутник ; ЛМД ;  ; Ж/м ; XF- ; 8 ; Григорий ; 57 
 1167 ; Знак Спутник ; ММД ;  ; Al ; XF- ; 9 ; avt ; 68 
 1168 ; Знак Государственный университет ; ЛМД ;  ; Ж/м,эмаль ; XF ; 46 ; slavka ; 200 
 1169 ; Знак Фестиваль молодежи Беларусь ; 1957 ;  ; Ж/м,эмаль ; XF- ; 20 ; avt ; 357 
 1170 ; Знак Отличник соц соревнования Украинская ССР ;  ;  ; Ж/м,эмаль ; XF ; 25 ; avt ; 333 
 1171 ; Знак 30 лет комсомола ;  ;  ; Ж/м,эмаль ; F-VF ; 53 ; veektor ; 184 
 1172 ; Знак 30 лет комсомола ;  ;  ; Ж/м,эмаль ; VF- ; 109 ; пепел ; 614 
 1173 ; Знак За участие в сооружении комсомольских шахт ;  ;  ; Ж/м,эмаль ; XF- ; 20 ; avt ; 424 
 1174 ; Знак Фестиваль молодежи Казахстана ;  ;  ; Ж/м,эмаль ; XF- ; 40 ; avt ; 257 
 1075 ; Медаль Национальной ассоциации бывших военнопленных "За доблестный труд". Бельгия ;  ;  ; Ж/м ; XF+ ; 46 ; daniz ; 214 
 1076 ; Медаль "Братство по оружию". Польша ;  ;  ; Б/м ; VF-XF ; 105 ; daniz ; 679 
 1077 ; Медаль "Общественное поощрение". Франция ;  ;  ; Б/м,эмаль ; XF ; 2 ; кузин ; 204 
 1078 ; Медаль "Битва солдат Советской армии". Польша ;  ;  ; Б/м ; VF-XF ; 55 ; lsp25 ; 309 
 1079 ; Медаль. 5-й год правления. Ватикан, Папа Бенедикт XV (1914-1922). D-44мм ; 1918 ;  ; Ag ; XF- ; 55 ; Gorizn ; 4078 
 1080 ; Медаль. Назначение мэром Парижа астролога Байи. Франция, 1-я республика. D-42мм ; 1789 ;  ; Br ; XF- ; 21 ; plis ; 3723 
 1081 ; Жетон. Шампань. Аркебузеры Труа. Франция, Людовик XVI (1774-1793). D-30мм ; ND ;  ; Br в Ag ; F-VF ; 40 ; Lena6975 ; 786 
 1082 ; Жетон. Франция. D-31мм ; 1760 ;  ; Ag ; VF ; 63 ; нэри ; 1953 
 1083 ; Жетон. Зимние Олимпийские игры в Нагано ; 1998 ;  ; Cu-Ni ; Proof ; 52 ; Педант ; 57 
 1084 ; Жетон. Повелитель морей. Великобритания. Елизавета II ; ND ;  ; Cu-Ni ; XF ; 33 ; MATATOA ; 310 
 1085 ; Жетон. Людовик XV. Франция ; ND ;  ; Br ; VF- ; 8 ; гвоздика6 ; 171 
 1086 ; Жетон игральный. Великобритания. Виктория - королева ; ND ;  ; Br ; VF+ ; 22 ; MATATOA ; 135 
 1087 ; Модель жетона для Французских колоний в Америке. Людовик XV. Летящий меркурий ; 20 век ;  ; Cu-Ni ; AU ; 32 ; штырь ; 671 
 1088 ; Модель жетона для Французских колоний в Америке (Канада). Летящий меркурий. Бобры строят дамбу ; 20 век ;  ; Cu ; AU ; 4 ; штырь ; 349 
 1089 ; Модель жетона для Французских колоний в Америке (Канада). Людовик XV. Бобры троят дамбу ; 20 век ;  ; Cu-Ni ; AU ; 24 ; штырь ; 393 
 1090 ; Жетон. Коронационный. Великобритания. Эдуард VII и Александра. Большой герб Англии ; 1902 ;  ; Br ; VF ; 36 ; lesnik1 ; 279 
 1091 ; Жетон овальный. Пресвитерианская церковь. North taieri "Делай это в память обо мне" ; ND ;  ; Zn ; VF ; 18 ; MATATOA ; 97 
 1092 ; Жетон. Англия, Королева Виктория ;  ;  ; Ж/м ; XF ; 28 ; MATATOA ; 227 
 1093 ; Жетон для Ганновера. Игральный. Виктория ; ND ;  ; Br ; VF ; 10 ; фёкла ; 169 
 1094 ; Жетон. Людовик XV. Франция ; ND ;  ; Br ; VF ; 39 ; MATATOA ; 459 
 1095 ; Жетон. Мария Терезия. Австрийская Бельгия ; 1780 ;  ; Cu ; VF ; 23 ; MATATOA ; 484 
 1096 ; Медаль. Европа. 50 лет Атомиуму Брюсселя. D-35мм ;  ;  ; Би/м ; AU ; 4 ; DmitriyNK ; 136 
 1097 ; Медаль. Европа. Европейский парламент. D-35мм ;  ;  ; Би/м ; AU ; 4 ; DmitriyNK ; 136 
 1098 ; Медаль. Европейский трибунал. D-35мм ;  ;  ; Би/м ; AU ; 4 ; DmitriyNK ; 136 
 1099 ; Жетон спортивный. Германия ? ; 1933 ;  ; Br,серебрение ; VF+ ; 58 ; 206811 ; 468 
 1100 ; Медаль. Иоанн Павел II. D-37мм ;  ;  ; Ж/м ; AU ; 17 ; rekaSvir ; 68 
 1101 ; Медаль. Школа-интернат. Швеция ; 1928 ;  ; Br ; XF ; 4 ; Gorizn ; 45 
 1102 ; Медаль. Венгрия. D-70мм ;  ;  ; Ж/м ; AU ; 57 ; kotyamoi ; 96 
 1103 ; Медаль. Рига. D-61мм. В коробке ;  ;  ; Ж/м ; AU ; 58 ; Хакас ; 115 
 1104 ; Медаль. Армия спортивного общества. Германия. D-60мм ;  ;  ; Б/м ; VF-XF ; 33 ; Ивпага ; 90 
 1105 ; Знак. Финляндия ;  ;  ; Ag ; VF+ ; 8 ; SadKo ; 171 
 1106 ; Знак. Финляндия ;  ;  ; Ag,эмаль ; VF ; 7 ; dimikum ; 138 
 1107 ; Знак. Финляндия ; 1889 ;  ; Ag ; VF+ ; 8 ; барсик ; 135 
 1108 ; Знак. Финляндия ;  ;  ; Ag ; VF ; 17 ; кузин ; 157 
 1109 ; Знак иностраннный ;  ;  ; Ж/м ; XF ; 4 ; Григорий ; 33 
 1110 ; Знак Швеция ;  ;  ; Ж/м ; XF ; 32 ; SadKo ; 61 
 1111 ; Знак. Карл Микаэль Бельман. Швеция ;  ;  ; Ж/м ; XF ; 10 ; Григорий ; 25 
 1112 ; Знак Швеция ;  ;  ; Ж/м ; XF ; 8 ; SadKo ; 49 
 1113 ; Знак Швеция ;  ;  ; Ж/м ; XF ; 5 ; allur65 ; 23 
 1114 ; Знак Швеция ;  ;  ; Ж/м ; VF-XF ; 5 ; allur65 ; 34 
 1115 ; Знак "Отличный командующий" "золото". Польша ;  ;  ; Ж/м,эмаль ; XF ; 65 ; allur65 ; 204 
 1116 ; Знак "Отличный командующий" "серебро". Польша ;  ;  ; Б/м,эмаль ; XF ; 72 ; allur65 ; 161 
 1117 ; Знак "Отличный командующий" "збронза". Польша ;  ;  ; Ж/м,эмаль ; XF ; 65 ; allur65 ; 169 
 1118 ; Знак "Отличный кадет" "золото". Польша ;  ;  ; Ж/м,эмаль ; XF- ; 47 ; allur65 ; 160 
 1119 ; Знак "Отличный кадет" "серебро". Польша ;  ;  ; Б/м,эмаль ; VF ; 8 ; baumanets ; 153 
 1120 ; Знак "Отличный матрос" "серебро" (малый). Польша ;  ;  ; Б/м,эмаль ; VF ; 12 ; allur65 ; 128 
 1121 ; Знак "Отличный солдат" "бронза". Польша ;  ;  ; Ж/м,эмаль ; VF ; 20 ; Григорий ; 31 
 1122 ; Знак "Отличный солдат" "бронза" (малый). Польша ;  ;  ; Ж/м,эмаль ; VF ; 4 ; aviator ; 14 
 1123 ; Медаль "В декабрее стоимость 1 фунта хлеба - 260 миллиардов, 1 фунт мяса - 32 биллиона, 1 золотая марка - 1 биллион". Германия. D-32мм ; 1923 ;  ; Ж/м ; XF ; 66 ; orient ; 828 
 1124 ; Медаль "В ноябре стоимость 1 фунта хлеба - 80 миллиардов, 1 фунт мяса - 900 миллиардов, 1 стакан пива - 52 миллиарда". Германия. D-32мм ; 1923 ;  ; Ж/м ; XF- ; 93 ; 206811 ; 971 
 1025 ; Медаль. 100 лет товариществу передвижников (1871-1971). D-60мм ; ММД1973 ;  ; Ж/м ; AU ; 28 ; Sacha777 ; 500 
 1026 ; Медаль.150 лет Александру Николаевичу Островскому (1823-1886). D-60мм ; 1973ЛМД ;  ; Ж/м ; XF ; 54 ; sportmini ; 1122 
 1027 ; Медаль. 350 лет со дня рождения Ж.Б. Мольера. D-60мм ; 1973 ;  ; Ж/м ; AU ; 36 ; 61243 ; 1291 
 1028 ; Медаль. 250 лет Свердловску (1723-1973). D-77мм ;  ;  ; Ж/м ; XF+ ; 88 ; sportmini ; 2550 
 1029 ; Медаль. Варшавский договор. D-75мм ; 1980ММД ;  ; Ж/м ; XF+ ; 38 ; plis ; 1418 
 1030 ; Медаль. 500 лет со дня рождения Альбрехта Дюрера (1471-1528). D-60мм ; 1974ММД ;  ; Ж/м ; AU ; 51 ; Sacha777 ; 1301 
 1031 ; Медаль. Ленинградский Горный институт (1773-1973). Медальер А.Королюк. D-59мм ; ЛМД ;  ; Ж/м ; XF ; 37 ; 61243 ; 995 
 1032 ; Медаль 150 лет. Всесоюзному минералогическому обществу. Медальер Н.Соколов. D-57мм ;  ;  ; Al ; VF+ ; 56 ; Vjik ; 248 
 1033 ; Медаль Ленинградская картографическая фабрика. D-64мм. В коробке ;  ;  ; Al ; AU ; 42 ; Ивпага ; 203 
 1034 ; Медаль 462-477гг. Грузия?. D-91мм ;  ;  ; Al ; VF+ ; 76 ; Вахтанги ; 308 
 1035 ; Медаль За высокие спортивные достижения. Медальер Архипов. D-65мм ; 1992ЛМД ;  ; Ж/м ; XF+ ; 36 ; 61243 ; 357 
 1036 ; Медаль СПб. Игры доброй воли. D-48мм ;  ;  ; Б/м ; VF-XF ; 25 ; опричник ; 79 
 1037 ; Плакетка односторонняя (накладка). В.И.Ленин. Р-ры: 66 на 65мм ;  ;  ; Б/м ; VF ; 44 ; RUS77 ; 215 
 1038 ; Медаль. Лев Толстой 1828-1910гг. Медальер И.Постол. D-60мм ; 1978ЛМД ;  ; Ж/м ; AU ; 17 ; Игорь Викторович ; 419 
 1039 ; Медаль. Морфлот СССР. Азовское морское пароходство. D-60мм ;  ;  ; Ж/м ; XF ; 21 ; gandy ; 108 
 1040 ; Накладка. Ленин. Р-ры: 50 на 70мм ;  ;  ; Al ; VF ; 12 ; Ивпага ; 113 
 1041 ; Медаль. Чемпионат СНГ по легкой атлетике. D-60мм ; ЛМД ;  ; Ж/м ; AU ; 15 ; plis ; 352 
 1042 ; Медаль. 750 лет Битве на Неве. Медальер Харитонов. D-52мм ; 1990ЛМД ;  ; Ж/м ; AU ; 14 ; coincollector ; 1000 
 1043 ; Медаль. Родившейся на земле Ленинградской. Упаковка. D-45мм ; ЛМД ;  ; Б/м ; Unc ; 17 ; Десна ; 126 
 1044 ; Орден "Военных заслуг" III степени с фрачной миниатюрой и планкой. Югославия. В коробке, с документом ;  ;  ; Ag,эмаль,Б/м ; XF ; 22 ; Lasto4kaSPB ; 5041 
 1045 ; Орден Труда III степени. Югославия. В коробке, с планкой ;  ;  ; Б/м ; VF+ ; 78 ; alexander9595 ; 1329 
 1046 ; Медаль "За Отличные Достижения в Органах Внутренних Дел" с планкой . ГДР. В коробке ;  ;  ; Ж/м ; XF ; 53 ; Barabek ; 161 
 1047 ; Крест Сентябрьской компании 1939года. Польша ;  ;  ; Б/м ; XF- ; 16 ; triha ; 1887 
 1048 ; Медаль Победы и Свободы. Польша ;  ;  ; Ж/м ; XF ; 3 ; Майкл ; 261 
 1049 ; Красный крест 2 степени. Польша ;  ;  ; Б/м,эмаль ; VF-XF ; 48 ; alektax ; 854 
 1050 ; Орден 9-го сентября с мечами 2 степени. Болгария ;  ;  ; Ж/м,эмаль ; XF- ; 32 ; k212 ; 1237 
 1051 ; Орден 9-го сентября без мечей 2 степени. Болгария ;  ;  ; Ж/м,эмаль ; XF+ ; 29 ; alexander9595 ; 999 
 1052 ; Орден Кирилла и Мефодия 1 степени. Болгария ;  ;  ; Ж/м,эмаль ; VF-XF ; 6 ; aviator ; 231 
 1053 ; Медаль 30 лет службы в МВД. ЧССР ;  ;  ; Ж/м ; VF+ ; 49 ; veektor ; 269 
 1054 ; Медаль участнику Словацкого восстания. ЧССР ;  ;  ; Ж/м ; VF-XF ; 15 ; Георг ; 787 
 1055 ; Медаль "За войну Продолжение" (для финов). Финляндия ;  ;  ; Br ; XF+ ; 31 ; volod ; 577 
 1056 ; Крест Заслуг 1 степени. Польша ;  ;  ; Ж/м,эмаль ; XF ; 40 ; aviator ; 365 
 1057 ; Крест Заслуг 2 степени. Польша ;  ;  ; Бм,эмаль ; XF ; 14 ; santan93 ; 252 
 1058 ; Крест Заслуг 3 степени. Польша ;  ;  ; Ж/м ; XF ; 5 ; vitapool ; 164 
 1059 ; Медаль "40 лет Народной Польше". Польша ;  ;  ; Б/м ; XF ; 23 ; veektor ; 72 
 1060 ; Медаль "За участие в оборонительной войне". Польша ;  ;  ; Б/м ; XF ; 32 ; volod ; 410 
 1061 ; Медаль "За долголетнюю супружескую жизнь". Польша ;  ;  ; Б/м,эмаль ; XF ; 23 ; 206811 ; 809 
 1062 ; Медаль "За похваль" "Бенджамин Франклин". США ;  ;  ; Ж/м ; XF ; 119 ; a_kog ; 675 
 1063 ; Медаль "Зимний спорт". ГДР ;  ;  ; Б/м ; XF ; 13 ; veektor ; 74 
 1064 ; Крест Гинденбурга  без мечей (для некомбатантов). Германия ; 1933 ;  ; Fe, бронзирован ; XF ; 14 ; triha ; 787 
 1065 ; Крест Гинденбурга  c мечами. Германия. На оригинальной парадной колодке ; 1933 ;  ; Fe, бронзирован ; XF ; 34 ; triha ; 1501 
 1066 ; Медаль "За Верную Службу в Войсках МВД" (бронза). ГДР ;  ;  ; Ж/м ; XF ; 21 ; Barabek ; 161 
 1067 ; Медаль "За Верную Службу в Войсках МВД" (серебро). ГДР ;  ;  ; Б/м ; XF ; 16 ; Майкл ; 185 
 1068 ; Медаль "За заслуги" с планкой. ГДР ;  ;  ; Б/м ; XF ; 13 ; BADDY ; 257 
 1069 ; Медаль Лессинга "За заслуги". ГДР ;  ;  ; Б/м ; AU ; 50 ; BADDY ; 114 
 1070 ; Медаль Песталоцци "серебряная" "За верную службу". ГДР ;  ;  ; Б/м ; AU ; 26 ; Григорий ; 92 
 1071 ; Крест Гинденбурга с мечами. Германия ; 1МВ ;  ; Ж/м ; VF+ ; 23 ; alexander9595 ; 521 
 1072 ; Медаль "За 20 лет Службы в Народной Полиции" (золото) с планкой. ГДР ;  ;  ; Ж/м ; AU ; 48 ; Barabek ; 129 
 1073 ; Медаль "За Зимнюю войну" с планкой "Karjalan Kannas". Финляндия ;  ;  ; Fe ; XF ; 31 ; 206811 ; 1775 
 1074 ; Орден "За воинские заслуги". Румыния ;  ;  ; Ж/м,эмаль ; VF-XF ; 31 ; alexander9595 ; 227 
 975 ; Медаль. В память всероссийской выставки в Москве 1882г. D-45мм ;  ;  ; Br ; F-VF ; 41 ; lesnik1 ; 539 
 976 ; Медаль в память 300-летия дома Романовых (1613-1913). D-29мм ;  ;  ; Ж/м ; AU ; 11 ; 439 ; 2042 
 977 ; Медаль "300 лет Дому Романовых 1613-1913гг". D-28мм ;  ;  ; Br ; XF- ; 194 ; lesnik1 ; 1323 
 978 ; Медаль "За Русско-Японскую войну 1904-1905гг". D-28мм ;  ;  ; Br ; VF ; 40 ; alexander9595 ; 1283 
 979 ; Медаль "За Русско-Японскую войну 1904-1905гг". D-28мм. Частная чеканка ;  ;  ; Br ; AU ; 64 ; Десна ; 2010 
 980 ; Медаль "В память Турецкой войны 1877-1878". D-26мм ;  ;  ; Br ; F-VF ; 46 ; RVS ; 2600 
 981 ; Медаль "В память 100-летия Отечественной войны 1812-1912ггг". D-28мм ;  ;  ; Br ; XF/AU ; 16 ; baumanets ; 2200 
 982 ; Медаль "В память Крымской войны 1853-1856гг". D-28мм ;  ;  ; Br ; VF+ ; 68 ; alexander9595 ; 2013 
 983 ; Народная медаль "Преобразователь". D-28мм ;  ;  ; Br ; VF+ ; 24 ; alexander9595 ; 1029 
 984 ; Жетон. В память 100-летнего юбилей. Ремесленная выставка в Москве. D-28мм ;  ;  ; Br ; XF ; 40 ; валенок ; 2113 
 985 ; Жетон "В память Великой войны" ; 1914 ;  ; Br ; AU ; 66 ; srr283 ; 2706 
 986 ; Жетон. В память коронации Николая II. D-29мм ; 1896 ;  ; Br ; VF+ ; 57 ; долгово ; 2593 
 987 ; Жетон. 300 лет Дому Романовых 1613-1913гг. D-26мм ;  ;  ; Br ; XF+ ; 79 ; 439 ; 2680 
 988 ; Жетон. В память коронации Николая II. D-25мм ; 1896 ;  ; Б/м ; VF-XF ; 48 ; triha ; 2652 
 989 ; Жетон. Иоанн Кронштадский. D-28мм ;  ;  ; Br ; XF+ ; 84 ; долгово ; 1428 
 990 ; Жетон. В память открытия мощей Св. Феодосия. D-28мм ; 1896 ;  ; Br ; VF+ ; 61 ; triha ; 1300 
 991 ; Жетон. В память всероссийской художественной и промышленной выставки. D-28мм ; 1896 ;  ; Br ; VF- ; 23 ; Dмитрий ; 528 
 992 ; Жетон. 200 лет основания СПб. D-24мм ;  ;  ; Br ; VF-XF ; 98 ; валенок ; 1603 
 993 ; Медаль "Русские братьям-полякам". D-24мм ; 1914 ;  ; Br ; XF+ ; 64 ; долгово ; 2827 
 994 ; Медаль "В единении сила". Геройскому и благородному бельгийскому народу. D-24мм ; 1914 ;  ; Ag ; VF-XF ; 48 ; alexander9595 ; 3938 
 995 ; Жетон. Уральское общество любителей естествознания. D-27мм ;  ;  ; Б/м ; VF-XF ; 74 ; валенок ; 1151 
 996 ; Жетон. В память коронации Николая II. D-28мм ; 1896 ;  ; Б/м ; XF- ; 52 ; долгово ; 1881 
 997 ; Жетон. 100-летие Отечественной войны 1812-1912гг. D-26мм ;  ;  ; Б/м ; VF-XF ; 66 ; Vaneev ; 2289 
 998 ; Жетон. Первая русская специально-нумизматическая фирма "Монеты и Медали". D-30мм ;  ;  ; Б/м ; XF+ ; 29 ; валенок ; 3035 
 999 ; Медаль "серебряная" "За отличные успехи в учении, труде и за примерное поведение" РСФСР. D-40мм ;  ;  ; Б/м ; XF ; 28 ; Опятор ; 362 
 1000 ; Медаль "серебряная" "За отличные успехи и примерное поведение" РСФСР. D-31мм ;  ;  ; Ag ; XF+ ; 35 ; аптекаръ ; 1028 
 1001 ; Медаль "серебряная". За особые успехи в учении. Российская Федерация. D-39мм ; Образец 1995г ;  ; Б/м ; AU ; 13 ; нэри ; 419 
 1002 ; Жетон "Франция - Россия". D-23мм ; 1893 ;  ; Ag,эмаль ; VF ; 82 ; валенок ; 3865 
 1003 ; Жетон среднего учебного заведения?. Р-ры: 22 на 36мм ;  ;  ; Ag,эмаль ; VF- ; 64 ; greckc ; 4294 
 1004 ; Жетон. Почтовая марка 7 копеек. Р-ры: 17,5 на 23мм ;  ;  ; Ag,эмаль ; VF-XF ; 45 ; 335 ; 6075 
 1005 ; Медаль (5 унций серебра). Защита природы. D-60мм. В коробке ; 1987ЛМД ;  ; Ag999 ; Proof ; 81 ; S12345 ; 5669 
 1006 ; Медаль. 50 лет Белорусской ССР (1919-1969). D-65мм. В коробке ;  ;  ;  ; XF ; 34 ; 61243 ; 1224 
 1007 ; Медаль разоружения. D-51мм. Ссертификатом ;  ;  ; Ж/м ; AU ; 82 ; Хакас ; 531 
 1008 ; Медаль. Российский комитет ветеранов войны.D-60мм. В оригинальной коробке ;  ;  ; Б/м ; XF- ; 33 ; foxmuld ; 104 
 1009 ; Медаль. Медный всадник. Скульптор Э. Фальконе.D-54мм ;  ;  ; Al ; XF- ; 10 ; пенсионер ; 34 
 1010 ; Медаль. Медаль в память 100-летия со дня рождения А.С.Пушкина. Медальер Скуднов. D-66мм ;  ;  ; Br ; VF ; 90 ; barbarossa ; 2304 
 1011 ; Медаль. Памятник вечной славы защитникам Ленинграда в 1941-1944гг. D-60мм ;  ;  ; Ж/м ; AU ; 31 ; foxmuld ; 368 
 1012 ; Медаль. Петропавловская крепость. D-60мм ; ЛМД ;  ; Ж/м ; AU ; 37 ; Ивпага ; 416 
 1013 ; Медаль. Сибирская ссылка В.И. Ленина Шушенское 1980г. D-55мм ;  ;  ; Ж/м ; VF+ ; 20 ; himik121 ; 166 
 1014 ; Медаль. Краснознаменный Северный  флот  50 лет (1933-1983). D-70мм ;  ;  ; Ж/м ; AU ; 51 ; Sacha777 ; 718 
 1015 ; Медаль. Министерство обороны СССР. От ВС. D-74мм ; ЛМД ;  ; Ж/м ; XF+ ; 48 ; derbnik ; 600 
 1016 ; Медаль. Роберт Николаевич фон Вирен (1856-1917гг). D-59мм ;  ;  ; Ж/м ; AU ; 32 ; dimikum ; 1001 
 1017 ; Медаль. 30 лет присвоения 1-му ИАК гвардии (1943-1973). Любовь к Родине, преданность КПСС, мужество, отвага, верность присяге. D-60мм ;  ;  ; Ж/м, серебр ; VF-XF ; 20 ; 206811 ; 941 
 1018 ; Медаль. 500 лет Благовещенскому собору. D-65мм ; ММД ;  ; Ж/м ; AU ; 23 ; ANDREYMAG ; 439 
 1019 ; Медаль. Кыргыз ССР (1924-1984). D-70мм ; 1984ЛМД ;  ; Ж/м, эмаль ; XF+/AU ; 32 ; 61243 ; 1383 
 1020 ; Медаль. Василий Иванович Суриков (1848-1916). D-60мм ;  ;  ; Ж/м ; XF+ ; 16 ; sportmini ; 376 
 1021 ; Медаль. В ознаменование 100-летия со дня рождения И.В. Мичурина (1855-1955). D-50мм ;  ;  ; Ж/м ; VF-XF ; 126 ; 61243 ; 909 
 1022 ; Медаль. 90 лет Хамза Хакимзода Ниезий (1889-1979). D-60мм ; 1979ММД ;  ; Ж/м ; VF+ ; 32 ; 61243 ; 771 
 1023 ; Медаль. 1000 лет г. Брянск (985-1985). D-65мм ; ЛМД ;  ; Ж/м ; XF+ ; 32 ; 61243 ; 1450 
 1024 ; Медаль. 150 лет со дня рождения великого русского ученому Д.И. Менделееву (1834-1907). D-60мм ; 1983ЛМД ;  ; Ж/м ; AU ; 35 ; 61243 ; 638 
 891 ; Триспельхер. Ливония, Шведская оккупация, Густав Адольф ; 1623 ;  ; Ag ; F+ ; 52 ; 161rus ; 88 
 892 ; 1 эре. Швеция ; 17 век ;  ; Cu ; F ; 37 ; sergey51 ; 373 
 893 ; Монета средневековая. Польша? ;  ;  ; Cu ; F+ ; 89 ; grot ; 905 
 894 ; Солид. Литва, Ян Казимир. М-1,36гр ; 1660 ;  ; Cu ; F+ ; 40 ; taigist ; 115 
 895 ; Солид. Литва, Ян Казимир. М-1,33гр ; 1660 ;  ; Cu ; F+ ; 33 ; zoom30 ; 67 
 896 ; Солид. Литва, Ян Казимир ; 1660-ег ;  ; Cu ; F ; 1 ; 555650 ; 42 
 897 ; 1/2 драхмы. Табаристан. М-2,07гр ;  ;  ; Ag ; VF ; 51 ; swimen ; 1020 
 898 ; Монета средневековая. М-0,30гр ;  ;  ; Ag ; F-VF ; 58 ; himak ; 179 
 899 ; 1 донг "шуньтянь юаньбао", гладкий. Аннам, Династия Поздняя Ле. D-25мм ; 1428-1433 ;  ; Br ; F ; 14 ; kotyamoi ; 90 
 900 ; 1 донг "цзинсин тунбао" "чжун" 6ч. Аннам, Династия Поздняя Ле. D-24мм ; 1740-1786 ;  ; Br ; F ; 27 ; von_Schwarz ; 104 
 901 ; 1 донг "тяньшэн юаньбао", гладкий. Аннам, Династия Мо. D-21,5мм ; 1638-1677 ;  ; Br ; F ; 31 ; Sterh ; 37 
 902 ; 1 донг "цзялун тунбао", звезда 3ч. Аннам, Династия Юань. D-23мм ; 1802-1819 ;  ; Br ; F-VF ; 12 ; Aleks72 ; 114 
 903 ; 1 цянь "циннин тунбао", гладкий. Китай, Государство Ляо. D-26мм ; 1055-1065 ;  ; Br ; F ; 27 ; S1952 ; 816 
 904 ; 2 цяня "цзядин тунбао" "ци" 12ч. Китай, Династия Южная Сун. D-29мм ; 1208-1224 ;  ; Br ; F ; 10 ; lsp25 ; 99 
 905 ; 2 цяня "шаодин тунбао" "у" 12ч. Китай, Династия Южная Сун. D-29мм ; 1228-1234 ;  ; Br ; F+ ; 19 ; Slava O ; 258 
 906 ; 2 цяня "чунью тунбао" "эр" 6ч. Китай, Династия Южная Сун. D-29мм ; 1241-1253 ;  ; Br ; F ; 27 ; lsp25 ; 131 
 907 ; 1 цянь "дуаньпин тунбао" "юань" 12ч. Китай, Династия Южная Сун. D-23,5мм ; 1234-1237 ;  ; Br ; F+ ; 8 ; Гордиан ; 306 
 908 ; 2 цяня "цяньдао юаньбао" "тун" 12ч. Китай, Династия Южная Сун. D-27мм ; 1165-1174 ;  ; Fe ; F ; 13 ; Slava O ; 340 
 909 ; 2 цяня "цзядин тунбао" "хань ши сы". Китай, Династия Южная Сун. D-28мм ; 1208-1224 ;  ; Fe ; F ; 16 ; Slava O ; 325 
 910 ; 5 цяней "цзятай тунбао", гладкий. Китай, Династия Южная Сун. D-34мм ; 1201-1205 ;  ; Br ; F ; 30 ; Slava O ; 680 
 911 ; 5 цяней "цзядин юаньбао" "си эр у". Китай, Династия Южная Сун. D-35мм ; 1208-1224 ;  ; Fe ; VG ; 24 ; Гордиан ; 450 
 912 ; 3 цяня "дасун юаньбао" "си сань". Китай, Династия Южная Сун. D-33мм ; 1225-1227 ;  ; Fe ; VG ; 32 ; S1952 ; 459 
 913 ; 1 цянь "дачжун тунбао" "чжэ"12ч. Китай, Восстания XIV. D-24,5мм ; 1367 ;  ; Br ; F ; 23 ; Гордиан ; 340 
 914 ; 3 цяня "чжичжэн тунбао" "гуй" 12ч. Китай, Династия Юань. D-34,5мм ; 1341-1367 ;  ; Br ; F ; 27 ; Slava O ; 1122 
 915 ; 5 цяней "хунъу тунбао" "у цянь" 3ч. Китай. Династия Мин. D-41мм. М-21гр ; 1368-1398 ;  ; Br ; F ; 30 ; Георг ; 1011 
 916 ; 1 цянь "чунчжэн тунбао" "и цянь" 3ч. Китай, Династия Мин. D-23,5мм ; 1628-1643 ;  ; Br ; F-VF ; 10 ; Slava O ; 366 
 917 ; 1 цянь "чунчжэн тунбао" "ли" 6ч. Китай, Династия Мин. D-25мм ; 1628-1643 ;  ; Br ; F-VF ; 8 ; Slava O ; 230 
 918 ; 1 цянь "юнчжэн тунбао" "боо хэ". Провинция Хэнань (Кайфэн). Китай, Династия Цин. D-26мм ; 1723-1735 ;  ; Br ; F-VF ; 41 ; Slava O ; 181 
 919 ; 5 цяней "сяньфэн чжунбао" "боо ювань дан у". Министерство работ (Бэйян). Китай, Династия Цин. D-27мм ; 1851-1861 ;  ; Br ; F-VF ; 15 ; lsp25 ; 380 
 920 ; 1 цянь "тунчжи тунбао" "шан боо дун" и солнце 6ч. Провинция Шаньдун (Цзинань). Китай, Династия Цин. D-20,5мм ; 1862-1874 ;  ; Br ; F-VF ; 17 ; Slava O ; 344 
 921 ; 1 цянь "тунчжи тунбао" "боо чжэ". Провинция Чжэцзян (Ханьчжоу). Китай, Династия Цин. D-21,5мм ; 1862-1874 ;  ; Br ; F-VF ; 34 ; smel ; 128 
 922 ; 10 цяней "тунчжи тунбао". Провинция Синьцзян (Куча). Китай, Династия Цин. D-26мм ; 1862-1874 ;  ; Cu ; F ; 9 ; Гордиан ; 207 
 923 ; 1 цянь. Китай, Восстания XIX века. Дунгано-уйгурское (джунгарское) восстание. Сейид Гази Рашаддин-хан. D-25мм ; 1863-1867 ;  ; Cu ; F ; 39 ; von_Schwarz ; 561 
 924 ; 10 цяней "гуансюй тунбао". Провинция Синьцзян (Куча). Китай, Династия Цин. D-26,5мм ; 1875-1908 ;  ; Cu ; F ; 35 ; Георг ; 340 
 925 ; 5 цяней "гуансюй тунбао" "боо су дан у". Провинция Цзянси (Сучжоу). Китай, Династия Цин. D-28мм ; 1875-1908 ;  ; Cu ; F-VF ; 17 ; Slava O ; 258 
