 3247 ; Бона иностранная ;  ;  ;  ;  ; 28 ; latuza48186 ; 67 
 1449 ; 15 копеек ; 1925 ;  ; Ag ; VF- ; 25 ; Arkhangel ; 51 
 1450 ; 5 копеек ; 1931 ;  ; Br ; VF+ ; 11 ; Luidor ; 16 
 1451 ; 5 копеек ; 1946 ;  ; Br ; VF ; 13 ; Poiuyt ; 27 
 1452 ; 5 копеек ; 1955 ;  ; Br ; F ; 1 ; obob999 ; 2 
 1453 ; 3 копейки ; 1931 ;  ; Br ; VF-XF ; 47 ; tss ; 49 
 1454 ; 3 копейки ; 1932 ;  ; Br ; F-VF ; 11 ; vlkorchev ; 12 
 1455 ; 3 копейки ; 1933 ;  ; Br ; VF- ; 11 ; vlkorchev ; 30 
 1456 ; 2 копейки ; 1928 ;  ; Br ; VF+ ; 30 ; marsel ; 41 
 1457 ; 2 копейки ; 1937 ;  ; Br ; VF-XF ; 17 ; evgen72 ; 48 
 1458 ; 20 копеек ; 1935 ; л/с звезда плоская ; Ni ; VF-XF ; 31 ; vlkorchev ; 62 
 1459 ; 20 копеек ; 1938 ; л/с звезда плоская ; Ni ; XF+ ; 79 ; topotun ; 341 
 1460 ; 20 копеек ; 1939 ;  ; Ni ; VF-XF ; 64 ; badiba-coin ; 209 
 1461 ; 20 копеек ; 1943 ; л/с звезда плоская ; Ni ; XF+ ; 29 ; topotun ; 319 
 1462 ; 15 копеек ; 1936 ;  ; Ni ; XF- ; 26 ; vlkorchev ; 41 
 1463 ; 10 копеек ; 1925 ;  ; Ag ; F-VF ; 34 ; Arkhangel ; 42 
 1464 ; 10 копеек ; 1924 ;  ; Ag ; VF- ; 53 ; Олег33 ; 128 
 1465 ; Набор монет "50лет советской власти" (5шт): 1р, 50к, 20к, 15к, 10к ; 1967 ;  ; Cu/Ni ; XF ; 30 ; alien ; 157 
 1466 ; Лот монет СССР: 5 копеек, 10 копеек (5шт) ; 1931-1978 ;  ; Ni,Br,Cu/Z ; F+/VF+ ; 7 ; Shrrv ; 21 
 1467 ; Лот монет СССР: 2,3,20 коп (4шт) ; 1929-1946 ;  ; Br,Ni ; F-VF/VF- ; 13 ; obob999 ; 35 
 1468 ; 2 копейки ; 1926 ;  ; Br ; VF+ ; 36 ; vlkorchev ; 44 
 1469 ; 2 копейки ; 1928 ;  ; Br ; VF+ ; 45 ; tavitrof ; 57 
 1470 ; 2 копейки ; 1930 ;  ; Br ; F+ ; 10 ; ForeverYoung ; 10 
 1471 ; 2 рубля "Тула" ; 2000ММД ;  ; Cu/Ni ; AU ; 4 ; ЧИС ; 15 
 1472 ; 20 копеек ; 1924 ;  ; Ag ; VF+ ; 66 ; ForeverYoung ; 125 
 1473 ; 20 копеек ; 1941 ; л/с звезда плоская ; Ni ; XF+ ; 31 ; marsel ; 165 
 1474 ; 20 копеек ; 1975 ;  ; Cu-Ni ; VF+ ; 19 ; PVA13 ; 693 
 1475 ; 15 копеек ; 1934 ;  ; Ni ; F-VF ; 26 ; kolobok ; 408 
 1476 ; 15 копеек ; 1945 ;  ; Ni ; VF+ ; 39 ; Иван Фокич ; 128 
 1477 ; 10 копеек ; 1935 ;  ; Ni ; VF-XF ; 46 ; жаба ; 126 
 1478 ; 10 копеек ; 1940 ;  ; Ni ; VF-XF ; 2 ; да ; 180 
 1479 ; 5 копеек ; 1926 ;  ; Br ; VF+ ; 47 ; 60 ; 410 
 1480 ; 5 копеек ; 1929 ;  ; Br ; F+ ; 4 ; Иван Фокич ; 15 
 1481 ; 5 копеек ; 1937 ;  ; Br ; VF- ; 19 ; да ; 175 
 1482 ; 5 копеек ; 1938 ;  ; Br ; VF ; 42 ; mul ; 950 
 1483 ; 5 копеек ; 1939 ;  ; Br ; F-VF ; 29 ; да ; 137 
 1484 ; 5 копеек ; 1943 ;  ; Br ; VF- ; 3 ; 60 ; 88 
 1485 ; 5 копеек ; 1945 ;  ; Br ; F-VF ; 61 ; да ; 176 
 1486 ; 5 копеек ; 1948 ;  ; Br ; VF+ ; 51 ; solder13 ; 146 
 1487 ; 5 копеек ; 1948 ;  ; Br ; VF ; 34 ; badiba-coin ; 155 
 1488 ; 2 копейки ; 1930 ;  ; Br ; VF-XF ; 5 ; marsel ; 79 
 1489 ; 1 копейка ; 1926 ;  ; Br ; VF-XF ; 27 ; solder13 ; 306 
 1490 ; 1 копейка ; 1930 ;  ; Br ; VF-XF ; 50 ; PVA13 ; 1003 
 1491 ; 1 копейка ; 1933 ;  ; Br ; VF-XF ; 31 ; marsel ; 132 
 1492 ; 1 копейка ; 1934 ;  ; Br ; VF-XF ; 54 ; PVA13 ; 1045 
 1493 ; 1 копейка ; 1936 ;  ; Br ; VF-XF ; 34 ; marsel ; 35 
 1494 ; 1 копейка ; 1950 ;  ; Br ; VF ; 7 ; Simpaga ; 81 
 1495 ; 1 копейка ; 1961 ;  ; Cu-Zn ; VF+ ; 11 ; Poiuyt ; 27 
 1396 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской ; Cu-Ni ; Proof ; 26 ; vovan100 ; 255 
 1397 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Купа ; Cu-Ni ; Proof ; 20 ; romchik_80 ; 128 
 1398 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.На ; Cu-Ni ; Proof ; 32 ; sergant83 ; 200 
 1399 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Ив ; Cu-Ni ; AU ; 13 ; vovan100 ; 35 
 1400 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами ; Cu-Ni ; AU ; 18 ; spbra ; 25 
 1401 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прок ; Cu-Ni ; AU ; 9 ; romchik_80 ; 50 
 1402 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Ле ; Cu-Ni ; XF ; 15 ; sandy ; 25 
 1403 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; VF+ ; 15 ; vovan100 ; 28 
 1404 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.То ; Cu-Ni ; AU ; 17 ; romchik_80 ; 32 
 1405 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ле ; Cu-Ni ; VF-XF ; 12 ; vovan100 ; 18 
 1406 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Ле ; Cu-Ni ; AU ; 24 ; spbra ; 30 
 1407 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагар ; Cu-Ni ; AU ; 31 ; vovan100 ; 104 
 1408 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 11 ; vovan100 ; 82 
 1409 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 11 ; romchik_80 ; 21 
 1410 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Му ; Cu-Ni ; AU ; 15 ; fpd7 ; 15 
 1411 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пу ; Cu-Ni ; AU ; 17 ; vovan100 ; 48 
 1412 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Ча ; Cu-Ni ; AU ; 7 ; drn137 ; 29 
 1413 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ле ; Cu-Ni ; AU ; 36 ; fpd7 ; 83 
 1414 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Ци ; Cu-Ni ; AU ; 17 ; fpd7 ; 22 
 1415 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 23 ; romchik_80 ; 37 
 1416 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 17 ; romchik_80 ; 105 
 1417 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 16 ; romchik_80 ; 102 
 1418 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 28 ; bcs ; 102 
 1419 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 19 ; romchik_80 ; 42 
 1420 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 7 ; vovan100 ; 45 
 1421 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; AU ; 13 ; romchik_80 ; 61 
 1422 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 19 ; bcs ; 33 
 1423 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 13 ; romchik_80 ; 74 
 1424 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Е ; Cu-Ni ; AU ; 7 ; romchik_80 ; 102 
 1425 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 31 ; Мишок ; 218 
 1426 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 33 ; Dimm ; 173 
 1427 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Ча ; Cu-Ni ; Proof ; 22 ; igor_r65 ; 183 
 1428 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 19 ; DE MON ; 204 
 1429 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скор ; Cu-Ni ; Proof ; 19 ; DE MON ; 89 
 1430 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Купа ; Cu-Ni ; AU ; 9 ; hellraiser ; 203 
 1431 ; 1 рубль ; 1992 ; 200 лет со дня рождения Н.И.Ло ; Cu-Ni ; proof ; 26 ; VR62 ; 167 
 1432 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; proof ; 39 ; vatom22 ; 224 
 1433 ; 3 рубля ; 1995 ; 50 лет освобождения Будапешта ; Cu-Ni ; proof ; 30 ; marsel ; 306 
 1434 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Кола ; Cu-Ni ; AU ; 20 ; hellraiser ; 518 
 1435 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райн ; Cu-Ni ; AU ; 19 ; romchik_80 ; 25 
 1436 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Ци ; Cu-Ni ; AU ; 15 ; spbra ; 26 
 1437 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF ; 5 ; spbra ; 17 
 1438 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райн ; Cu-Ni ; AU ; 22 ; spbra ; 35 
 1439 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.То ; Cu-Ni ; AU ; 16 ; spbra ; 25 
 1440 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Му ; Cu-Ni ; AU ; 18 ; spbra ; 31 
 1441 ; 10 рублей ; 2004 ; СПМД 60 лет Победы в ВОВ ; биметалл ; AU ; 8 ; sot ; 17 
 1442 ; 100 рублей ; 1992 ; ММД биметалл ; Cu-Ni ; AU ; 65 ; wladimir1972 ; 2040 
 1443 ; 100 рублей ; 1992 ; ЛМД биметалл ; Cu-Ni ; AU ; 22 ; topotun ; 85 
 1444 ; 2 рубля ; 2001СПМД ; Ю.Гагарин ; Cu-Ni ; AU ; 14 ; Uncle ; 15 
 1445 ; 20 копеек ; 1933 ;  ; Ni ; XF ; 16 ; vlkorchev ; 57 
 1346 ; 10 копеек ; 1929 ;  ; Ag ; AU ; 29 ; jenic ; 201 
 1347 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; VF- ; 18 ; Олег33 ; 132 
 1348 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; F-VF ; 21 ; vlkorchev ; 108 
 1349 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VF+ ; 42 ; armon ; 306 
 1350 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF+ ; 24 ; marsik ; 122 
 1351 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F+ ; 19 ; obob999 ; 40 
 1352 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F ; 19 ; obob999 ; 36 
 1353 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F+ ; 3 ; Инвестор ; 37 
 1354 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F ; 3 ; obob999 ; 21 
 1355 ; Полкопейки ; 1925 ;  ; Cu ; VF-XF ; 24 ; Олег33 ; 474 
 1356 ; Полкопейки ; 1925 ;  ; Cu ; F-VF ; 5 ; Инвестор ; 214 
 1357 ; Полкопейки ; 1927 ;  ; Cu ; XF+ ; 47 ; SERGEJ ; 761 
 1358 ; Полкопейки ; 1927 ;  ; Cu ; F+ ; 22 ; papa3 ; 288 
 1359 ; 50 копеек ; 1946 ; о.Шпицберген ; б.м. ; VF-XF ; 81 ; win.gradoff ; 1863 
 1360 ; 15 копеек ; 1946 ; о.Шпицберген ; Вr ; VF-XF ; 69 ; vitalik-s ; 1863 
 1361 ; 10 копеек ; 1946 ; о.Шпицберген ; Br ; VF-XF ; 71 ; astronotus ; 1879 
 1362 ; 2 копейки. Брак чеканки ; 1980 ;  ; Cu-Zn ; XF+ ; 71 ; vladimir232 ; 106 
 1363 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Наво ; Cu-Ni ; VF-XF ; 60 ; crazybober ; 1134 
 1364 ; 5 копеек ; 2003 ; б/б ; St in Ni ; AU ; 32 ; SDS ; 793 
 1365 ; 100 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 20 ; geg ; 229 
 1366 ; 50 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 32 ; Assa_77 ; 300 
 1367 ; 25 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 24 ; Assa_77 ; 250 
 1368 ; 10 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 15 ; vitapool ; 215 
 1369 ; 10 рублей ; 2005 ; СПМД 60 лет Победы в ВОВ ; биметалл ; AU ; 9 ; vovan100 ; 20 
 1370 ; 5 рублей ; 1991 ; Комплект "Красная книга СССР"  ; биметалл ; AU ; 19 ; crazybober ; 340 
 1371 ; 5 рублей ; 1991 ; Комплект "Красная книга СССР"  ; биметалл ; AU ; 33 ; crazybober ; 272 
 1372 ; 1 рубль-1 доллар разоружения. С сертификатом подлинности ; 1988 ;  ; Al ; AU ; 44 ; monetaRF ; 357 
 1373 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.На ; Cu-Ni ; proof ; 41 ; bcs ; 174 
 1374 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами ; Cu-Ni ; AU ; 18 ; spbra ; 25 
 1375 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 37 ; romchik_80 ; 115 
 1376 ; 3 рубля ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; proof ; 25 ; focus-nik2006 ; 203 
 1377 ; 3 рубля ; 1992 ; "19-21 августа" ; Cu-Ni ; proof ; 28 ; suhua ; 306 
 1378 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; proof ; 22 ; alien ; 163 
 1379 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; proof ; 19 ; focus-nik2006 ; 203 
 1380 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Го ; Cu-Ni ; proof ; 33 ; spbra ; 91 
 1381 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Ци ; Cu-Ni ; AU ; 11 ; spbra ; 29 
 1382 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Ци ; Cu-Ni ; AU ; 20 ; Saneck ; 31 
 1383 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райн ; Cu-Ni ; AU ; 41 ; АЦТЕК ; 41 
 1384 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скор ; Cu-Ni ; AU ; 25 ; spbra ; 27 
 1385 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Ле ; Cu-Ni ; AU ; 13 ; spbra ; 30 
 1386 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Че ; Cu-Ni ; AU ; 7 ; spbra ; 25 
 1387 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Че ; Cu-Ni ; AU ; 27 ; romchik_80 ; 41 
 1388 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 16 ; fpd7 ; 15 
 1389 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Ше ; Cu-Ni ; AU ; 4 ; fpd7 ; 22 
 1390 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Наво ; Cu-Ni ; AU ; 6 ; bcs ; 25 
 1391 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 22 ; romchik_80 ; 90 
 1392 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 21 ; marsik ; 131 
 1393 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 15 ; fpd7 ; 41 
 1394 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 16 ; bcs ; 38 
 1395 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 25 ; focus-nik2006 ; 169 
 1296 ; 5 рублей ; 1979 ; ММД Штанга.Игры XXII Олимпиады ; Ag ; AU ; 26 ; obob999 ; 469 
 1297 ; 5 рублей ; 1980 ; ЛМД Городки.Игры XXII Олимпиад ; Ag ; AU ; 22 ; arakara ; 710 
 1298 ; 5 рублей ; 1978 ; ЛМД Преодолевание барьера на л ; Ag ; AU ; 13 ; obob999 ; 499 
 1299 ; 5 рублей ; 1980 ; ММД Гимнастика.Игры XXII Олимп ; Ag ; AU ; 45 ; rbcrf ; 503 
 1300 ; 3 рубля ; 1994 ; ЛМД Смольный институт в С-Пб ; Ag ; Proof ; 10 ; hjk1974 ; 1836 
 1301 ; 3 рубля ; 2004 ; ММД Богоявленский собор ; Ag ; Proof ; 19 ; rafin ; 1902 
 1302 ; 3 рубля ; 1988 ; ММД Софийский собор в Киеве ; Ag ; Proof ; 55 ; BVA ; 2957 
 1303 ; 3 рубля ; 1996 ; ММД Церковь Ильи Пророка в Яро ; Ag ; Proof ; 26 ; a11174 ; 1989 
 1304 ; 3 рубля ; 1999 ; ММД Мечеть "Марджани" в Казани ; Ag ; Proof ; 18 ; Jet_Dee ; 2304 
 1305 ; 3 рубля ; 1995 ; ММД Спасо-Преобр.собор в Перес ; Ag ; Proof ; 27 ; igors1969 ; 1527 
 1306 ; 3 рубля ; 1996 ; ММД Крейсер "Кузнецов" ; Ag ; Proof ; 29 ; a11174 ; 1997 
 1307 ; 3 рубля ; 1998 ; СПМД Русский музей. Купчиха за ; Ag ; Proof ; 28 ; a11174 ; 3304 
 1308 ; 3 рубля ; 1998 ; СПМД Русский музей. Денис Давы ; Ag ; Proof ; 36 ; a11174 ; 2810 
 1309 ; 2 рубля ; 1995 ; ЛМД Парад Победы (флаги), на а ; Ag ; Proof ; 19 ; tdp ; 665 
 1310 ; 2 рубля ; 1994 ; ЛМД И.А.Крылов ; Ag ; Proof ; 47 ; fontanka ; 602 
 1311 ; 1 рубль ; 2002 ; СПМД Красная книга. Беркут ; Ag ; Proof ; 53 ; Jet_Dee ; 1130 
 1312 ; 1 рубль ; 2002 ; СПМД Красная книга. Амурский г ; Ag ; Proof ; 33 ; Jet_Dee ; 1080 
 1313 ; 1 рубль ; 2002 ; СПМД Красная книга. Сейвал ; Ag ; Proof ; 26 ; Jet_Dee ; 956 
 1314 ; Рубль ; 1921 ; (АГ) ; Ag ; AU ; 36 ; SERGEJ ; 2754 
 1315 ; 50 копеек ; 1921 ; (АГ) ; Ag ; XF+ ; 29 ; rafin ; 521 
 1316 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF+ ; 23 ; rmiller ; 285 
 1317 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF+ ; 3 ; soouo ; 261 
 1318 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF-XF ; 14 ; fox ; 301 
 1319 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF+ ; 32 ; soouo ; 285 
 1320 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF- ; 20 ; wagner ; 333 
 1321 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; VF- ; 12 ; soouo ; 264 
 1322 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; VF+ ; 31 ; VR62 ; 331 
 1323 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; XF+ ; 62 ; wagner ; 1013 
 1324 ; 20 копеек ; 1922 ;  ; Ag ; VF ; 31 ; whitedeath ; 157 
 1325 ; 20 копеек ; 1923 ;  ; Ag ; VF+ ; 41 ; vlkorchev ; 101 
 1326 ; 20 копеек ; 1924 ;  ; Ag ; VF-XF ; 17 ; igor_r65 ; 72 
 1327 ; 20 копеек ; 1925 ;  ; Ag ; VF+ ; 31 ; vlkorchev ; 102 
 1328 ; 20 копеек ; 1929 ;  ; Ag ; AU ; 23 ; alex0223 ; 324 
 1329 ; 20 копеек ; 1927 ;  ; Ag ; XF- ; 51 ; ForeverYoung ; 102 
 1330 ; 20 копеек ; 1929 ;  ; Ag ; AU ; 18 ; igor_r65 ; 239 
 1331 ; 20 копеек ; 1930 ;  ; Ag ; XF+ ; 49 ; marsel ; 94 
 1332 ; 15 копеек ; 1923 ;  ; Ag ; AU ; 17 ; igor_r65 ; 383 
 1333 ; 15 копеек ; 1924 ;  ; Ag ; VF+ ; 16 ; vlkorchev ; 83 
 1334 ; 15 копеек ; 1925 ;  ; Ag ; XF- ; 60 ; vlkorchev ; 102 
 1335 ; 15 копеек ; 1927 ;  ; Ag ; AU ; 92 ; igor_r65 ; 291 
 1336 ; 15 копеек ; 1928 ;  ; Ag ; AU ; 10 ; rizovtpl ; 220 
 1337 ; 15 копеек ; 1930 ;  ; Ag ; AU ; 13 ; alex0223 ; 356 
 1338 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 13 ; vlkorchev ; 102 
 1339 ; 10 копеек ; 1922 ;  ; Ag ; XF ; 25 ; Олег33 ; 153 
 1340 ; 10 копеек ; 1923 ;  ; Ag ; AU ; 18 ; igor_r65 ; 328 
 1341 ; 10 копеек ; 1925 ;  ; Ag ; AU ; 11 ; igor_r65 ; 137 
 1342 ; 10 копеек ; 1928 ;  ; Ag ; AU ; 35 ; igor_r65 ; 195 
 1343 ; 10 копеек ; 1930 ;  ; Ag ; AU ; 25 ; jenic ; 201 
 1344 ; 10 копеек ; 1927 ;  ; Ag ; AU ; 18 ; Elvin ; 167 
 1345 ; 10 копеек ; 1928 ;  ; Ag ; XF+ ; 28 ; vlkorchev ; 146 
 1238 ; Знак. 50 лет турбокорпусу ;  ;  ; Б/м ; VF-XF ; 8 ; да ; 29 
 1239 ; Знак "Гвардия". СССР ;  ;  ; Br, эмаль ; VF-XF ; 14 ; solder13 ; 101 
 1240 ; Знак. ГТО II ст ;  ;  ; Ж/м, эмаль ; VF+ ; 17 ; Dahan ; 21 
 1241 ; Знак. ГТО II ст ;  ;  ; Ж/м, эмаль ; VF+ ; 14 ; sot ; 19 
 1242 ; Знак. Служащего в армии ;  ;  ; Al ; VF-XF ; 13 ; wwii-soldat ; 23 
 1243 ; Знак советской армии I ст ;  ;  ; Ж/м ; VF+ ; 13 ; wwii-soldat ; 57 
 1244 ; Знак. Отличник советской армии ;  ;  ; Ж/м ; VF+ ; 20 ; solder13 ; 51 
 1245 ; Знак выпускнику Суворовского Военного училища ;  ;  ; Ж/м ; AU ; 51 ; vasil47 ; 209 
 1246 ; Жетон. Министерство торговли СССР. 32 ;  ;  ; Ж/м ; AU ; 22 ; okalo ; 159 
 1247 ; Жетон. Министерство торговли СССР. 26 ;  ;  ; Ж/м ; AU ; 9 ; okalo ; 160 
 1248 ; Жетон. Министерство торговли СССР. 20 ;  ;  ; Ж/м ; AU ; 8 ; okalo ; 128 
 1249 ; Жетон. Министерство торговли СССР. 19 ;  ;  ; Ж/м ; AU ; 11 ; okalo ; 145 
 1250 ; Жетон. Министерство торговли СССР. 28 ;  ;  ; Ж/м ; AU ; 9 ; okalo ; 145 
 1251 ; Жетон С Х Т №359 ;  ;  ; Б/м ; VF- ; 20 ; oks ; 20 
 1252 ; Телефонный жетон "АТС". Бийск ;  ;  ; Al ; XF ; 10 ; oks ; 29 
 1261 ; 100 рублей ; 1990 ; ММД 500-лет.Русского един.гос. ; Au ; Proof ; 10 ; and ; 25500 
 1262 ; Один червонец ; 1975 ;  ; Au ; AU ; 38 ; and ; 9122 
 1263 ; Один червонец ; 1976 ;  ; Au ; AU ; 33 ; тир ; 9161 
 1264 ; Один червонец ; 1980 ; ММД ; Au ; AU ; 48 ; num1 ; 8943 
 1265 ; Один червонец ; 1981 ; ММД ; Au ; AU ; 26 ; AAE2006 ; 8888 
 1266 ; 25 рублей ; 1994 ; ЛМД 100 лет транссибирской маг ; Ag ; Proof ; 18 ; hjk1974 ; 14790 
 1267 ; 25 рублей ; 1996 ; ЛМД Куликовская битва ; Ag ; Proof ; 83 ; joker ; 14581 
 1268 ; 25 рублей ; 1996 ; ММД Сцена из балета "Щелкунчик ; Ag ; Proof ; 50 ; a11174 ; 10352 
 1269 ; 25 рублей ; 2001 ; ММД Освоение Сибири. Поход Ерм ; Ag ; Proof ; 62 ; filo ; 22646 
 1270 ; 10 рублей ; 1977 ; ЛМД Карта СССР. Игры XXII Олим ; Ag ; AU ; 18 ; tdp ; 765 
 1271 ; 10 рублей ; 1977 ; ЛМД Карта СССР. Игры XXII Олим ; Ag ; AU ; 24 ; robinson ; 707 
 1272 ; 10 рублей ; 1977 ; ММД Москва. Игры XXII Олимпиад ; Ag ; AU ; 30 ; ААФ ; 837 
 1273 ; 10 рублей ; 1978 ; ММД Гребля.Игры XXII Олимпиады ; Ag ; AU ; 18 ; agent 007 ; 677 
 1274 ; 10 рублей ; 1978 ; ММД Гребля.Игры XXII Олимпиады ; Ag ; AU ; 27 ; rbcrf ; 729 
 1275 ; 10 рублей ; 1980 ; ЛМД Перетягивание каната.Игры  ; Ag ; AU ; 31 ; robinson ; 679 
 1276 ; 10 рублей ; 1980 ; ЛМД Перетягивание каната.Игры  ; Ag ; AU ; 33 ; fontanka ; 681 
 1277 ; 10 рублей ; 1980 ; ЛМД Гонки на оленьих упряжках. ; Ag ; AU ; 20 ; tdp ; 847 
 1278 ; 10 рублей ; 1979 ; ЛМД Волейбол.Игры XXII Олимпиа ; Ag ; AU ; 12 ; fontanka ; 676 
 1279 ; 10 рублей ; 1979 ; ЛМД Волейбол.Игры XXII Олимпиа ; Ag ; AU ; 30 ; robinson ; 707 
 1280 ; 10 рублей ; 1979 ; ЛМД Бокс.Игры XXII Олимпиады ; Ag ; AU ; 8 ; spektr ; 691 
 1281 ; 10 рублей ; 1978 ; ММД Догони девушку.Игры XXII О ; Ag ; AU ; 23 ; lm5665 ; 702 
 1282 ; 10 рублей ; 1978 ; ММД Догони девушку.Игры XXII О ; Ag ; AU ; 34 ; Poiuyt ; 711 
 1283 ; 10 рублей ; 1979 ; ЛМД Баскетбол.Игры XXII Олимпи ; Ag ; AU ; 11 ; jesi ; 679 
 1284 ; 10 рублей ; 1978 ; ММД Гребля.Игры XXII Олимпиады ; Ag ; Proof ; 11 ; arakara ; 800 
