 1365 ; 10 копеек, в капсуле PCGS ; 1958 ;  ; Cu-Ni ; MS62 ; 18 ; to-to ; 69000 
 714 ; 10 пенни ; 1909 ; Финляндия ; Cu ; VF-XF ; 14 ; В1951 ; 219 
 715 ; 10 пенни ; 1910 ; Финляндия ; Cu ; XF+ ; 35 ; kondor300 ; 1398 
 716 ; 10 пенни ; 1911 ; Финляндия ; Cu ; XF- ; 75 ; SKV ; 340 
 717 ; 10 пенни ; 1912 ; Финляндия ; Cu ; XF ; 16 ; Жадоба ; 510 
 718 ; 10 пенни ; 1913 ; Финляндия ; Cu ; XF- ; 25 ; kondor300 ; 1532 
 719 ; 10 пенни ; 1914 ; Финляндия ; Cu ; AU ; 41 ; werespider ; 510 
 720 ; 10 пенни ; 1915 ; Финляндия ; Cu ; AU ; 32 ; werespider ; 506 
 721 ; 10 пенни ; 1916 ; Финляндия ; Cu ; AU ; 48 ; Woker ; 585 
 722 ; 10 пенни. Разновидность ; 1916 ; Финляндия ; Cu ; XF+ ; 77 ; АЛЕКСАНДРЪ ; 2205 
 723 ; 10 пенни. Вензель ; 1917 ; Финляндия ; Cu ; UNC/AU ; 92 ; kondor300 ; 2073 
 724 ; 10 пенни ; 1917 ; Финляндия. Орёл ; Cu ; UNC/AU ; 72 ; DmitryA ; 1224 
 725 ; 5 пенни ; 1865 ; Финляндия ; Cu ; VF-XF ; 53 ; Aleks72 ; 327 
 726 ; 5 пенни ; 1866 ; Финляндия ; Cu ; AU ; 55 ; RAF ; 4045 
 727 ; 5 пенни ; 1867 ; Финляндия ; Cu ; XF- ; 9 ; kondor300 ; 638 
 728 ; 5 пенни ; 1870 ; Финляндия ; Cu ; XF- ; 40 ; o.k. ; 2021 
 729 ; 5 пенни ; 1872 ; Финляндия ; Cu ; XF+ ; 37 ; кве ; 3781 
 730 ; 5 пенни ; 1873 ; Финляндия ; Cu ; XF ; 13 ; kondor300 ; 765 
 731 ; 5 пенни ; 1875 ; Финляндия ; Cu ; VF+ ; 43 ; fox666lk ; 211 
 732 ; 5 пенни ; 1888 ; Финляндия ; Cu ; XF ; 26 ; icebreaker ; 1512 
 733 ; 5 пенни ; 1889 ; Финляндия ; Cu ; XF+ ; 9 ; kondor300 ; 1020 
 734 ; 5 пенни ; 1892 ; Финляндия ; Cu ; XF- ; 26 ; Anatolij1947 ; 1022 
 735 ; 5 пенни ; 1896 ; Финляндия ; Cu ; VF-XF ; 59 ; fox666lk ; 278 
 736 ; 5 пенни ; 1897 ; Финляндия ; Cu ; VF-XF ; 36 ; кве ; 969 
 737 ; 5 пенни ; 1898 ; Финляндия ; Cu ; VF-XF ; 63 ; Aleks72 ; 100 
 738 ; 5 пенни ; 1899 ; Финляндия ; Cu ; XF- ; 47 ; kondor300 ; 197 
 739 ; 5 пенни ; 1901 ; Финляндия ; Cu ; XF- ; 43 ; Cuff ; 126 
 740 ; 5 пенни ; 1905 ; Финляндия ; Cu ; VF-XF ; 48 ; Poiuyt ; 105 
 741 ; 5 пенни ; 1906 ; Финляндия ; Cu ; XF ; 52 ; каменьщик 4 ; 165 
 742 ; 5 пенни ; 1907 ; Финляндия ; Cu ; XF ; 29 ; Garrik 56 ; 133 
 743 ; 5 пенни ; 1908 ; Финляндия ; Cu ; AU ; 31 ; nils5 ; 561 
 744 ; 5 пенни ; 1911 ; Финляндия ; Cu ; UNC/AU ; 31 ; verunk1 ; 658 
 745 ; 5 пенни ; 1912 ; Финляндия ; Cu ; XF ; 35 ; bv812 ; 329 
 746 ; 5 пенни ; 1913 ; Финляндия ; Cu ; AU ; 64 ; Aleks72 ; 408 
 747 ; 5 пенни ; 1914 ; Финляндия ; Cu ; XF+ ; 13 ; verunk1 ; 155 
 748 ; 5 пенни ; 1915 ; Финляндия ; Cu ; UNC/AU ; 40 ; qaz21qaz ; 373 
 749 ; 5 пенни ; 1916 ; Финляндия ; Cu ; UNC/AU ; 14 ; DmitryA ; 510 
 750 ; 5 пенни. Вензель ; 1917 ; Финляндия ; Cu ; UNC/AU ; 75 ; bubenn ; 532 
 751 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; UNC/AU ; 38 ; mexngaz ; 444 
 752 ; 1 пенни ; 1865 ; Финляндия ; Cu ; XF+ ; 46 ; трулебас ; 6120 
 753 ; 1 пенни ; 1866 ; Финляндия ; Cu ; VF+ ; 64 ; is54 ; 958 
 754 ; 1 пенни ; 1867 ; Финляндия ; Cu ; XF+ ; 57 ; нумизмат ; 3509 
 755 ; 1 пенни ; 1869 ; Финляндия ; Cu ; AU ; 41 ; dsp ; 3920 
 756 ; 1 пенни ; 1871 ; Финляндия ; Cu ; AU ; 42 ; нумизмат ; 4418 
 657 ; 1/2 копейки ; 1909 ; СПБ ; Cu ; AU ; 16 ; Aleks72 ; 153 
 658 ; 1/2 копейки ; 1909 ; СПБ ; Cu ; AU ; 1 ; sssrr ; 200 
 659 ; 1/2 копейки ; 1911 ; СПБ ; Cu ; XF+ ; 55 ; serg98 ; 213 
 660 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; AU ; 30 ; novikoff12006 ; 201 
 661 ; 1/2 копейки ; 1913 ; СПБ ; Cu ; AU ; 23 ; Pilimov ; 450 
 662 ; 1/2 копейки ; 1914 ; СПБ ; Cu ; AU ; 26 ; novikoff12006 ; 306 
 663 ; 1/2 копейки ; 1915 ;  ; Cu ; AU ; 62 ; _kit ; 903 
 664 ; Полушка ; 1734 ; Орёл 1730 г. ; Cu ; VF- ; 35 ; УФА ; 204 
 665 ; Полушка ; 1735 ; Орёл 1735 г. ; Cu ; VF ; 27 ; crackjack ; 108 
 666 ; Полушка ; 1735 ; Орёл 1735 г. ; Cu ; VF- ; 42 ; vvr ; 104 
 667 ; Полушка ; 1736 ; Орёл 1735 г. ; Cu ; VF ; 8 ; чук ; 41 
 668 ; Полушка ; 1736 ; Орёл 1735 г. ; Cu ; VF- ; 54 ; werespider ; 143 
 669 ; Полушка ; 1737 ; Орёл 1738 г. ; Cu ; F-VF ; 81 ; Гриша ; 193 
 670 ; Полушка ; 1738 ; Орёл 1730 г. ; Cu ; VF ; 17 ; werespider ; 306 
 671 ; Полушка ; 1748 ; Орёл 1748 г. ; Cu ; F-VF ; 24 ; Andrei2007 ; 306 
 672 ; Полушка ; 1749 ; Орёл 1748 г. ; Cu ; VF- ; 61 ; Andrei2007 ; 275 
 673 ; Полушка ; 1770 ; КМ "Сибирь" ; Cu ; F-VF ; 48 ; masterovoi ; 667 
 674 ; Полушка (Петров-2,5р, Ильин-5р) ; 1794 ; КМ ; Cu ; F+ ; 94 ; 26140 ; 1606 
 675 ; 1/4 копейки ; 1839 ; СМ ; Cu ; VF- ; 93 ; koph ; 1926 
 676 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 81 ; Vb[fksx ; 655 
 677 ; 1/4 копейки ; 1840 ; СПМ ; Cu ; VF+ ; 102 ; Vb[fksx ; 714 
 678 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; VF+ ; 46 ; fokin ; 301 
 679 ; 1/4 копейки ; 1842 ; СМ ; Cu ; VF+ ; 111 ; dapp ; 370 
 680 ; 1/4 копейки ; 1845 ; СМ ; Cu ; VF ; 66 ; werespider ; 212 
 681 ; Полушка ; 1856 ; ЕМ ; Cu ; XF ; 50 ; murka1973 ; 1224 
 682 ; Полушка ; 1857 ; ЕМ ; Cu ; XF ; 40 ; kondor300 ; 1069 
 683 ; Полушка ; 1858 ; ЕМ ; Cu ; VF+ ; 84 ; diesel ; 367 
 684 ; 1/4 копейки ; 1873 ; ЕМ ; Cu ; VF+ ; 45 ; долгово ; 3162 
 685 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; XF+ ; 62 ; чук ; 3387 
 686 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF ; 40 ; kondor300 ; 2142 
 687 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 41 ; RAF ; 2654 
 688 ; 1/4 копейки ; 1893 ; СПБ ; Cu ; XF- ; 46 ; долгово ; 2761 
 689 ; 1/4 копейки ; 1897 ; СПБ ; Cu ; AU ; 83 ; прыгун ; 1411 
 690 ; 1/4 копейки ; 1898 ; СПБ ; Cu ; AU ; 65 ; diesel ; 1145 
 691 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 56 ; прыгун ; 1411 
 692 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 77 ; dimon46 ; 1590 
 693 ; 1/4 копейки ; 1909 ; СПБ ; Cu ; AU ; 80 ; das12 ; 1224 
 694 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 55 ; 104 кг ; 2761 
 695 ; 3 копейки "Оккупация" ; 1916А ;  ; Fe ; XF+ ; 57 ; 33333335 ; 828 
 696 ; 2 копейки "оккупация" ; 1916J ;  ; Fe ; XF ; 38 ; 33333335 ; 1780 
 697 ; 10 пенни ; 1865 ; Финляндия ; Cu ; XF ; 40 ; HILEG20 ; 1700 
 698 ; 10 пенни ; 1866 ; Финляндия ; Cu ; XF ; 61 ; kondor300 ; 1326 
 699 ; 10 пенни ; 1867 ; Финляндия ; Cu ; XF- ; 11 ; RAF ; 816 
 700 ; 10 пенни. Редкая датировка ; 1875 ; Финляндия ; Cu ; XF- ; 53 ; Woker ; 8120 
 701 ; 10 пенни ; 1876 ; Финляндия ; Cu ; VF+ ; 55 ; SKV ; 816 
 702 ; 10 пенни ; 1889 ; Финляндия ; Cu ; XF ; 85 ; 33333335 ; 4584 
 703 ; 10 пенни ; 1890 ; Финляндия ; Cu ; VF+ ; 68 ; 33333335 ; 1530 
 704 ; 10 пенни ; 1891 ; Финляндия ; Cu ; XF+ ; 77 ; 33333335 ; 4058 
 705 ; 10 пенни ; 1895 ; Финляндия ; Cu ; VF+ ; 48 ; арбат ; 744 
 706 ; 10 пенни ; 1896 ; Финляндия ; Cu ; VF+ ; 19 ; никсер ; 363 
 607 ; Копейка ; 1913 ; СПБ ; Cu ; XF+ ; 21 ; novikoff12006 ; 149 
 608 ; Копейка ; 1914 ; СПБ ; Cu ; AU ; 58 ; werespider ; 200 
 609 ; Копейка ; 1914 ; СПБ ; Cu ; AU ; 20 ; RAF ; 172 
 610 ; Копейка ; 1914 ; СПБ ; Cu ; AU ; 46 ; masterovoi ; 204 
 611 ; Копейка ; 1915 ;  ; Cu ; AU ; 75 ; Mikle777 ; 200 
 612 ; Копейка ; 1915 ;  ; Cu ; AU ; 17 ; sssrr ; 436 
 613 ; Копейка ; 1916 ;  ; Cu ; AU ; 26 ; RAF ; 166 
 614 ; Денга ; 1731 ;  ; Cu ; F-VF ; 32 ; derbnik ; 295 
 615 ; Денга ; 1731 ;  ; Cu ; VF+ ; 4 ; autost ; 153 
 616 ; Денга ; 1735 ;  ; Cu ; VF+ ; 4 ; werespider ; 102 
 617 ; Денга ; 1735 ;  ; Cu ; F+ ; 49 ; andrej888 ; 61 
 618 ; Денга ; 1737 ;  ; Cu ; F+ ; 28 ; demonspb ; 94 
 619 ; Денга.( аверс-реверс 45 градусов ) ; 1737 ;  ; Cu ; F- ; 35 ; andrej888 ; 69 
 620 ; Денга ; 1748 ;  ; Cu ; VF+ ; 2 ; 104 кг ; 100 
 621 ; Денга ; 1749 ;  ; Cu ; VF ; 5 ; Ратамахатта ; 102 
 622 ; Денга ; 1750 ;  ; Cu ; VF ; 4 ; werespider ; 102 
 623 ; Денга ; 1791 ; КМ ; Cu ; VF+ ; 72 ; 33333335 ; 1858 
 624 ; Денга ; 1794 ; КМ ; Cu ; VF ; 62 ; Банзай ; 710 
 625 ; Деньга ; 1798 ; ЕМ ; Cu ; VF ; 38 ; crackjack ; 646 
 626 ; Деньга (Петров-1р, Ильин-1р) ; 1805 ; ЕМ ; Cu ; F-VF ; 57 ; арбат ; 15504 
 627 ; Деньга (Петров-2,25р, Ильин-3р) ; 1807 ; КМ ; Cu ; F ; 153 ; арбат ; 11219 
 628 ; Деньга ; 1812 ; ИМ ПС ; Cu ; VF ; 50 ; долгово ; 2040 
 629 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; VF ; 27 ; Так!!! ; 722 
 630 ; Деньга ; 1827 ; ЕМ ИК ; Cu ; VF ; 103 ; 33333335 ; 703 
 631 ; 1/2 копейки ; 1840 ; ЕМ ; Cu ; VF- ; 21 ; Harlock ; 94 
 632 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; VF+ ; 43 ; volod ; 218 
 633 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; VF ; 68 ; volod ; 304 
 634 ; 1/2 копейки ; 1842 ; ЕМ ; Cu ; VF ; 23 ; volod ; 204 
 635 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; VF ; 32 ; volod ; 204 
 636 ; 1/2 копейки ; 1843 ; СМ ; Cu ; VF ; 31 ; митька ; 267 
 637 ; Денежка ; 1851 ; ЕМ ; Cu ; XF ; 17 ; шев ; 1200 
 638 ; Денежка ; 1852 ; ЕМ ; Cu ; XF ; 166 ; murka1973 ; 1377 
 639 ; Денежка ; 1855 ; ЕМ ; Cu ; XF- ; 47 ; gandy ; 818 
 640 ; Денежка ; 1855 ; ЕМ ; Cu ; XF ; 64 ; das12 ; 906 
 641 ; Денежка ; 1856 ; ЕМ ; Cu ; XF- ; 33 ; сократ ; 694 
 642 ; Денежка ; 1858 ; ЕМ ; Cu ; VF+ ; 65 ; dimon46 ; 365 
 643 ; Денежка ; 1859 ; ЕМ ; Cu ; VF+ ; 144 ; crackjack ; 462 
 644 ; Денежка ; 1860 ; ЕМ ; Cu ; VF+ ; 48 ; crackjack ; 855 
 645 ; Денежка ; 1860 ; ВМ ; Cu ; VF ; 65 ; кве ; 2556 
 646 ; Денежка ; 1862 ; ЕМ ; Cu ; VF+ ; 48 ; crackjack ; 765 
 647 ; Денежка ; 1864 ; ЕМ ; Cu ; VF+ ; 15 ; crackjack ; 386 
 648 ; 1/2 копейки ; 1876 ; СПБ ; Cu ; VF-XF ; 47 ; чук ; 2601 
 649 ; 1/2 копейки ; 1881 ; СПБ ; Cu ; VF- ; 59 ; долгово ; 2652 
 650 ; 1/2 копейки ; 1882 ; СПБ ; Cu ; VF+ ; 54 ; кве ; 2204 
 651 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; AU ; 242 ; qaz21qaz ; 4994 
 652 ; 1/2 копейки ; 1897 ; СПБ ; Cu ; AU ; 19 ; qaz21qaz ; 726 
 653 ; 1/2 копейки ; 1898 ; СПБ ; Cu ; AU ; 53 ; das12 ; 509 
 654 ; 1/2 копейки ; 1899 ; СПБ ; Cu ; AU ; 41 ; RAF ; 340 
 655 ; 1/2 копейки ; 1900 ; СПБ ; Cu ; AU ; 111 ; PrimeR ; 1745 
 656 ; 1/2 копейки ; 1908 ; СПБ ; Cu ; XF+ ; 118 ; ealiev ; 1455 
 557 ; 2 копейки ; 1841 ; ЕМ ; Cu ; VF+ ; 48 ; werespider ; 541 
 558 ; 2 копейки ; 1841 ; СМ ; Cu ; VF+ ; 59 ; SSK ; 1846 
 559 ; 2 копейки ; 1842 ; СМ ; Cu ; VF ; 49 ; чук ; 1565 
 560 ; 2 копейки ; 1844 ; ЕМ ; Cu ; VF+ ; 33 ; 104 кг ; 2363 
 561 ; 2 копейки ; 1844 ; СМ ; Cu ; VF+ ; 63 ; OMT ; 1274 
 562 ; 2 копейки ; 1845 ; СМ ; Cu ; VF- ; 35 ; чук ; 746 
 563 ; 2 копейки ; 1847 ; СМ ; Cu ; VF+ ; 122 ; MDV ; 1828 
 564 ; 2 копейки ; 1852 ; ЕМ ; Cu ; VF+ ; 34 ; кве ; 806 
 565 ; 2 копейки ; 1858 ; ЕМ ; Cu ; VF+ ; 25 ; 104 кг ; 801 
 566 ; 2 копейки ; 1863 ; ЕМ ; Cu ; VF+ ; 41 ; 104 кг ; 224 
 567 ; 2 копейки ; 1869 ; ЕМ ; Cu ; VF+ ; 47 ; никсер ; 489 
 568 ; 2 копейки ; 1875 ; ЕМ ; Cu ; VF+ ; 15 ; shknikolay ; 459 
 569 ; 2 копейки ; 1879 ; СПБ ; Cu ; VF ; 34 ; чук ; 470 
 570 ; 2 копейки ; 1899 ; СПБ ; Cu ; XF+ ; 136 ; сократ ; 1168 
 571 ; 2 копейки ; 1903 ; СПБ ; Cu ; AU ; 143 ; PrimeR ; 4317 
 572 ; 2 копейки ; 1911 ; СПБ ; Cu ; XF ; 108 ; konst ; 297 
 573 ; 2 копейки ; 1912 ; СПБ ; Cu ; XF- ; 34 ; westof ; 108 
 574 ; 2 копейки ; 1913 ; СПБ ; Cu ; VF-XF ; 23 ; Nikolay75 ; 65 
 575 ; 2 копейки ; 1914 ; СПБ ; Cu ; AU ; 113 ; OMT ; 453 
 576 ; 2 копейки ; 1915 ;  ; Cu ; AU ; 14 ; Mikle777 ; 204 
 577 ; 2 копейки ; 1915 ;  ; Cu ; XF/AU ; 69 ; volod ; 127 
 578 ; 2 копейки ; 1916 ;  ; Cu ; AU ; 68 ; сторож91 ; 155 
 579 ; Копейка ; 1713 ; НД ; Cu ; F-VF ; 60 ; Zorro ; 1411 
 580 ; Копейка ; 1714 ; МД ; Cu ; F-VF ; 18 ; 104 кг ; 1321 
 581 ; Копейка ; 1728 ;  ; Cu ; VF ; 32 ; OLEG12 ; 2922 
 582 ; Копейка ; 1799 ; ЕМ ; Cu ; VF ; 45 ; volod ; 196 
 583 ; Копейка ; 1801 ; ЕМ ; Cu ; VF+ ; 32 ; volod ; 242 
 584 ; Копейка ; 1819 ; КМ АД ; Cu ; VF ; 63 ; Rosomaxa ; 531 
 585 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; VF+ ; 10 ; balaklava ; 714 
 586 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; VF- ; 81 ; Hada ; 313 
 587 ; Копейка ; 1830 ; КМ АМ ; Cu ; VF- ; 19 ; shknikolay ; 146 
 588 ; Копейка ; 1840 ; ЕМ ; Cu ; VF ; 29 ; aguila ; 254 
 589 ; Копейка ; 1841 ; СПМ ; Cu ; VF+ ; 31 ; никсер ; 325 
 590 ; Копейка ; 1852 ; ЕМ ; Cu ; VF ; 37 ; volod ; 231 
 591 ; Копейка ; 1853 ; ЕМ ; Cu ; VF+ ; 35 ; volod ; 153 
 592 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; VF+ ; 91 ; energo39 ; 1731 
 593 ; Копейка ; 1856 ; ВМ ; Cu ; VF+ ; 36 ; кве ; 2195 
 594 ; Копейка ; 1862 ; ВМ ; Cu ; VF- ; 22 ; 104 кг ; 1524 
 595 ; Копейка ; 1877 ; СПБ ; Cu ; XF- ; 41 ; wladimir1972 ; 1326 
 596 ; Копейка ; 1879 ; СПБ ; Cu ; VF+ ; 23 ; чук ; 357 
 597 ; Копейка ; 1882 ; СПБ ; Cu ; VF-XF ; 121 ; wladimir1972 ; 906 
 598 ; Копейка ; 1889 ; СПБ ; Cu ; XF+ ; 132 ; RAF ; 1266 
 599 ; Копейка ; 1891 ; СПБ ; Cu ; VF+ ; 40 ; никсер ; 334 
 600 ; Копейка ; 1903 ; СПБ ; Cu ; XF+ ; 103 ; Так!!! ; 500 
 601 ; Копейка ; 1908 ; СПБ ; Cu ; AU ; 51 ; Маша-растеряша ; 814 
 602 ; Копейка ; 1909 ; СПБ ; Cu ; XF+ ; 128 ; PrimeR ; 520 
 603 ; Копейка ; 1910 ; СПБ ; Cu ; AU ; 164 ; ealiev ; 2677 
 604 ; Копейка ; 1911 ; СПБ ; Cu ; AU ; 16 ; kondor300 ; 1041 
 605 ; Копейка ; 1912 ; СПБ ; Cu ; AU ; 51 ; Aleks72 ; 352 
 606 ; Копейка ; 1912 ; СПБ ; Cu ; AU ; 63 ; Aleks72 ; 207 
 507 ; 3 копейки ; 1861 ; ЕМ ; Cu ; VF+ ; 31 ; F111A ; 435 
 508 ; 3 копейки ; 1877 ; СПБ ; Cu ; VF ; 52 ; никсер ; 1122 
 509 ; 3 копейки ; 1899 ; СПБ ; Cu ; XF ; 153 ; сократ ; 1606 
 510 ; 3 копейки ; 1908 ; СПБ ; Cu ; VF+ ; 67 ; прыгун ; 375 
 511 ; 3 копейки ; 1910 ; СПБ ; Cu ; VF+ ; 21 ; 104 кг ; 300 
 512 ; 3 копейки ; 1914 ; СПБ ; Cu ; AU ; 18 ; tisa66 ; 1023 
 513 ; 3 копейки ; 1915 ;  ; Cu ; AU ; 60 ; Mikle777 ; 261 
 514 ; 3 копейки ; 1916 ;  ; Cu ; AU ; 70 ; Aleks72 ; 224 
 515 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF ; 27 ; _kit ; 2142 
 516 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 73 ; _kit ; 3343 
 517 ; 2 копейки ; 1761 ;  ; Cu ; VF- ; 71 ; koph ; 708 
 518 ; 2 копейки ; 1763 ; ММ ; Cu ; VF ; 47 ; MAD_B ; 452 
 519 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 62 ; Numik ; 3100 
 520 ; 2 копейки ; 1798 ; КМ ; Cu ; VF+ ; 39 ; чук ; 535 
 521 ; 2 копейки ; 1799 ; ЕМ ; Cu ; VF ; 30 ; volod ; 150 
 522 ; 2 копейки ; 1799 ; КМ ; Cu ; VF+ ; 71 ; чук ; 725 
 523 ; 2 копейки ; 1800 ; ЕМ ; Cu ; VF- ; 27 ; ф-а-и ; 459 
 524 ; 2 копейки ; 1801 ; ЕМ ; Cu ; VF+ ; 41 ; serg98 ; 228 
 525 ; 2 копейки ; 1801 ; КМ ; Cu ; VF+ ; 65 ; Vico ; 1061 
 526 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 81 ; Rosomaxa ; 5201 
 527 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF+ ; 54 ; koph ; 536 
 528 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF+ ; 64 ; чук ; 621 
 529 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; F-VF ; 5 ; Олег2401 ; 220 
 530 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; VF+ ; 59 ; Aleks72 ; 157 
 531 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; VF+ ; 22 ; Мишутка ; 165 
 532 ; 2 копейки ; 1811 ; СПБ ПС ; Cu ; VF ; 16 ; volod ; 102 
 533 ; 2 копейки ; 1811 ; СПБ ПС ; Cu ; VF+ ; 69 ; Aleks72 ; 161 
 534 ; 2 копейки ; 1811 ; ИМ МК ; Cu ; VF ; 42 ; jinn ; 744 
 535 ; 2 копейки ; 1811 ; ИМ ПС ; Cu ; VF+ ; 97 ; koph ; 180 
 536 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; VF-XF ; 58 ; Vico ; 261 
 537 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; VF+ ; 27 ; volod ; 153 
 538 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; VF+ ; 41 ; Harlock ; 204 
 539 ; 2 копейки ; 1812 ; СПБ ПС ; Cu ; VF+ ; 62 ; volod ; 138 
 540 ; 2 копейки ; 1812 ; СПБ ПС ; Cu ; VF+ ; 12 ; Мишутка ; 153 
 541 ; 2 копейки ; 1812 ; ИМ ПС ; Cu ; VF+ ; 82 ; Vico ; 265 
 542 ; 2 копейки ; 1812 ; ИМ ПС ; Cu ; VF ; 25 ; guko ; 235 
 543 ; 2 копейки ; 1813 ; ЕМ НМ ; Cu ; VF+ ; 35 ; 439 ; 204 
 544 ; 2 копейки ; 1813 ; СПБ ПС ; Cu ; VF+ ; 45 ; 33333335 ; 414 
 545 ; 2 копейки ; 1813 ; ИМ ПС ; Cu ; VF ; 34 ; taa ; 105 
 546 ; 2 копейки ; 1813 ; ИМ ПС ; Cu ; VF ; 38 ; kergudu ; 85 
 547 ; 2 копейки ; 1813 ; ИМ ПС ; Cu ; VF ; 30 ; чук ; 76 
 548 ; 2 копейки ; 1814 ; ИМ ПС ; Cu ; VF+ ; 26 ; volod ; 150 
 549 ; 2 копейки ; 1814 ; ИМ ПС ; Cu ; VF+ ; 32 ; 439 ; 243 
 550 ; 2 копейки ; 1814 ; ИМ ПС ; Cu ; VF+ ; 88 ; fokin ; 213 
 551 ; 2 копейки ; 1820 ; ЕМ НМ ; Cu ; VF+ ; 28 ; амбал ; 384 
 552 ; 2 копейки ; 1831 ; СМ ; Cu ; VF- ; 19 ; долгово ; 1219 
 553 ; 2 копейки ; 1832 ; СМ ; Cu ; VF- ; 3 ; SSK ; 816 
 554 ; 2 копейки ; 1839 ; ЕМ НА ; Cu ; VF ; 15 ; sikachai ; 357 
 555 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 11 ; кве ; 1507 
 556 ; 2 копейки ; 1840 ; СМ ; Cu ; VF ; 77 ; чук ; 1326 
 457 ; 5 копеек ; 1790 ; АМ ; Cu ; VF+ ; 64 ; vadsob ; 594 
 458 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 20 ; 104 кг ; 781 
 459 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 67 ; koph ; 2674 
 460 ; 5 копеек ; 1792 ; ЕМ ; Cu ; VF+ ; 61 ; werespider ; 459 
 461 ; 5 копеек ; 1792 ; АМ ; Cu ; VF+ ; 66 ; Гриша ; 1019 
 462 ; 5 копеек ; 1793 ; ЕМ ; Cu ; VF-XF ; 29 ; volod ; 370 
 463 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF- ; 26 ; zid200 ; 1711 
 464 ; 5 копеек ; 1793 ; АМ ; Cu ; VF-XF ; 82 ; кs ; 900 
 465 ; 5 копеек ; 1794 ; ЕМ ; Cu ; VF-XF ; 48 ; 439 ; 714 
 466 ; 5 копеек ; 1794 ; АМ ; Cu ; VF-XF ; 59 ; fordewind ; 1224 
 467 ; 5 копеек ; 1795 ; ЕМ ; Cu ; VF+ ; 19 ; volod ; 413 
 468 ; 5 копеек ; 1796 ; АМ ; Cu ; VF+ ; 69 ; RuByLa ; 1359 
 469 ; 5 копеек ; 1802 ; ЕМ ; Cu ; VF+ ; 71 ; Numik ; 4001 
 470 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF+ ; 46 ; АлекS ; 2061 
 471 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF+ ; 80 ; АлекS ; 2754 
 472 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF+ ; 55 ; АлекS ; 1082 
 473 ; 5 копеек ; 1805 ; ЕМ ; Cu ; VF+ ; 72 ; а1945 ; 2408 
 474 ; 5 копеек ; 1806 ; ЕМ ; Cu ; VF+ ; 55 ; yury64 ; 1530 
 475 ; 5 копеек ; 1807 ; ЕМ ; Cu ; VF+ ; 32 ; 26140 ; 838 
 476 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF+ ; 49 ; solder13 ; 408 
 477 ; 5 копеек (Ильин-1р) ; 1831 ; СМ ; Cu ; VF- ; 19 ; sikachai ; 816 
 478 ; 5 копеек ; 1832 ; СМ ; Cu ; VF ; 69 ; 33333335 ; 836 
 479 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 115 ; OMT ; 3030 
 480 ; 5 копеек ; 1833 ; СМ ; Cu ; VF ; 49 ; ANK ; 633 
 481 ; 5 копеек ; 1834 ; ЕМ ФХ ; Cu ; VF ; 13 ; sikachai ; 429 
 482 ; 5 копеек (Ильин-1р) ; 1834 ; СМ ; Cu ; VF ; 23 ; чук ; 850 
 483 ; 5 копеек (Ильин-1р) ; 1835 ; СМ ; Cu ; VF- ; 27 ; чук ; 569 
