 151 ; Медаль "За храбрость". Новодел. D-28мм ;  ;  ; Cu ; VF-XF ; 31 ; 222211 ; 2833 
 1121 ; Знак WOSF ;  ;  ; Ж/м,эмаль ; VF+ ; 9 ; allur65 ; 43 
 1122 ; Знак WOSF ;  ;  ; Б/м ; XF ; 9 ; allur65 ; 33 
 1123 ; Знак SPL ;  ;  ; Ж/м,эмаль ; XF- ; 33 ; allur65 ; 57 
 1124 ; Знак BPS ;  ;  ; Б/м,эмаль ; VF+ ; 2 ; allur65 ; 43 
 1125 ; Знак Бухенвальд. ГДР ;  ;  ; Ж/м ; XF- ; 6 ; УФА ; 41 
 1126 ; Знак 25 лет ГДР. ГДР ;  ;  ; Ж/м ; VF+ ; 11 ; veektor ; 16 
 1127 ; Знак 3 классности. ГДР ;  ;  ; Ж/м ; XF- ; 41 ; mexngaz ; 285 
 1028 ; Воинский крест 1914-1918гг. Франция ;  ;  ; Ж/м ; XF ; 57 ; alexander9595 ; 889 
 1029 ; Медаль в память войны 1914-1918гг. Франция ;  ;  ; Ж/м ; VF+ ; 42 ; alexander9595 ; 595 
 1030 ; Крест бойца. Бельгия ;  ;  ; Ж/м ; XF ; 37 ; alexander9595 ; 933 
 1031 ; Крест пожарных "За заслуги" II ст. Бавария ;  ;  ; Б/м ; VF+ ; 50 ; alexander9595 ; 368 
 1032 ; Войсковой крест императора Карла. Австро-Венгрия ;  ;  ; Б/м ; VF ; 45 ; alexander9595 ; 767 
 1033 ; Железный крест II класса . Германия. Сломан ;  ;  ; Fe в Ag ; VF+ ; 72 ; alexander9595 ; 1230 
 1034 ; Юбилейный крест (1848-1908). Австро-Венгрия ;  ;  ; Ж/м ; VF+ ; 27 ; alexander9595 ; 677 
 1035 ; Медаль в память войны 1939-1945гг. Франция ;  ;  ; Ж/м ; AU ; 19 ; alexander9595 ; 775 
 1036 ; Крест бойца-добровольца (1939-1945). Франция ;  ;  ; Ж/м ; AU ; 56 ; alexander9595 ; 1013 
 1037 ; Крест военной помощи. Пруссия ;  ;  ; Б/м ; VF ; 58 ; k212 ; 1020 
 1038 ; Воинская медаль. Франция ;  ;  ; Ж/м ; XF- ; 34 ; alexander9595 ; 838 
 1039 ; Унтер-Офицерский крест. Бельгия ;  ;  ; Ж/м ; VF+ ; 136 ; k212 ; 773 
 1040 ; Огненный крест. Бельгия ;  ;  ; Ж/м ; XF ; 154 ; medal85 ; 1019 
 1041 ; Медаль. За службу по защите нации. США ;  ;  ; Ж/м ; AU ; 29 ; volod ; 197 
 1042 ; Медаль союза ветеранов земли Штирия. 40 лет. Австрия ;  ;  ; Б/м ; XF- ; 19 ; alexander9595 ; 363 
 1043 ; Орден за гражданские заслуги. Конго ;  ;  ; Ж/м ; AU ; 133 ; a_kog ; 836 
 1044 ; Почетная медаль Министерства труда I ст. Франция ;  ;  ; Ж/м ; AU ; 12 ; filrf ; 261 
 1045 ; Почетная медаль Французской семьи I ст. Франция ;  ;  ; Ж/м ; XF+ ; 117 ; alexander9595 ; 470 
 1046 ; Медаль за 30 лет авыслуги. Венгрия ;  ;  ; Ж/м, эмаль ; VF+ ; 21 ; lsp25 ; 324 
 1047 ; Медаль "За войну Продолжение" (для финов). Финляндия ;  ;  ; Ж/м ; VF-XF ; 27 ; alexander9595 ; 373 
 1048 ; Жетон. Международная выставка. Франция. D-28мм ; 1900 ;  ; Br,серебрение ; VF ; 33 ; baumanets ; 441 
 1049 ; Крест Гинденбурга с мечами. Германия ;  ;  ; Fe,бронзир ; XF+ ; 39 ; alexander9595 ; 867 
 1050 ; Знак. За ранение "Черный" прорезной. Германия ; I МВ ;  ; Ж/м ; VF+ ; 76 ; lsp25 ; 2215 
 1051 ; Знак. За ранение "Черный"  . Германия ; I МВ ;  ; Fe ; VF ; 39 ; volod ; 1024 
 1052 ; Знак. За ранение "Серебряный"  . Германия ; I МВ ;  ; Ж/м ; VF+ ; 47 ; alexander9595 ; 2222 
 1053 ; Федеральный почетный знак, крест военных ветеранов. Бавария ; 1920-е ;  ; Br,посер, эмаль ; VF ; 98 ; alexander9595 ; 1904 
 1054 ; Немецкий полевой почетный знак. Германия ; 1920-е ;  ; Б/м, эмаль ; VF+ ; 76 ; medal85 ; 4090 
 1055 ; Медаль. За отвагу. Австро-Венгрия ; I МВ ;  ; Ag ; VF+ ; 95 ; 206811 ; 2914 
 1056 ; Медаль. За заслуги перед Красным крестом в военное время. Австро-Венгрия ; I МВ ;  ; Б/м, эмаль ; VF-XF ; 133 ; lsp25 ; 3007 
 1057 ; Ганзейский крест. Германия, Гамбург. На родной ленте ; I МВ ;  ; Б/м, эмаль ; VF-XF ; 120 ; alexander9595 ; 3505 
 1058 ; Крест. Советско-Финская война (1939-1940). Р-ры: 39х39мм ;  ;  ; Б/м ; VF-XF ; 91 ; alexander9595 ; 3966 
 1059 ; Медаль "Союз ветеранов. Горные стрелки". Австрия ;  ;  ; Ж/м ; XF+ ; 48 ; k212 ; 583 
 1060 ; Медаль "Союз ветеранов". Область Штирия. Австрия ;  ;  ; Ж/м ; XF ; 47 ; alexander9595 ; 363 
 1061 ; Медаль "Союз ветеранов". Область Верхняя Австрия. Австрия ;  ;  ; Ж/м ; XF- ; 38 ; alexander9595 ; 363 
 1062 ; Медаль "За военную службу". Австрия ;  ;  ; Ж/м ; XF- ; 20 ; alexander9595 ; 357 
 1063 ; Медаль "Израильский ветеран 2 МВ". Израиль ;  ;  ; Ж/м ; AU ; 53 ; derbnik ; 368 
 1064 ; Медаль "50 лет Греческим партизанам". Греция ;  ;  ; Б/м ; VF+ ; 59 ; veektor ; 357 
 1065 ; Медаль "600 лет Берну". Швейцария ;  ;  ; Ж/м ; VF+ ; 42 ; derbnik ; 200 
 1066 ; Медаль "40 лет оркестру военных музыкантов". Германия ; 1909 ;  ; Ж/м ; XF+ ; 118 ; Эквитес ; 1202 
 1067 ; Медаль "За службу в национальной народной армии" "серебро". ГДР ;  ;  ; Б/м ; AU ; 16 ; Майкл ; 306 
 1068 ; Орден трудового Красного знамени 2 степени. ГДР ;  ;  ; Ж/м,эмаль ; AU ; 83 ; 439 ; 630 
 1069 ; Медаль. Немецкое ДОСААФ "бронза". ГДР ;  ;  ; Б/м ; AU ; 53 ; veektor ; 153 
 1070 ; Медаль. Немецкое ДОСААФ "серебро". ГДР ;  ;  ; Ж/м ; AU ; 42 ; альбатрос революции ; 125 
 1071 ; Медаль. "20 лет Словацкого восстания" Чехословакия ;  ;  ; Ж/м ; XF+ ; 69 ; medal85 ; 579 
 1072 ; МедальТруда. Югославия ;  ;  ; Ж/м ; XF ; 34 ; derbnik ; 476 
 1073 ; Медаль"За заслуги пере народом". Югославия ;  ;  ; Ж/м ; XF ; 7 ; k212 ; 281 
 1074 ; Памятная медаль Луиса Бреля "Общество слепых и слабовидящих". Венгрия ; 1959 ;  ; Ж/м ; XF+ ; 21 ; Сологуб 158 ; 116 
 1075 ; Орден Труда. Югославия ;  ;  ; Б/м ; VF+ ; 75 ; alexander9595 ; 1642 
 1076 ; Орден "Заслуги перед народом" III степени. Югослвия №185754 ;  ;  ; Ag ; VF+ ; 97 ; alexander9595 ; 2349 
 1077 ; Крест  ветерану 2 МВ. Австрия ;  ;  ; Ж/м ; XF ; 86 ; smaci ; 1022 
 978 ; Жетон "300 лет Дому Романовых 1613-1913гг". D-26мм ;  ;  ; Br ; XF+ ; 83 ; alexander9595 ; 2011 
 979 ; Жетон "Свобода, равенство, братство". D-26мм ;  ;  ; Br ; XF ; 31 ; валенок ; 2260 
 980 ; Жетон "Свобода, равенство, братство". D-26мм ;  ;  ; Br ; VF ; 78 ; Юджин ; 2997 
 981 ; Жетон "В память 50-летия освобождения Крестьян". D-25мм ; 1911 ;  ; Br ; VF ; 34 ; medal85 ; 2546 
 982 ; Жетон. Памятник Минину и Пожарскому ;  ;  ; Br ; XF ; 37 ; 015 ; 5100 
 983 ; Медаль. А. С. Пушкин (1799-1937). D-67мм ;  ;  ; Ж/м ; XF ; 43 ; micola.c ; 3060 
 984 ; Медаль. 50 лет Всесоюзной академии Сельско-Хозяйственных наук им. В.И. Ленина (1929-1979). D-66мм ; ЛМД ;  ; Ж/м ; XF ; 24 ; barbarossa ; 1022 
 985 ; Медаль. 100 лет отечественной легкой атлетике (1888-1988). D-55мм ; ЛМД ;  ; Ж/м ; AU ; 32 ; barbarossa ; 368 
 986 ; Медаль. Луи Пастер (1822-1895). D-60мм ; 1972ЛМД ;  ; Ж/м ; AU ; 53 ; OMT ; 1309 
 987 ; Медаль. Вахтангов (1883-1922). D-60мм ; 1986ЛМД ;  ; Ж/м ; AU ; 14 ; 61243 ; 470 
 988 ; Медаль. В память 250-летия основания Ленинграда. D-75мм ;  ;  ; Ж/м ; AU ; 55 ; 61243 ; 1517 
 989 ; Медаль. Тарас Григорьевич Шевченко  (1861-1961). D-67мм ;  ;  ; Ж/м ; XF+ ; 26 ; 61243 ; 1046 
 990 ; Медаль. А.С. Пушкин (1799-1837). D-36мм ;  ;  ; Ж/м ; VF+ ; 23 ; barbarossa ; 340 
 991 ; Медаль. 20 лет Великой победы (1941-1965). Слава советскому народу победителю. D-65мм ;  ;  ; Ж/м ; XF ; 37 ; sportmini ; 547 
 992 ; Медаль. Н. Ярошенко (1846-1898). D-60мм ;  ;  ; Ж/м ; AU ; 74 ; sportmini ; 850 
 993 ; Медаль. 250 лет Ленинградскому монетному двору ГОЗНАКа министерства финансов СССР (19724-1974).D-65мм ; 1974ЛМД ;  ; Ж/м ; XF+ ; 32 ; Doctor57 ; 486 
 994 ; Медаль.400 лет со дня смерти М.С. Физули (1498-1556).  D60-мм ;  ;  ; Ж/м ; VF+ ; 67 ; 61243 ; 539 
 995 ; Медаль. 50 лет государственному музею изобразительных искусств им. А.С. Пушкина (1912-162), D-65мм ; 1962 ;  ; Ж/м ; AU ; 53 ; oduvan ; 1255 
 996 ; Медаль. Большой театр (1776-1976). D-60мм ; 1976ММД ;  ; Ж/м ; AU ; 58 ; Vjik ; 735 
 997 ; Медаль.  Университет дружбы народов им. Патриса Лумумбы (1960-1985). D-60мм ; ЛМД ;  ; Ж/м ; AU ; 42 ; 61243 ; 466 
 998 ; Медаль. Руал Амундсен (1872-1928). D-60мм ; 1974ЛМД ;  ; Ж/м ; AU ; 60 ; oduvan ; 765 
 999 ; Медаль. 750 лет городу горькому Нижнему Новгороду (1221-1971). D-65мм ;  ;  ; Ж/м ; XF ; 30 ; 61243 ; 430 
 1000 ; Медаль. 50 лет ЛКСМ Украины  (1919-1969). D-70мм ;  ;  ; Ж/м ; XF ; 57 ; Valet ; 395 
 1001 ; Медаль. В память 1100-летия Смоленска (863-1963). D-60мм ;  ;  ; Ж/м ; AU ; 39 ; Хакас ; 563 
 1002 ; Медаль. Полет первого человека в космос (1961-1971). D-45мм ;  ;  ; Ж/м ; XF+ ; 84 ; 61243 ; 1101 
 1003 ; Медаль. Москва. Кремль, Успенский собор (1475-1479). Р-ры: 85х85мм ;  ;  ; Ж/м ; XF ; 15 ; marson2010 ; 184 
 1004 ; Медаль. Пожарная охрана. 70 лет. Ташкент. Отверстие 12 часов ; 1988 ;  ; Б/м ; XF+ ; 8 ; альбатрос революции ; 95 
 1005 ; Орден 9-го сентября. Болгария ;  ;  ; Ж/м,эмаль ; XF ; 48 ; derbnik ; 1282 
 1006 ; Орден Труда 1 степени. Болгария ;  ;  ; Ж/м ; VF-XF ; 58 ; John16 ; 402 
 1007 ; Орден Труда 2 степени. Болгария ;  ;  ; Б/м,ж/м ; XF ; 24 ; derbnik ; 333 
 1008 ; Орден Труда 3 степени. Болгария ;  ;  ; Б/м ; VF-XF ; 39 ; John16 ; 326 
 1009 ; Орден "За военную службу" с планкой 1 степени Социалистическая Румыния. В оригинальной коробке ;  ;  ; Ж/м,эмаль ; AU ; 82 ; derbnik ; 1117 
 1010 ; Орден "За военную службу" с планкой 3 степени Социалистическая Румыния. В оригинальной коробке ;  ;  ; Ж/м,эмаль ; XF+ ; 73 ; derbnik ; 913 
 1011 ; Медаль "бронзовая".  Красного креста "За службу в австрийском Красном кресте" Австрия. В оригинальной коробке ;  ;  ; Ж/м ; XF+ ; 58 ; lsp25 ; 1530 
 1012 ; Памятная палкета+ знак  за воссоединение Берлина. Германия ;  ;  ; Б/м, эмаль ; VF+ ; 21 ; garsn ; 71 
 1013 ; Парадная колодка Баварского образца (2шт): Железный крест II класса+ Крест Гинденбурга с мечами ; I МВ ;  ; Fe,Ag,Fe/Br ; XF- ; 141 ; alexander9595 ; 3213 
 1014 ; Парадная колодка Прусского образца (3шт): Железный крест II класса, Ганзейский крест. Гамбург, Крест Гинденбурга с мечами ; I МВ ;  ; Fe,Ag,Fe/Br ; VF/XF ; 150 ; alexander9595 ; 7127 
 1015 ; Парадная колодка (2шт): Баварский крест за военные заслуги II класса, Железный крест II класса ; I МВ ;  ; Fe,Ag,Б/м,эмаль ; VF/VF-XF ; 115 ; bubued ; 6005 
 1016 ; Наградная колодка (2шт): Железный крест II класса+ Крест Гинденбурга с мечами для фронотовиков. Германия ;  ;  ; Fe в Ag,Ж/м ; VF/XF ; 130 ; alexander9595 ; 3323 
 1017 ; Медаль Ордена Леопольда II. Бельгия ;  ;  ; Ж/м ; XF ; 55 ; alexander9595 ; 727 
 1018 ; Гражданский знак отличия за долгую административную службу I кл. Бельгия ;  ;  ; Жм ; XF ; 65 ; alexander9595 ; 617 
 1019 ; Медаль. В память войны 1914-1918гг. Венгрия ;  ;  ; Б/м ; VF-XF ; 31 ; alexander9595 ; 837 
 1020 ; Медаль резерва вооруженных сил. США ;  ;  ; Ж/м ; XF ; 61 ; derbnik ; 512 
 1021 ; Крест Гинденбурга с мечами. Германия ;  ;  ; Ж/м ; VF-XF ; 30 ; alexander9595 ; 695 
 1022 ; Военный крест. Бельгия ;  ;  ; Ж/м ; XF+ ; 46 ; alexander9595 ; 1051 
 1023 ; Воинский крест (1914-1918). Франция ;  ;  ; Ж/м ; VF-XF ; 16 ; alexander9595 ; 840 
 1024 ; Победная медаль. Бельгия ;  ;  ; Ж/м ; XF- ; 62 ; alexander9595 ; 649 
 1025 ; Медаль в память войны 1915-1918. Болгария ;  ;  ; Ж/м ; AU ; 23 ; alexander9595 ; 695 
 1026 ; Медаль в память войны 1915-1918.Бельгия ;  ;  ; Ж/м ; VF+ ; 30 ; alexander9595 ; 672 
 1027 ; Победная медаль. Франция ;  ;  ; Ж/м ; XF- ; 92 ; medal85 ; 762 
 918 ; 1 донг "юншоу тунбао", гладкий. Аннам, Династия Поздняя Ле. D-24мм ; 1658-1661 ;  ; Br ; F ; 29 ; Гордиан ; 165 
 919 ; 1 донг "чэнтай тунбао", гладкий. Аннм, Династия Юань. D-23мм ; 1889-1907 ;  ; Br ; F+ ; 7 ; Гордиан ; 100 
 920 ; 1 цянь "кайюань тунбао", иероглиф 9ч. Почерк лишу. Китай, Династия Тан. D-23,5мм ; 618-907 ;  ; Br ; F ; 17 ; lsp25 ; 148 
 921 ; 1 цянь "дали тунбао", гладкий. Почерк лишу. Китай, Династия Тан. D-23,5мм ; 766-779 ;  ; Br ; F ; 7 ; Гордиан ; 804 
 922 ; 2 цяня "цзяньянь тунбао", гладкий. Китай, Династия Южная Сун. D-30,5мм ; 1127-1130 ;  ; Br ; F-VF ; 12 ; Slava O ; 169 
 923 ; 3 цяня "шаоси юаньбао" "у" 6ч. Китай, Династия Южная Сун. D-29,5мм ; 1190-1194 ;  ; Br ; F ; 15 ; Slava O ; 266 
 924 ; 1 цянь "цзядин тунбао" "ши у". Китай, Династия Южная Сун. D-24мм ; 1208-1224 ;  ; Br ; F ; 12 ; Slava O ; 161 
 925 ; 1 цянь "цзядин тунбао" "ба" 12ч. Китай, Династия Южная Сун. D-24мм ; 1208-1224 ;  ; Br ; F ; 13 ; lsp25 ; 155 
 926 ; 2 цяня "чуньси юаньбао " "чунь ши". Китай, Династия Южная Сун. D-28,5мм ; 1174-1189 ;  ; Fe ; F ; 17 ; Slava O ; 264 
 927 ; 2 цяня "чунси юаньбао" "чунь ли". Китай, Династия Южная Сун. D-29мм ; 1174-1189 ;  ; Fe ; F ; 13 ; Slava O ; 354 
 928 ; 3 цяня "цзядин юнбао" "дин" 12ч и полумесяц со звездой 6ч. Китай, Династия Южная Сун. D-30,5мм ; 1208-1224 ;  ; Fe ; VG ; 19 ; Гордиан ; 534 
 929 ; 3 цяня "дасун юаньбао" "цюань сань". Китай, Династия Южная Сун. D-33мм ; 1225-1227 ;  ; Fe ; VG ; 7 ; kotyamoi ; 431 
 930 ; 2 цяня "чжичжэн тунбао" "ци" 12ч. Китай, Династия Юань. D-29,5мм ; 1341-1367 ;  ; Br ; F ; 16 ; Slava O ; 1537 
 931 ; 10 цяней "дачжун тунбао", гладкий. Китай, Восстания XIV. D-40,5мм ; 1367 ;  ; Br ; F-VF ; 20 ; Гордиан ; 1301 
 932 ; 2 цяня "чунчжэн тунбао", звезда 12ч. Китай, Династия Мин. D-30мм ; 1628-1643 ;  ; Br ; F+ ; 29 ; Slava O ; 255 
 933 ; 1 цянь "чунчжэн тунбао" "ху" 12ч. Министерство финансов. Китай, Династия Мин. D-24,5мм ; 1628-1643 ;  ; Br ; F+ ; 9 ; Slava O ; 204 
 934 ; 5 цяней "синчао тунбао" "у ли". Китай. Восстания XVII века. D-35мм ; 1649-1655 ;  ; Br ; F-VF ; 69 ; Slava O ; 470 
 935 ; 1 цянь "юнчжэн тунбао" "боо цзи". Провинция Шаньдун (Цзинань). Китай, Династия Цин. D-26мм ; 1723-1735 ;  ; Br ; F ; 33 ; smel ; 173 
 936 ; 1 цянь "цяньлун тунбао". Провинция Синьцзян (Аксу). Китай, Династия Цин. D-25,5мм ; 1736-1795 ;  ; Cu ; F-VF ; 11 ; Slava O ; 203 
 937 ; 1 цянь "цзяцин тунбао". Провинция Синьцзян (Аксу). Китай, Династия Цин. D-25мм ; 1796-1820 ;  ; Cu ; F+ ; 11 ; Slava O ; 301 
 938 ; 10 цяней "тунчжи чжунбао" "дан ши боо ювань". Министерство работ. Китай, Династия Цин. D-31мм ; 1862-1874 ;  ; Br ; F+ ; 14 ; smel ; 250 
 939 ; 1 цянь "тунчжи тунбао" "боо гуан". Провинция Гуандун (Гуанчжоу). Китай, Династия Цин. D-18,5мм ; 1862-1874 ;  ; Br ; F-VF ; 19 ; Slava O ; 206 
 940 ; 1 цянь "тайпин тяньго" "шэнбао". Китай, Восстания XIX века. D-23мм ; 1851-1864 ;  ; Br ; F ; 43 ; Slava O ; 516 
 941 ; 1 цянь "гуансюй тунбао" "боо циовань" и иероглиф 12ч. Министерство финансов. Китай, Династия Цин. D-18,5мм ; 1875-1908 ;  ; Br ; F ; 7 ; монета-с ; 201 
 942 ; 2 цяня "фуцзянь тунбао" "эр вэнь" и флаги. Провинция Фуцзянь (Фучжоу). Китай, Республика. D-25мм ; 1911-1914 ;  ; Br ; F ; 25 ; Slava O ; 612 
 943 ; 1 цянь "фуцзянь тунбао" "и вэнь" и флаги. Провинция Фуцзянь (Фучжоу). Китай, Республика. D-20,5мм ; 1911-1914 ;  ; Br ; F+ ; 28 ; Slava O ; 510 
 944 ; 2 муна "чанпин тунбао" "чон ин". Генеральное военное ведомство. Корея. D-31,5мм ; 1742 ;  ; Br ; F-VF ; 9 ; masterov ; 126 
 945 ; 1 мун "чанпин тунбао" "ху юй ба". Министерство финансов. Корея. D-23,5мм ; 1814 ;  ; Br ; F+ ; 7 ; ХапугаСПБ ; 126 
 946 ; 1 мун "чанпин тунбао" "пин жи сань". Управление првинции Пьёнган. Корея. D-22,5мм ; 1891 ;  ; Br ; VG ; 11 ; монета-с ; 115 
 947 ; Лот античных монет Византии (16шт): фоллис ; 6-8 вв ;  ; Cu ; F+ ; 40 ; sobiranel ; 1575 
 948 ; Лот античных монет Византийского Херсона (10шт): ; 10-11 вв ;  ; Cu ; F+ ; 45 ; Sterh ; 466 
 949 ; Лот монет Пантикапей (2шт): обол ; 150-140 гг до н.э. ;  ; Cu ; F-VF ; 13 ; монета-с ; 201 
 950 ; Лот монет Византии (2шт): пентанумия ; 5-6вв ;  ; Cu ; F-VF ; 33 ; lestes ; 297 
 951 ; Лот античных, средневековых и иностранных монет (7шт). Обломаны ;  ;  ; Ag,Cu ; F/F-VF ; 16 ; asnik ; 296 
 952 ; Лот монет Крымского ханства (2шт): Акче, Мухаммед Гирей IV ; 1064-1076л.х. ;  ; Ag ; F-VF ; 56 ; kush07 ; 177 
 953 ; Лот монет Крымского ханства (2шт): Менгли-Гирей I ; 880-920л.х. ;  ; Ag ; F-VF ; 30 ; kush07 ; 180 
 954 ; Лот монет Крымского ханства (2шт): Бешлык. Коплан-Гирей I ; 1119-1149 л.х. ;  ; Ag ; F-VF ; 79 ; kush07 ; 176 
 955 ; Лот монет Крымского ханства (5шт) ;  ;  ; Ag ; F-VF ; 33 ; kush07 ; 235 
 956 ; Лот монет Крымского ханства (4шт) ;  ;  ; Ag ; F-VF ; 33 ; kush07 ; 180 
 967 ; Медаль. В память коронации Александра III. D-26мм ; 1883 ;  ; Ag ; XF ; 108 ; verunk1 ; 6630 
 968 ; Медаль "300 лет Дому Романовых 1613-1913гг". D-28мм ;  ;  ; Br ; AU ; 38 ; medal85 ; 3074 
 969 ; Медаль "300 лет Дому Романовых 1613-1913гг". D-28мм ;  ;  ; Br ; VF- ; 58 ; alexander9595 ; 1154 
 970 ; Медаль "За Русско-Японскую войну 1904-1905гг". D-28мм ;  ;  ; Br ; VF-XF ; 87 ; srr283 ; 5078 
 971 ; Медаль "За Русско-Японскую войну 1904-1905гг". D-28мм ;  ;  ; Br ; VF-XF ; 97 ; sail ; 2600 
 972 ; Медаль "В память Крымской войны 1853-1856гг". D-28мм ;  ;  ; Br ; VF ; 58 ; verunk1 ; 2786 
 973 ; Медаль. В память Крымской войны (1853-1856). D-28мм ;  ;  ; Br ; F-VF ; 61 ; dinn ; 1038 
 974 ; Медаль "В память 100-летия Отечественной войны 1812-1912ггг". D-28мм ;  ;  ; Br ; XF- ; 50 ; валенок ; 3174 
 975 ; Жетон. Первая морская победа при Гангуте. D-27мм ;  ;  ; Br ; XF+ ; 36 ; Десна ; 9186 
 976 ; Жетон. Доблестному народному герою М.Д.Скобелеву. D-24мм ;  ;  ; Br ; VF-XF ; 28 ; marson2010 ; 3391 
 977 ; Жетон. На 100-летие Пушкина 26 мая 1899 года. D-21мм ;  ;  ; Br ; VF+ ; 99 ; alexander9595 ; 1683 
 868 ; Фоллис. Рим, имп. Констанций II ; 324-361 ;  ; Cu ; F-VF ; 59 ; trigl ; 229 
 869 ; Антониниан. Рим, имп. Галлиен ; 253-268 ;  ; Cu ; F-VF ; 28 ; george56 ; 216 
 870 ; Антониниан. Рим, имп. Галлиен ; 253-268 ;  ; Cu ; F-VF ; 49 ; AIK60 ; 319 
 871 ; Антониниан. Рим, имп. Тацит. Царапина ; 275-276 ;  ; Cu ; F-VF ; 46 ; george56 ; 610 
 872 ; Фоллис. Рим, имп. Константин I ; 306-337 ;  ; Cu ; F-VF ; 39 ; AIK60 ; 219 
 873 ; Фоллис. Рим, имп. Константин I ; 306-337 ;  ; Cu ; F-VF ; 33 ; Fofors ; 181 
 874 ; Майорина. Рим, имп. Юлиан II Отступник ; 335-360 ;  ; Cu ; F-VF ; 93 ; нумизмат ; 2316 
 875 ; Монета античная. Селевкиды, Александр II ; 128-122 гг до н.э. ;  ; Cu ; F+ ; 48 ; sonegr ; 188 
 876 ; Монета античная. Селевкиды, Александр II ; 128-122 гг до н.э. ;  ; Cu ; F+ ; 39 ; sobiranel ; 241 
 877 ; Монета античная. Эпир, Пирр ; 295-272 гг до н.э. ;  ; Cu ; F+ ; 39 ; viridis ; 536 
 878 ; Монета античная. Селевкиды, Антиох VIII ; 121-97 гг до н.э. ;  ; Cu ; F+ ; 75 ; sonegr ; 200 
 879 ; Монета античная. Селевкиды, Антиох VIII ; 121-97 гг до н.э. ;  ; Cu ; F+ ; 32 ; Dahan ; 283 
 880 ; Монета античная. Селевкиды, Антиох VIII ; 121-97 гг до н.э. ;  ; Cu ; F+ ; 70 ; Dahan ; 244 
 881 ; Монета античная. Селевкиды, Антиох VIII ; 121-97 гг до н.э. ;  ; Cu ; F+ ; 59 ; Dahan ; 174 
 882 ; Монета античная. Селевкиды, Антиох VIII ; 121-97 гг до н.э. ;  ; Cu ; F+ ; 21 ; sobiranel ; 193 
 883 ; Монета античная. Г. Мирина ; II в до н.э. ;  ; Cu ; F+ ; 36 ; andrej888 ; 378 
 884 ; Монета античная. Г. Тир ; III в до н.э. ;  ; Cu ; F+ ; 50 ; Harlock ; 222 
 885 ; Монета античная. Селевкиды, Селевк I ; 312-281 гг до н.э. ;  ; Cu ; F+ ; 29 ; sonegr ; 155 
 886 ; Монета античная. Селевкиды, Селевк I ; 312-281 гг до н.э. ;  ; Cu ; F+ ; 32 ; Sterh ; 193 
 887 ; Монета античная. Селевкиды, Антиох IV ; 175-164 гг до н.э. ;  ; Cu ; F+ ; 31 ; sonegr ; 110 
 888 ; Монета античная. Селевкиды, Антиох IV ; 175-164 гг до н.э. ;  ; Cu ; F+ ; 24 ; sonegr ; 199 
 889 ; Монета античная. Селевкиды, Антиох IX ; 114-96 гг до н.э. ;  ; Cu ; F+ ; 17 ; smel ; 340 
 890 ; Монета античная. Селевкиды, Антиох IX ; 114-96 гг до н.э. ;  ; Cu ; F+ ; 36 ; sonegr ; 215 
 891 ; Монета античная. Селевкиды, Антиох VIII ; 138-129 гг до н.э. ;  ; Cu ; F+ ; 34 ; Sterh ; 204 
 892 ; Монета античная. Селевкиды, Антиох VIII ; 138-129 гг до н.э. ;  ; Cu ; F+ ; 14 ; Sterh ; 204 
 893 ; Монета античная. Селевкиды, Деметрий I ; 162-150гг до н.э. ;  ; Cu ; F+ ; 30 ; sobiranel ; 258 
 894 ; Монета античная. Селевкиды, Антиох III ; 222-187 гг до н.э. ;  ; Cu ; F+ ; 40 ; sonegr ; 110 
 895 ; Монета античная. Г. Анамея ; II в до н.э. ;  ; Cu ; F+ ; 37 ; sonegr ; 198 
 896 ; Монета античная. Г. Антиохия ; II в до н.э. ;  ; Cu ; F+ ; 35 ; sobiranel ; 337 
 897 ; Монета античная. Г. Сидон ; II в до н.э. ;  ; Cu ; F+ ; 45 ; sonegr ; 236 
 898 ; Монета античная. Г. Амфиполис ; II в до н.э. ;  ; Cu ; F+ ; 38 ; Dahan ; 361 
 899 ; Монета античная. Г. Арад ; 350г до .н.э. ;  ; Cu ; F+ ; 33 ; sonegr ; 340 
 900 ; Монета античная. Г. Фаланна ; 350г до .н.э. ;  ; Cu ; F+ ; 50 ; Dahan ; 929 
 901 ; Фоллис. Византия, Ираклий I ; 610-641 ;  ; Cu ; F+ ; 18 ; Sterh ; 48 
 902 ; Дихалк. Пантикапей ; 90-63гг до н.э. ;  ; Cu ; F+ ; 3 ; торнадо ; 23 
 903 ; 6 грошей. Польша. Фридрих Вильгельм ; 1685BA ;  ; Ag ; F-VF ; 38 ; MDV ; 612 
 904 ; 6 грошей. Польша. Фридрих Вильгельм ; 1686BA ;  ; Ag ; F-VF ; 43 ; serg07_67 ; 203 
 905 ; 6 грошей. Польша. Фридрих Вильгельм ; 1683HS ;  ; Ag ; F-VF ; 9 ; MDV ; 301 
 906 ; Полугрош. Литва, Сигизмунд I ; 1522 ;  ; Ag ; F-VF ; 39 ; asparagus ; 271 
 907 ; 1/6 эре. Швеция ; 1673 ;  ; Cu ; F-VF ; 24 ; ML ; 240 
 908 ; Солид. Литва, Ян Казимир ; 1666 ;  ; Cu ; F+ ; 10 ; trigl ; 10 
 909 ; Монета средневековая серебр. Деформация ;  ;  ; Ag ; F+ ; 35 ; Lasto4kaSPB ; 124 
