 251 ; Медаль. Майя Плисецкая. " D - 40mm ;  ;  ; Ag ; AU ; 35 ; Karhu ; 9000 
 966 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 37 ; sssppp ; 120 
 967 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 21 ; sssppp ; 114 
 968 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 36 ; sssppp ; 108 
 969 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 11 ; sssppp ; 108 
 970 ; Копейка ; 1584-1598 ; Федор Иванович ; Ag ; F-VF ; 16 ; Pushan ; 41 
 971 ; Копейка ; 1584-1598 ; Федор Иванович ; Ag ; F-VF ; 10 ; NORG40 ; 38 
 972 ; Копейка. Легкая деформация ; 1584-1598 ; Федор Иванович ; Ag ; F-VF ; 7 ; NORG40 ; 37 
 973 ; Копейка ; 1584-1598 ; Федор Иванович Новгородский денежный двор ; Ag ; F-VF ; 18 ; Pushan ; 57 
 974 ; Копейка ; 1584-1598 ; Федор Иванович Новгородский денежный двор ; Ag ; F-VF ; 13 ; ALEXXXANGEL ; 39 
 975 ; Копейка ; 1584-1598 ; Федор Иванович Новгородский денежный двор ; Ag ; F-VF ; 12 ; elinsckij123 ; 40 
 976 ; Копейка ; 1584-1598 ; Федор Иванович Новгородский денежный двор ; Ag ; F-VF ; 19 ; Pushan ; 67 
 977 ; Копейка ; 1584-1598 ; Федор Иванович Псковский денежный двор ; Ag ; F-VF ; 14 ; NORG40 ; 36 
 978 ; Копейка ; 1584-1598 ; Федор Иванович Псковский денежный двор ; Ag ; F-VF ; 7 ; NORG40 ; 37 
 979 ; Копейка ; 1584-1598 ; Федор Иванович Псковский денежный двор ; Ag ; F-VF ; 9 ; NORG40 ; 38 
 980 ; Копейка ; 1584-1598 ; Федор Иванович Псковский денежный двор ; Ag ; F-VF ; 12 ; peck ; 41 
 981 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; F-VF ; 66 ; 1dima_s ; 461 
 982 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; VF- ; 75 ; BAG ; 515 
 983 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; F-VF ; 11 ; stivenson ; 68 
 984 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; F-VF ; 31 ; МНП68 ; 88 
 985 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; VF- ; 27 ; nbvv ; 118 
 986 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; VF- ; 39 ; shurikkk ; 204 
 987 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; VF- ; 39 ; ф-а-и ; 153 
 988 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; F-VF ; 45 ; shurikkk ; 204 
 989 ; Копейка. Деформация ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; F-VF ; 12 ; Fofors ; 46 
 990 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; F-VF ; 7 ; TMakc ; 46 
 991 ; Копейка ; 1605 ; Борис Годунов Новгородский ден.двор ; Ag ; F-VF ; 102 ; ur_adamov ; 355 
 992 ; Копейка ; 1602 ; Борис Годунов Новгородский ден.двор ; Ag ; F-VF ; 20 ; dases ; 68 
 993 ; Копейка ; 1602 ; Борис Годунов Новгородский ден.двор ; Ag ; F-VF ; 20 ; Григорий ; 50 
 994 ; Копейка ; 1603 ; Борис Годунов Новгородский ден.двор ; Ag ; F-VF ; 12 ; eugraphus ; 219 
 995 ; Копейка ; 1600 ; Борис Годунов Новгородский ден.двор ; Ag ; F-VF ; 32 ; peck ; 141 
 996 ; Копейка ; 1600 ; Борис Годунов Новгородский ден.двор ; Ag ; F-VF ; 22 ; Luarvik ; 57 
 997 ; Копейка ; 1598-1605 ; Борис Годунов Псковский ден.двор ; Ag ; F-VF ; 9 ; Sterh ; 38 
 998 ; Копейка ; 1598-1605 ; Борис Годунов Псковский ден.двор ; Ag ; F-VF ; 27 ; stivenson ; 46 
 999 ; Копейка ; 1598-1605 ; Борис Годунов Псковский ден.двор ; Ag ; F-VF ; 31 ; shurikkk ; 157 
 1000 ; Копейка ; 1598-1605 ; Борис Годунов Псковский ден.двор ; Ag ; F-VF ; 29 ; Doca ; 69 
 1001 ; Копейка ; 1606-1610 ; Василий Шуйский Московский ден.двор ; Ag ; F-VF ; 8 ; elinsckij123 ; 245 
 1002 ; Копейка ; 1606-1610 ; Василий Шуйский Московский ден.двор ; Ag ; F-VF ; 10 ; BAG ; 138 
 1003 ; Копейка ; 1610-1612 ; Владислав Жигимонтович Московский ден.двор ; Ag ; F-VF ; 24 ; filtr ; 1022 
 904 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 105 ; Bolt ; 200 
 905 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 33 ; Bolt ; 255 
 906 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 13 ; Bolt ; 306 
 907 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 34 ; Bolt ; 352 
 908 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 32 ; Marcus ; 69 
 909 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 23 ; Bolt ; 520 
 910 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 8 ; stivenson ; 26 
 911 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 27 ; Bolt ; 602 
 912 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 12 ; Bolt ; 184 
 913 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 23 ; mix55 ; 616 
 914 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 15 ; Bolt ; 235 
 915 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 7 ; mix55 ; 140 
 916 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 26 ; mix55 ; 250 
 917 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 30 ; mix55 ; 165 
 918 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 36 ; Bolt ; 499 
 919 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 88 ; ВММ ; 509 
 920 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 28 ; mix55 ; 265 
 921 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 5 ; dec9 ; 225 
 922 ; Копейка ; 1645-1676 ; Алексей Михайлович Псковский ден.двор ; Cu ; F-VF ; 18 ; Bolt ; 663 
 923 ; Копейка ; 1645-1676 ; Алексей Михайлович Псковский ден.двор ; Cu ; F-VF ; 22 ; Bolt ; 665 
 924 ; Копейка ; 1645-1676 ; Алексей Михайлович Псковский ден.двор ; Cu ; F-VF ; 29 ; Bolt ; 714 
 925 ; Копейка ; 1645-1676 ; Алексей Михайлович Новгородский ден.двор ; Cu ; F-VF ; 19 ; Bolt ; 796 
 926 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 43 ; shurikkk ; 313 
 927 ; Копейка ; 1645-1676 ; Алексей Михайлович Псковский ден.двор ; Cu ; F+ ; 63 ; elinsckij123 ; 302 
 928 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 52 ; mix55 ; 403 
 929 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 3 ; Hedeby ; 46 
 930 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 7 ; viridis ; 81 
 931 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 3 ; Luarvik ; 46 
 932 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 4 ; samsung ; 57 
 933 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 2 ; 104 кг ; 45 
 934 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 4 ; Luarvik ; 46 
 935 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 38 ; win.gradoff ; 255 
 936 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 5 ; stivenson ; 59 
 937 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 12 ; Bolt ; 187 
 938 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 5 ; МНП68 ; 63 
 939 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 5 ; Bolt ; 67 
 940 ; Копейка ; 1645-1676 ; Алексей Михайлович Новгородский ден.двор ; Cu ; F+ ; 42 ; Bolt ; 684 
 941 ; Копейка ; 1645-1676 ; Алексей Михайлович Новгородский ден.двор ; Cu ; F+ ; 31 ; mix55 ; 365 
 942 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F-VF ; 22 ; sinus ; 76 
 943 ; Пуло ; XV в ; Великое Княжество Тверское ; Cu ; F+ ; 34 ; sssppp ; 554 
 944 ; Пуло ; XV в ; Великое Княжество Тверское ; Cu ; F+ ; 35 ; sssppp ; 173 
 945 ; Пуло ; XV в ; Великое Княжество Тверское ; Cu ; F+ ; 41 ; sssppp ; 126 
 946 ; Пуло. Великое кн-во Тверское ; XV в ;  ; Cu ; F+ ; 49 ; sssppp ; 243 
 947 ; Пуло ; XV в ; Великое Княжество Тверское ; Cu ; F+ ; 45 ; suhua ; 152 
 948 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 76 ; sssppp ; 104 
 949 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 55 ; sssppp ; 108 
 950 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 47 ; sonegr ; 81 
 951 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 33 ; sssppp ; 108 
 952 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 33 ; sssppp ; 108 
 953 ; Пуло. Великое кн-во Тверское. Подражание ;  ;  ; Cu ; F+ ; 49 ; sssppp ; 108 
 854 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 49 ; HristS ; 75 
 855 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 37 ; ur_adamov ; 61 
 856 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 18 ; TMakc ; 40 
 857 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 9 ; TMakc ; 38 
 858 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F-VF ; 18 ; SSS200 ; 42 
 859 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 8 ; elinsckij123 ; 37 
 860 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 100 ; off ; 184 
 861 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F-VF ; 9 ; ALEXXXANGEL ; 38 
 862 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F-VF ; 21 ; валери ; 65 
 863 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F-VF ; 9 ; elinsckij123 ; 37 
 864 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F-VF ; 12 ; Fofors ; 39 
 865 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F-VF ; 10 ; Fofors ; 39 
 866 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 60 ; Pushan ; 67 
 867 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 7 ; BarSan ; 36 
 868 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F-VF ; 9 ; elinsckij123 ; 37 
 869 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F-VF ; 11 ; 104 кг ; 35 
 870 ; Денга. Отверстие ; 1533-1584 ; Иван IV Васильевич. Тверской денежный двор ; Ag ; F-VF ; 54 ; Григорий ; 59 
 871 ; Копейка ; 1606-1610 ; Василий Шуйский Московский ден.двор ; Ag ; F-VF ; 55 ; ВММ ; 211 
 872 ; Копейка допетровская. Инкузный след ;  ;  ; Ag ; F-VF ; 20 ; Григорий ; 25 
 873 ; Копейка ; 1610-1612 ; Владислав Жигимонтович Московский ден.двор ; Ag ; F-VF ; 30 ; sever1967 ; 222 
 874 ; Копейка ; 1611-1617 ; Шведская оккупация.Новгород ; Ag ; F-VF ; 106 ; mkm1968 ; 248 
 875 ; Копейка. Деформация ; 1611-1617 ; Шведская оккупация.Новгород ; Ag ; F+ ; 79 ; sag777 ; 135 
 876 ; Копейка ; 1611-1617 ; Шведская оккупация.Новгород ; Ag ; F-VF ; 90 ; mkm1968 ; 223 
 877 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF- ; 70 ; Pilimov ; 153 
 878 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF- ; 78 ; dases ; 204 
 879 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF- ; 23 ; Григорий ; 38 
 880 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 18 ; Григорий ; 45 
 881 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 39 ; Григорий ; 51 
 882 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 34 ; NORG40 ; 34 
 883 ; Копейка ; 1584-1598 ; Федор Иванович ; Ag ; VF- ; 24 ; smax621 ; 35 
 884 ; Копейка ; 1584-1598 ; Федор Иванович Новгородский денежный двор ; Ag ; F-VF ; 52 ; elinsckij123 ; 51 
 885 ; Копейка ; 1584-1598 ; Федор Иванович Псковский денежный двор ; Ag ; F-VF ; 38 ; SSS200 ; 51 
 886 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; VF- ; 25 ; smax621 ; 114 
 887 ; Копейка ; 1606-1610 ; Василий Шуйский Псковский ден.двор ; Ag ; F-VF ; 35 ; dec9 ; 271 
 888 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; VF- ; 96 ; dali ; 164 
 889 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 38 ; NORG40 ; 36 
 890 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; VF- ; 113 ; pissimist ; 257 
 891 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 18 ; NORG40 ; 34 
 892 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 28 ; Pushan ; 41 
 893 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 19 ; Pushan ; 38 
 894 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 25 ; Григорий ; 34 
 895 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 35 ; TMakc ; 39 
 896 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 57 ; Pushan ; 70 
 897 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 16 ; Pushan ; 36 
 898 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 15 ; ALEXXXANGEL ; 35 
 899 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 21 ; LAB-A ; 36 
 900 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 30 ; Bolt ; 184 
 901 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 17 ; Luarvik ; 215 
 902 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 53 ; Bolt ; 231 
 903 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 26 ; Bolt ; 211 
 804 ; 1/4 копейки ; 1897 ; СПБ ; Cu ; XF+ ; 140 ; ВАР1959 ; 918 
 805 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; VF+ ; 137 ; Гриша ; 822 
 806 ; 1/4 копейки ; 1909 ; СПБ ; Cu ; AU/XF ; 92 ; порт ; 858 
 807 ; 3 копейки "Окупация" ; 1916А ;  ; Fe ; XF- ; 42 ; ANK ; 1536 
 808 ; 3 копейки "оккупация" ; 1916J ;  ; Fe ; VF+ ; 23 ; ANK ; 1388 
 809 ; 2 копейки "Оккупация" ; 1916А ;  ; Fe ; F-VF ; 55 ; yurrgen ; 705 
 810 ; 2 копейки "Окупация" ; 1916J ;  ; Fe ; XF- ; 51 ; lvd ; 2040 
 811 ; 2 пара-3 копейки ; 1772 ; Валахия ; Cu ; F ; 120 ; fillin ; 885 
 812 ; 3 гроша ; 1837 ; MW Рус.-Пол. ; Cu ; F+ ; 72 ; IORANA ; 1135 
 813 ; 5 пенни ; 1867 ; Финляндия ; Cu ; VF ; 29 ; Breitling ; 282 
 814 ; 5 пенни ; 1915 ; Финляндия ; Cu ; VF- ; 22 ; Ghjcnj ; 53 
 815 ; 5 пенни ; 1916 ; Финляндия ; Cu ; VF- ; 12 ; Ghjcnj ; 53 
 816 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; VF ; 34 ; Harlock ; 98 
 817 ; 1 пенни ; 1915 ; Финляндия ; Cu ; AU/XF ; 24 ; vitketedd ; 100 
 818 ; Лот монет России (5шт): 2копейки, 1 копейка ; 1760-1841 ;  ; Cu ; G-VG ; 36 ; С Урала ; 209 
 819 ; Лот монет России (8шт): 2к,1к, денежка, полушка ; 1812-1858 ;  ; Cu ; F-VF ; 87 ; 33333335 ; 1590 
 820 ; Лот монет России (4шт): 2к,1к ; 1800-1856 ;  ; Cu ; VG-F ; 78 ; МНП68 ; 417 
 821 ; Лот монет России (4шт): 2к,1к, денга ; XVIIIв, 1735,1812,1828 ;  ; Cu ; G-F ; 33 ; Andrei2007 ; 396 
 822 ; Лот монет России (5шт): 3к,2к,1к,1/2к ; 1825-1915 ;  ; Cu ; VG-VF ; 35 ; Andrei2007 ; 470 
 823 ; Лот монет России (5шт):3к,2к,1к ; 1758-1899 ;  ; Cu ; G-VG ; 26 ; С Урала ; 194 
 824 ; Лот монет России (5шт): 5к,2к,1к,денга, полушка ; 1767-1841 ;  ; Cu ; G-VG ; 19 ; 26140 ; 417 
 825 ; Лот монет России (5шт): 5к,2к,1к1/2к ; 1711-1897 ;  ; Cu ; F/VF+ ; 52 ; МНП68 ; 1339 
 826 ; Лот монет России (7шт): 1 копейка ; 1798-1801 ;  ; Cu ; VG-F ; 54 ; МНП68 ; 344 
 827 ; Лот монет России: 5,2,1 коп, денга (8шт) ; 1736-1912 ;  ; Cu ; VF-/F ; 29 ; crackjack ; 334 
 828 ; Лот монет России (6шт): 5к,1к,денга,1/4 к ; 1730-1909 ;  ; Cu ; VG-F ; 12 ; валери ; 209 
 829 ; Лот монет России (4шт): 5к,2к ; 1801,1831,1835,1836 ;  ; Cu ; G-F ; 59 ; МНП68 ; 348 
 830 ; Лот монет России (5шт): 2к,1к, денга ; 1731-1852 ;  ; Cu ; G-VG ; 25 ; валери ; 204 
 831 ; Лот монет России (12шт): денга ; 1737-1750 ;  ; Cu ; VG-F ; 19 ; валери ; 285 
 832 ; Лот монет России (9шт): 1 копейка ; 1832-1866 ;  ; Cu ; G-F ; 12 ; sag777 ; 269 
 833 ; Лот монет России (3шт): 10к,5к,1/2к ; 1768-1781, 1782,1840 ;  ; Cu ; G/F ; 31 ; sonegr ; 295 
 834 ; Лот монет России (5шт): 2 копейки ; 1800-1818 ;  ; Cu ; F-VF ; 54 ; МНП68 ; 231 
 835 ; Лот монет России (7шт): 2 копейки ; 1812-1825 ;  ; Cu ; VG-F ; 40 ; валери ; 214 
 836 ; Лот монет России (9шт): 5к,3к,2к,1к,денга ; 1748-1911 ;  ; Cu ; G-VG ; 19 ; Юбер ; 234 
 837 ; Лот монет России (7шт): 2 копейки ; 1813-1828 ;  ; Cu ; VG-F ; 37 ; валери ; 189 
 838 ; Лот монет России (7шт): 2 копейки ; 1811-1825 ;  ; Cu ; G-F ; 8 ; валери ; 214 
 839 ; Лот монет России (8шт): 2к,1к, 1/2к, полушка ; 1736-1845 ;  ; Cu ; G-F ; 19 ; валери ; 247 
 840 ; Лот монет России (17шт): 3к,2к,1к,денга,полушка ; 1731-1909 ;  ; Cu ; F-VF/F ; 60 ; Evgeniy77 ; 516 
 841 ; Лот монет России (4шт): 2к,1к ; 1899-1913 ;  ; Cu ; G-F ; 26 ; С Урала ; 114 
 842 ; Лот монет России (2шт): 5 копеек ; 1834,1867 ;  ; Cu ; F-VF ; 26 ; Rjn ; 762 
 843 ; Лот монет России (5шт): 2 копейки ; 1837-1839 ;  ; Cu ; G-VG ; 18 ; МНП68 ; 281 
 844 ; Лот монет России (9шт): 1/2к, 1/4к ; 1771-1910 ;  ; Cu ; G-F ; 38 ; yury64 ; 588 
 845 ; Лот монет России (5шт): 1к, денга ; 1735-1841 ;  ; Cu ; G-VG ; 24 ; gav1980 ; 674 
 846 ; Лот монет России (3шт): 2 копейки ; 1905,1908,1914 ;  ; Cu ; F+/VF ; 45 ; апрол ; 105 
 847 ; Лот монет России (3шт): 1 копейка ; 1823,1855,1906 ;  ; Cu ; VG/F ; 19 ; барсик ; 111 
 848 ; Лот монет России: денга (3шт) ; 1731-1738 ;  ; Cu ; F/F+ ; 24 ; С Урала ; 79 
 849 ; Мечевая копейка ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 43 ; dec9 ; 204 
 850 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 45 ; CVV68 ; 108 
 851 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 62 ; Fofors ; 139 
 852 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 28 ; Fofors ; 40 
 853 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; VF- ; 38 ; obr73 ; 201 
 754 ; Денежка ; 1859 ; ЕМ ; Cu ; VF-XF ; 82 ; vvt ; 898 
 755 ; 1/2 копейки ; 1873 ; ЕМ ; Cu ; VF+ ; 135 ; suren ; 3625 
 756 ; 1/2 копейки ; 1878 ; СПБ ; Cu ; VF ; 63 ; кабан ; 2040 
 757 ; 1/2 копейки ; 1896 ; СПБ ; Cu ; AU/XF ; 143 ; kondor300 ; 857 
 758 ; 1/2 копейки ; 1897 ; СПБ ; Cu ; XF ; 66 ; sibtec ; 159 
 759 ; 1/2 копейки ; 1900 ; СПБ ; Cu ; AU ; 70 ; konst ; 1026 
 760 ; 1/2 копейки ; 1908 ; СПБ ; Cu ; XF+ ; 121 ; cboker ; 657 
 761 ; 1/2 копейки ; 1909 ; СПБ ; Cu ; AU ; 109 ; joper69 ; 226 
 762 ; 1/2 копейки ; 1911 ; СПБ ; Cu ; XF ; 13 ; grisha2401 ; 81 
 763 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; VF-XF ; 55 ; джон007 ; 59 
 764 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; XF- ; 24 ; 565566 ; 75 
 765 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; XF- ; 60 ; dryupa81 ; 69 
 766 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; VF-XF ; 38 ; das12 ; 107 
 767 ; 1/2 копейки ; 1913 ; СПБ ; Cu ; AU ; 110 ; MAD_B ; 219 
 768 ; 1/2 копейки ; 1913 ; СПБ ; Cu ; VF ; 28 ; dennn ; 73 
 769 ; 1/2 копейки ; 1913 ; СПБ ; Cu ; VF ; 31 ; Cuff ; 51 
 770 ; 1/2 копейки ; 1913 ; СПБ ; Cu ; VF+ ; 10 ; Rober ; 51 
 771 ; 1/2 копейки ; 1914 ; СПБ ; Cu ; VF+ ; 38 ; Рэп-6 ; 63 
 772 ; 1/2 копейки ; 1915 ;  ; Cu ; XF+ ; 113 ; das12 ; 367 
 773 ; Полушка ; 1707 ;  ; Cu ; F-VF ; 64 ; shneyder ; 1101 
 774 ; Полушка ; 1718 ;  ; Cu ; VF- ; 139 ; SSK ; 1777 
 775 ; Полушка ; 1730 ; Орёл 1730 г. ; Cu ; F- ; 80 ; SSK ; 300 
 776 ; Полушка ; 1731 ; Орёл 1730 г. ; Cu ; F+ ; 7 ; УФА ; 102 
 777 ; Полушка ; 1731 ; Орёл 1730 г. ; Cu ; F-VF ; 56 ; taigist ; 67 
 778 ; Полушка ; 1731 ; Орёл 1730 г. ; Cu ; G ; 31 ; С Урала ; 38 
 779 ; Полушка ; 1731 ; Орёл 1730 г. ; Cu ; F- ; 27 ; кабан ; 28 
 780 ; Полушка ; 1734 ; Орёл 1730 г. ; Cu ; F-VF ; 36 ; vvr ; 95 
 781 ; Полушка ; 1735 ; Орёл 1735 г. ; Cu ; F-VF ; 9 ; кабан ; 117 
 782 ; Полушка ; 1735 ; Орёл 1735 г. ; Cu ; F-VF ; 43 ; yurrgen ; 43 
 783 ; Полушка ; 1736 ; Орёл 1735 г. ; Cu ; VF- ; 26 ; crackjack ; 81 
 784 ; Полушка ; 1736 ; Орёл 1735 г. ; Cu ; F ; 26 ; vvr ; 234 
 785 ; Полушка ; 1737 ; Орёл 1738 г. ; Cu ; F-VF ; 89 ; кабан ; 150 
 786 ; Полушка ; 1738 ; Орёл 1730 г. ; Cu ; F-VF ; 43 ; кабан ; 225 
 787 ; Полушка ; 1749 ; Орёл 1748 г. ; Cu ; F-VF ; 50 ; RuByLa ; 247 
 788 ; Полушка ; 1749 ; Орёл 1748 г. ; Cu ; F ; 43 ; crackjack ; 227 
 789 ; Полушка ; 1766 ; ЕМ ; Cu ; F ; 102 ; ф-а-и ; 300 
 790 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VG ; 78 ; 1dima_s ; 447 
 791 ; Полушка ; 1770 ; КМ "Сибирь" ; Cu ; F- ; 141 ; кабан ; 482 
 792 ; Полушка ; 1789 ; ЕМ ; Cu ; F-VF ; 63 ; кабан ; 164 
 793 ; Полушка ; 1792 ; КМ ; Cu ; VG ; 187 ; нумизмат ; 1541 
