 5814 ; Бона иностранная. Бельгия ; 1942 ;  ;  ;  ; 61 ; Первый Самураец ; 2550 
 852 ; Антониниан. Рим, имп. Аврелиан. М-3,56гр ; 270-275 ;  ; Ag ; VF-/F-VF ; 31 ; Hada ; 2042 
 853 ; Антониниан. Рим, имп. Диоклетиан. М-3,87гр ; 284-305 ;  ; Ag ; F+ ; 14 ; Searcher ; 365 
 854 ; Антониниан. Рим, имп. Диоклетиан. М-3,68гр ; 284-305 ;  ; Ag ; F-VF ; 29 ; ptitsinag ; 561 
 855 ; Антониниан. Рим, имп. Диоклетиан. М-3,85гр ; 284-305 ;  ; Ag ; F-VF ; 19 ; Amonius ; 577 
 856 ; Антониниан. Рим, имп. Проб. М-3,46гр ; 276-282 ;  ; Cu, посер ; F-VF ; 16 ; lestes ; 2040 
 857 ; Антониниан. Рим, имп. Проб. М-3,65гр ; 276-282 ;  ; Cu, посер ; VF-/F-VF ; 37 ; lestes ; 2550 
 858 ; Антониниан. Рим, имп. Проб. М-4,06гр ; 276-282 ;  ; Cu, посер ; VF-/F-VF ; 46 ; lestes ; 3341 
 859 ; Антониниан. Рим, имп. Проб. М-3,92гр ; 276-282 ;  ; Cu ; F-VF ; 37 ; lestes ; 2040 
 860 ; Антониниан. Рим, имп. Аврелиан. М-3,92гр ; 270-275 ;  ; Cu ; F+ ; 26 ; lestes ; 1020 
 861 ; Антониниан. Рим, имп. Аврелиан. М-3,63гр ; 270-275 ;  ; Cu ; F-VF ; 16 ; dimasmirnov ; 337 
 862 ; Монета. Рим, имп. Флавий Аркадий. М-4,89гр ; 383-408 ;  ; Cu ; F+ ; 12 ; a_kog ; 1020 
 863 ; Монета. Византия. М-1,20гр ;  ;  ; Cu ; F ; 15 ; Варяг_2010 ; 261 
 864 ; Асс. Рим, имп. Домициан. М-11,35гр ; 81-96 ;  ; Cu ; F ; 13 ; Григориус ; 185 
 865 ; Фоллис. Римская империя, Елена Августа (мать Константина I). М-1,06гр ; 325-326 ;  ; Cu ; F ; 11 ; скорпион_48 ; 123 
 866 ; Монета. Рим, имп. Константин Галл. М-2,55гр ; 351-354 ;  ; Cu ; F ; 16 ; Kazan16rus ; 191 
 867 ; Аспрон. Византия, Исаак II. М-1,00гр ; 1185-1195 ;  ; Биллон ; F+ ; 7 ; Варяг_2010 ; 227 
 868 ; АЕ. Рим, имп. Константин Галл. М-2,09гр ; 351-354 ;  ; Cu ; F ; 35 ; Ant230977 ; 337 
 869 ; Аспрон. Византия, Алексей III. М-2,62гр ; 1195-1203 ;  ; Биллон ; F ; 23 ; барсик ; 214 
 870 ; Фоллис. Римская империя, Фаустина. М-2,80гр ; 326-327 ;  ; Cu ; F ; 17 ; vangog3 ; 117 
 871 ; Фоллис. Рим, имп. Клавдий II. М-2,75гр ; 268-270 ;  ; Cu ; F ; 11 ; vangog3 ; 117 
 872 ; Трахея. Византия. М-3,23гр ; 10в ;  ; Cu ; F+ ; 13 ; bazator ; 386 
 873 ; Трахея. Византия. М-4,36гр ; 10в ;  ; Cu ; F+ ; 19 ; Searcher ; 488 
 874 ; Трахея. Византия. М-3,69гр ; 10в ;  ; Cu ; F+ ; 20 ; Jauho ; 285 
 875 ; Деканумия. Византия, Никомедия,  Анастасий ; 491-518 ;  ; Cu ; F+ ; 21 ; ТИПУН АЙХУН! ; 175 
 876 ; Фоллис. Византия, Константинополь, Фока ; 602-610 ;  ; Cu ; F+ ; 13 ; cochu ; 127 
 877 ; Фоллис. Византия, Константинополь, Ираклий ; 610-640 ;  ; Cu ; F+ ; 45 ; скорпион_48 ; 116 
 878 ; Фоллис. Византия, Константинополь, Ираклий ; 610-640 ;  ; Cu ; F+ ; 19 ; Postevoy78 ; 217 
 772 ; Денга. Иван III Васильевич ; 1462-1505 ;  ; Ag ; F-VF ; 17 ; aziya11 ; 203 
 773 ; Денга. Утеряна часть монеты. Михаил Борисович ; 1461-1485 ; Великое Княжество Тверское ; Ag ; F-VF ; 26 ; орел414151 ; 1938 
 774 ; Денга. Князь Борис Александрович ; 1425-1461 ; Великое Княжество Тверское. Борис Александрович ; Ag ; F-VF ; 36 ; verdade ; 2562 
 775 ; Денга. Василий Дмитриевич ; 1389-1425 ;  ; Ag ; F-VF ; 64 ; Petrogradka ; 6426 
 776 ; Денга ; 1389-1425 ; Василий Дмитриевич ; Ag ; F ; 32 ; sinus ; 4590 
 777 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 13 ; fishechka ; 1836 
 778 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 21 ; von_Schwarz ; 609 
 779 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 34 ; yurrgen ; 274 
 780 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; F-VF ; 30 ; Степан_81 ; 65 
 781 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 12 ; Kazan16rus ; 67 
 782 ; Полушка. Деформация ; 1533-1584 ; Иван IV Васильевич ; Ag ; F+ ; 20 ; fishechka ; 771 
 783 ; Денга ; 1613-1645 ; Михаил Федорович Московский ден.двор ; Ag ; F+ ; 16 ; ЛАВ-13 ; 114 
 784 ; Копейка ; после 1696 ; Петр Алексеевич ; Ag ; F-VF ; 13 ; Don_kihot77 ; 42 
 785 ; Копейка ; 1645-1676 ; Алексей Михайлович Московский ден.двор ; Cu ; F+ ; 11 ; SadKo ; 43 
 786 ; Денга ; 1682-1696 ; Иван V Алексеевич ; Ag ; F-VF ; 21 ; sher60 ; 713 
 787 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 28 ; Лом 62 ; 487 
 788 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 23 ; Энтерпрайз ; 1020 
 789 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 27 ; Cobrador11 ; 357 
 790 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 23 ; За державу обидно ; 184 
 791 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 32 ; byrozka ; 185 
 792 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 23 ; byrozka ; 171 
 793 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 51 ; ЛАВ-13 ; 789 
 794 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 38 ; За державу обидно ; 204 
 795 ; Денга псковская ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 49 ; пузиков ; 917 
 796 ; Денга псковская ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 18 ; Jauho ; 368 
 797 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 22 ; НЗ ; 265 
 798 ; Денга ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 24 ; viktorius ; 765 
 799 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 31 ; byrozka ; 206 
 800 ; Денга ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 22 ; лайк ; 185 
 801 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 17 ; лайк ; 204 
 802 ; Денга ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 26 ; viridis ; 1173 
 803 ; Денга ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 22 ; ЛАВ-13 ; 408 
 804 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 10 ; SadKo ; 167 
 805 ; Денга ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 18 ; eugraphus ; 209 
 806 ; Денга ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 31 ; DnSr ; 612 
 807 ; Денга ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 12 ; aziya11 ; 90 
 808 ; Денга. Деформация ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 10 ; За державу обидно ; 118 
 809 ; Денга ; 1505-1533 ; Василий III Иванович ; Ag ; F-VF ; 13 ; За державу обидно ; 75 
 810 ; Денга. Иван III Васильевич. Тверь ; 1462-1505 ;  ; Ag ; F-VF ; 25 ; Лом 62 ; 408 
 811 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 33 ; nemetz ; 186 
 812 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F+ ; 10 ; byrozka ; 140 
 813 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 15 ; byrozka ; 127 
 814 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 19 ; astronotus ; 156 
 815 ; Денга "Дозор". Иван III Васильевич ; 1462-1505 ;  ; Ag ; F-VF ; 15 ; aziya11 ; 123 
 816 ; Денга "Дозор". Иван III Васильевич ; 1462-1505 ;  ; Ag ; F-VF ; 16 ; лайк ; 153 
 817 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 22 ; aziya11 ; 87 
 818 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 13 ; За державу обидно ; 116 
 819 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 17 ; aziya11 ; 51 
 820 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 8 ; aziya11 ; 51 
 821 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 15 ; За державу обидно ; 74 
 707 ; 1 пенни ; 1901 ; Финляндия ; Cu ; XF+ ; 9 ; mishael07 ; 100 
 708 ; 1 пенни ; 1905 ; Финляндия ; Cu ; XF+ ; 15 ; Roman1976 ; 151 
 709 ; 1 пенни ; 1907 ; Финляндия ; Cu ; XF ; 10 ; Don_kihot77 ; 60 
 710 ; 1 пенни ; 1909 ; Финляндия ; Cu ; AU ; 16 ; mishael07 ; 170 
 711 ; 1 пенни ; 1911 ; Финляндия ; Cu ; XF ; 23 ; bva150979 ; 134 
 712 ; 1 пенни ; 1911 ; Финляндия ; Cu ; AU/XF ; 22 ; Con amore per sempre ; 99 
 713 ; 1 пенни ; 1912 ; Финляндия ; Cu ; XF+ ; 9 ; Don_kihot77 ; 59 
 714 ; 1 пенни ; 1913 ; Финляндия ; Cu ; XF ; 19 ; kornum ; 174 
 715 ; 1 пенни ; 1914 ; Финляндия ; Cu ; XF+ ; 11 ; doiu33 ; 101 
 716 ; 1 пенни ; 1914 ; Финляндия ; Cu ; AU ; 21 ; НЗ ; 227 
 717 ; 1 пенни ; 1915 ; Финляндия ; Cu ; AU ; 13 ; НЗ ; 123 
 718 ; 1 пенни ; 1915 ; Финляндия ; Cu ; AU ; 8 ; mishael07 ; 102 
 719 ; 1 пенни ; 1916 ; Финляндия ; Cu ; AU ; 12 ; byrozka ; 69 
 720 ; 1 пенни ; 1916 ; Финляндия ; Cu ; AU ; 32 ; byrozka ; 74 
 721 ; 1 пенни ; 1916 ; Финляндия ; Cu ; AU ; 14 ; topdv ; 179 
 722 ; 1 пенни ; 1917 ; Финляндия ; Cu ; XF ; 8 ; dic79 ; 123 
 723 ; 1 пенни ; 1917 ; Финляндия ; Cu ; AU ; 17 ; topdv ; 269 
 724 ; Лот монет России: 5,1,1/2 коп (7шт) ; 1875-1916 ;  ; Cu,Fe ; F+/VG ; 38 ; l1 ; 813 
 725 ; Лот монет России (3шт): 3к,2к,1к ; 1909,1911,1915 ;  ; Cu ; VF+/F ; 27 ; Kazan16rus ; 104 
 726 ; Лот монет России: 2 коп (5шт) ; 1898-1914 ;  ; Cu ; VF-/VG ; 19 ; Kazan16rus ; 159 
 727 ; Лот монет России: 3 коп (3шт) ; 1880-1913 ;  ; Cu ; F+/VG ; 13 ; kap.alexey ; 79 
 728 ; Лот монет России: 1 коп (5шт) ; 1899-1915 ;  ; Cu ; VF-/VG ; 25 ; Don_kihot77 ; 102 
 729 ; Лот монет России: денга (3шт) ; 1731-1737 ;  ; Cu ; VG ; 36 ; Kazan16rus ; 140 
 730 ; Лот монет России: 2,1 коп (7шт) ; 1798-1818 ;  ; Cu ; VG ; 36 ; Jauho ; 414 
 731 ; Лот монет России: 1 пенни (4шт) ; 1913-1916 ;  ; Cu ; AU ; 19 ; otmorozok ; 400 
 732 ; Лот монет Финляндии: 5,1 пенни (3шт) ; 1866,1873,1888 ;  ; Cu ; F-VF/VF ; 21 ; 5252 ; 918 
 733 ; Лот монет России для Финляндии (3шт): 5 пенни ; 1915,1916,1917 ;  ; Cu ; XF+/XF- ; 21 ; Roman1976 ; 469 
 734 ; Лот монет России: 10,5,1 пенни (5шт). Отверстие на 10 пенни ; 1901-1916 ;  ; Cu ; F-VF/VG ; 11 ; Kazan16rus ; 117 
 735 ; Лот монет России (3шт): 5к,3к ; 1875,1907,1911 ;  ; Cu ; F+/VG ; 39 ; НЭРИ ; 867 
 736 ; Лот монет России (8шт): 2к, денга ; 1738-1827 ;  ; Cu ; F/VG ; 21 ; Jauho ; 459 
 737 ; Лот монет России: 2,1 коп, денга (11шт) ; 1765-1854 ;  ; Cu ; VG ; 41 ; Paradox76 ; 812 
 738 ; Лот монет России (4шт): 1/2к, 1 пенни ; 1912,1915,1916 ;  ; Cu ; AU/XF ; 17 ; 5252 ; 495 
 739 ; Лот монет России: 5,3,2,1 коп (9шт) ; 1757-1894 ;  ; Cu ; G ; 18 ; мон ; 114 
 755 ; Денга ; 1420-1478 ; Великий Новгород ; Ag ; F-VF ; 50 ; virtualman ; 2285 
 756 ; Танга ; 1402-1427 ; Великое Княжество Рязанское. Федор Олегович ; Ag ; F-VF ; 41 ; Petrogradka ; 1587 
 757 ; Денга ; 1362-1389 ; Дмитрий Иванович (Донской) ; Ag ; F+ ; 29 ; Геолог ; 5667 
 758 ; Денга ; 1389-1425 ; Василий Дмитриевич ; Ag ; F-VF ; 52 ; Petrogradka ; 8461 
 759 ; Денга ; 1420-1478 ; Великий Новгород ; Ag ; F-VF ; 45 ; Cobrador11 ; 2119 
 760 ; Денга ; 1425-1510 ; Псков ; Ag ; F-VF ; 31 ; virtualman ; 4284 
 761 ; Денга. Андрей Дмитриевич ; 1389-1432 ; Удельное Княжество Можайское ; Ag ; F-VF ; 109 ; Petrogradka ; 30714 
 762 ; Денга. Петр Дмитриевич ; 14в ; Дмитровское Удельное Княжество ; Ag ; F-VF ; 74 ; Petrogradka ; 19382 
 763 ; Денга. Борис Александрович ; 1425-1461 ; Великое Княжество Тверское ; Ag ; F-VF ; 33 ; орел414151 ; 3947 
 764 ; Денга. Борис Александрович ; 1425-1461 ; Великое Княжество Тверское ; Ag ; F-VF ; 17 ; Борман ; 2020 
 765 ; Денга. Михаил Борисович ; 1461-1485 ; Великое Княжество Тверское ; Ag ; F-VF ; 39 ; vladime ; 2550 
 766 ; Денга. Семен Владимирович (Боровский) ; 1410-1426 ; Серпуховское Удельное Княжество ; Ag ; F-VF ; 49 ; Petrogradka ; 4103 
 767 ; Денга. Василий Ярославович ; 1426-1483 ; Серпуховское Удельное Княжество ; Ag ; F-VF ; 37 ; virtualman ; 4420 
 768 ; Денга. Суздальско-Нижегородское кн-во. Даниил Борисович ; 15в ;  ; Ag ; F-VF ; 24 ; Andrei2007 ; 426 
 769 ; Денга. Суздальско-Нижегородское кн-во. ; 15в ;  ; Ag ; F-VF ; 58 ; DATR ; 449 
 770 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 14 ; пузиков ; 466 
 771 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 44 ; Майкл ; 1356 
 657 ; 10 пенни ; 1905 ; Финляндия ; Cu ; VF+ ; 4 ; 5252 ; 113 
 658 ; 10 пенни ; 1907 ; Финляндия ; Cu ; VF ; 11 ; doiu33 ; 114 
 659 ; 10 пенни ; 1908 ; Финляндия ; Cu ; VF+ ; 19 ; 5252 ; 227 
 660 ; 10 пенни ; 1911 ; Финляндия ; Cu ; VF+ ; 14 ; 5252 ; 226 
 661 ; 10 пенни ; 1912 ; Финляндия ; Cu ; VF- ; 9 ; 5252 ; 125 
 662 ; 10 пенни ; 1914 ; Финляндия ; Cu ; VF-XF ; 9 ; 5252 ; 225 
 663 ; 10 пенни ; 1914 ; Финляндия ; Cu ; XF- ; 14 ; 5252 ; 161 
 664 ; 10 пенни ; 1915 ; Финляндия ; Cu ; XF- ; 24 ; Accord628 ; 434 
 665 ; 10 пенни ; 1915 ; Финляндия ; Cu ; VF ; 9 ; 5252 ; 120 
 666 ; 10 пенни ; 1916 ; Финляндия ; Cu ; VF-XF ; 10 ; 5252 ; 128 
 667 ; 10 пенни ; 1916 ; Финляндия ; Cu ; VF+ ; 12 ; boroda ; 115 
 668 ; 10 пенни ; 1916 ; Финляндия ; Cu ; XF ; 15 ; topdv ; 216 
 669 ; 10 пенни ; 1917 ; Финляндия. Орёл ; Cu ; XF- ; 17 ; dic79 ; 159 
 670 ; 10 пенни ; 1917 ; Финляндия. Орёл ; Cu ; XF+ ; 32 ; topdv ; 612 
 671 ; 10 пенни ; 1917 ; Финляндия. Орёл ; Cu ; XF ; 45 ; НЗ ; 400 
 672 ; 5 пенни ; 1866 ; Финляндия ; Cu ; F-VF ; 15 ; guran ; 220 
 673 ; 5 пенни ; 1866 ; Финляндия ; Cu ; VF+ ; 52 ; Sky2 ; 1270 
 674 ; 5 пенни ; 1875 ; Финляндия ; Cu ; VF ; 40 ; 5252 ; 306 
 675 ; 5 пенни ; 1875 ; Финляндия ; Cu ; VF+ ; 34 ; Sky2 ; 1122 
 676 ; 5 пенни ; 1889 ; Финляндия ; Cu ; F-VF ; 51 ; 5252 ; 453 
 677 ; 5 пенни ; 1897 ; Финляндия ; Cu ; VF- ; 28 ; boroda ; 261 
 678 ; 5 пенни ; 1898 ; Финляндия ; Cu ; VF- ; 7 ; 5252 ; 90 
 679 ; 5 пенни ; 1899 ; Финляндия ; Cu ; VF ; 10 ; boroda ; 100 
 680 ; 5 пенни ; 1901 ; Финляндия ; Cu ; VF ; 15 ; Don_kihot77 ; 82 
 681 ; 5 пенни ; 1906 ; Финляндия ; Cu ; F-VF ; 7 ; Don_kihot77 ; 57 
 682 ; 5 пенни ; 1906 ; Финляндия ; Cu ; VF- ; 7 ; Don_kihot77 ; 82 
 683 ; 5 пенни ; 1907 ; Финляндия ; Cu ; VF- ; 9 ; boroda ; 68 
 684 ; 5 пенни ; 1908 ; Финляндия ; Cu ; VF- ; 13 ; Don_kihot77 ; 82 
 685 ; 5 пенни ; 1908 ; Финляндия ; Cu ; VF+ ; 9 ; doiu33 ; 114 
 686 ; 5 пенни ; 1911 ; Финляндия ; Cu ; XF ; 11 ; Don_kihot77 ; 61 
 687 ; 5 пенни ; 1911 ; Финляндия ; Cu ; VF ; 9 ; boroda ; 79 
 688 ; 5 пенни ; 1912 ; Финляндия ; Cu ; VF- ; 5 ; boroda ; 91 
 689 ; 5 пенни ; 1913 ; Финляндия ; Cu ; VF+ ; 7 ; boroda ; 43 
 690 ; 5 пенни ; 1913 ; Финляндия ; Cu ; XF ; 6 ; 1023oxana ; 71 
 691 ; 5 пенни ; 1913 ; Финляндия ; Cu ; VF-XF ; 7 ; boroda ; 48 
 692 ; 5 пенни ; 1914 ; Финляндия ; Cu ; VF-XF ; 7 ; kent01 ; 102 
 693 ; 5 пенни ; 1915 ; Финляндия ; Cu ; XF- ; 5 ; boroda ; 69 
 694 ; 5 пенни ; 1916 ; Финляндия ; Cu ; G ; 18 ; khumo ; 50 
 695 ; 5 пенни ; 1916 ; Финляндия ; Cu ; XF- ; 17 ; boroda ; 73 
 696 ; 5 пенни ; 1917 ; Финляндия. Вензель ; Cu ; XF- ; 5 ; kent01 ; 102 
 697 ; 5 пенни. Вензель ; 1917 ; Финляндия. Вензель ; Cu ; AU ; 16 ; topdv ; 418 
 698 ; 5 пенни ; 1917 ; Финляндия. Вензель ; Cu ; XF ; 24 ; 1023oxana ; 176 
 699 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; VF-XF ; 10 ; mask ; 82 
 700 ; 5 пенни. Орел ; 1917 ; Финляндия. Орёл ; Cu ; AU ; 21 ; Нум24 ; 227 
 701 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; AU ; 18 ; topdv ; 367 
 702 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; XF+ ; 21 ; НЗ ; 132 
 703 ; 1 пенни ; 1875 ; Финляндия ; Cu ; VF-XF ; 31 ; Sky2 ; 1632 
 704 ; 1 пенни ; 1895 ; Финляндия ; Cu ; XF- ; 12 ; cond ; 713 
 705 ; 1 пенни ; 1900 ; Финляндия ; Cu ; XF- ; 27 ; Roman1976 ; 148 
 706 ; 1 пенни ; 1901 ; Финляндия ; Cu ; XF- ; 15 ; Roman1976 ; 150 
 607 ; Денга ; 1775 ; КМ "Сибирь" ; Cu ; VF- ; 40 ; Хаа ; 1915 
 608 ; Денга ; 1788 ;  ; Cu ; F+ ; 25 ; 16840 ; 257 
 609 ; Полушка ; 1797 ; АМ ; Cu ; VF ; 33 ; Хаа ; 4440 
 610 ; Деньга (Петров-1р, Ильин-3р) ; 1797 ; КМ ; Cu ; F+ ; 33 ; Хаа ; 4377 
 611 ; Деньга ; 1811 ; ИМ МК ; Cu ; F- ; 26 ; 16840 ; 660 
 612 ; 1/2 копейки ; 1840 ; ЕМ ; Cu ; VG ; 25 ; zarnord ; 100 
 613 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; VF-XF ; 31 ; kornum ; 1387 
 614 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 38 ; karinnt ; 1377 
 615 ; 1/2 копейки ; 1846 ; СМ ; Cu ; F ; 19 ; zine65 ; 512 
 616 ; Денежка ; 1859 ; ЕМ ; Cu ; F+ ; 14 ; pvg111 ; 431 
 617 ; Денежка ; 1860 ; ЕМ ; Cu ; VF+ ; 15 ; karinnt ; 1019 
 618 ; 1/2 копейки ; 1876 ; СПБ ; Cu ; XF+ ; 40 ; kis4ter ; 2694 
 619 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; XF ; 83 ; maxm812 ; 2257 
 620 ; 1/2 копейки ; 1897 ; СПБ ; Cu ; AU ; 30 ; Во все тяжкие ; 883 
 621 ; 1/2 копейки ; 1898 ; СПБ ; Cu ; VF+ ; 16 ; Accord628 ; 189 
 622 ; 1/2 копейки ; 1910 ; СПБ ; Cu ; VF- ; 21 ; петрович 1954 ; 214 
 623 ; 1/2 копейки ; 1911 ; СПБ ; Cu ; XF+ ; 24 ; Ferros ; 141 
 624 ; 1/2 копейки ; 1911 ; СПБ ; Cu ; VF ; 39 ; Horta ; 155 
 625 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; AU ; 14 ; левша72 ; 255 
 626 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; VF ; 15 ; Horta ; 93 
 627 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; VF+ ; 12 ; Yamilov ; 81 
 628 ; 1/2 копейки ; 1913 ; СПБ ; Cu ; XF- ; 25 ; Accord628 ; 224 
 629 ; Полушка ; 1721 ; НД ; Cu ; VF ; 54 ; benc ; 2833 
 630 ; Полушка ; 1721 ;  ; Cu ; F ; 17 ; лайк ; 110 
 631 ; Полушка ; 1735 ; Орёл 1735 г. ; Cu ; VF ; 9 ; rirosrob ; 101 
 632 ; Полушка ; 1759 ;  ; Cu ; VG ; 22 ; ДИСЫЧ ; 612 
 633 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VF- ; 59 ; Vova1950 ; 584 
 634 ; Полушка ; 1779 ; КМ "Сибирь" ; Cu ; F+ ; 21 ; Vova1950 ; 721 
 635 ; Полушка ; 1794 ; КМ ; Cu ; VF- ; 55 ; Майкл ; 1587 
 636 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; VF- ; 18 ; Димыч ; 267 
 637 ; Полушка ; 1850 ; ЕМ ; Cu ; F-VF ; 23 ; Fray ; 716 
 638 ; 1/4 копейки. В капсуле NGC ; 1898 ; СПБ ; Cu ; MS63 ; 34 ; Во все тяжкие ; 1734 
 639 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; VF-XF ; 36 ; maxm812 ; 1062 
 640 ; 3 копейки "Оккупация" ; 1916А ;  ; Fe ; VF ; 18 ; Accord628 ; 513 
 641 ; 3 копейки "оккупация" ; 1916J ;  ; Fe ; F-VF ; 13 ; r52andrey ; 400 
 642 ; 2 копейки "оккупация" ; 1916J ;  ; Fe ; VF ; 27 ; VOLKODAVS5 ; 410 
 643 ; 1 копейка "оккупация" ; 1916J ;  ; Fe ; F+ ; 21 ; ВЯЗЪ ; 401 
 644 ; 1 грош ; 1839 ; MW Рус.-Пол. ; Cu ; F-VF ; 50 ; pvg111 ; 1388 
 645 ; 10 пенни ; 1865 ; Финляндия ; Cu ; VF-XF ; 45 ; Sky2 ; 1802 
 646 ; 10 пенни ; 1865 ; Финляндия ; Cu ; VF- ; 16 ; dic79 ; 132 
 647 ; 10 пенни ; 1891 ; Финляндия ; Cu ; F+ ; 11 ; ОМОН10 ; 750 
 648 ; 10 пенни ; 1891 ; Финляндия ; Cu ; VF+ ; 38 ; 5252 ; 1653 
 649 ; 10 пенни ; 1896 ; Финляндия ; Cu ; VF-XF ; 29 ; svv ; 2142 
 650 ; 10 пенни ; 1897 ; Финляндия ; Cu ; VF- ; 11 ; 5252 ; 66 
 651 ; 10 пенни ; 1897 ; Финляндия ; Cu ; VF- ; 9 ; 5252 ; 120 
 652 ; 10 пенни ; 1899 ; Финляндия ; Cu ; VF ; 9 ; 5252 ; 153 
 653 ; 10 пенни ; 1899 ; Финляндия ; Cu ; VF- ; 11 ; boroda ; 90 
 654 ; 10 пенни ; 1900 ; Финляндия ; Cu ; VF ; 19 ; 5252 ; 225 
 655 ; 10 пенни ; 1905 ; Финляндия ; Cu ; VF+ ; 15 ; 5252 ; 160 
 656 ; 10 пенни ; 1905 ; Финляндия ; Cu ; VF ; 9 ; bva150979 ; 114 
 557 ; Копейка ; 1811 ; ИМ МК ; Cu ; VF ; 49 ; Димыч ; 1473 
 558 ; Копейка ; 1818 ; ЕМ НМ ; Cu ; VF- ; 14 ; wk1965 ; 1031 
 559 ; Копейка ; 1819 ; КМ АД ; Cu ; F-VF ; 24 ; mefody73 ; 225 
 560 ; Копейка ; 1821 ; ИМ ЯВ ; Cu ; F+ ; 16 ; karinnt ; 425 
 561 ; Копейка Инкузный След ; 1821 ; ИМ ЯВ ; Cu ; F- ; 28 ; dimon46 ; 793 
 562 ; Копейка ; 1822 ; ЕМ ФГ ; Cu ; F ; 19 ; Димыч ; 201 
 563 ; Копейка ; 1823 ; ЕМ ФГ ; Cu ; VG ; 20 ; zine65 ; 308 
 564 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; VF- ; 13 ; Димыч ; 363 
 565 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; VF- ; 19 ; zine65 ; 310 
 566 ; Копейка ; 1836 ; ЕМ ФХ ; Cu ; VG ; 13 ; alex995 ; 59 
 567 ; Копейка ; 1842 ; ЕМ ; Cu ; F+ ; 19 ; RemTro ; 143 
 568 ; Копейка ; 1842 ; СМ ; Cu ; VF- ; 12 ; ssss ; 544 
 569 ; Копейка ; 1853 ; ЕМ ; Cu ; F ; 30 ; Fray ; 153 
 570 ; Копейка ; 1854 ; ЕМ ; Cu ; VF ; 27 ; Olmin ; 306 
 571 ; Копейка ; 1855 ; ЕМ ; Cu ; VF ; 9 ; Ten Nochi ; 521 
