 5619 ; Лот бон 100 штук Китай ;  ;  ;  ; AU ; 22 ; USS ; 558 
 736 ; Копейка ; 1682-1696 ; Иван V Алексеевич ; Ag ; F-VF ; 27 ; Интересант ; 355 
 737 ; Копейка ; 1682-1696 ; Иван V Алексеевич ; Ag ; VF- ; 37 ; bniuyt ; 332 
 738 ; Денга ; 1533-1584 ; Иван IV Васильевич. Тверской денежный двор ; Ag ; VF ; 17 ; aziya11 ; 106 
 739 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F+ ; 12 ; aziya11 ; 80 
 740 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 6 ; igor26 ; 67 
 741 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 7 ; Vasilyi9 ; 83 
 742 ; Копейка ; 1584-1598 ; Федор Иванович ; Ag ; F-VF ; 31 ; maler ; 376 
 743 ; Денга ; 1584-1598 ; Федор Иванович ; Ag ; F+ ; 8 ; Yar42 ; 139 
 744 ; Копейка ; 1598-1605 ; Борис  Годунов Московский ден.двор ; Ag ; VF ; 43 ; кузьма50 ; 425 
 745 ; Копейка ; 1600 ; Борис Годунов Новгородский ден.двор ; Ag ; VF ; 21 ; aziya11 ; 101 
 746 ; Копейка ; 1603 ; Борис Годунов Новгородский ден.двор ; Ag ; VF-XF ; 54 ; НЗ ; 2338 
 747 ; Копейка ; 1604 ; Борис Годунов Новгородский ден.двор ; Ag ; F+ ; 28 ; Yar42 ; 400 
 748 ; Копейка ; 1598-1605 ; Борис Годунов Псковский ден.двор ; Ag ; VF ; 21 ; maler ; 510 
 749 ; Копейка ; 1605-1606 ; Дмитрий Иванович(Лжедмитрий I) Новгородский ден.двор ; Ag ; F+ ; 35 ; doc2 ; 1000 
 750 ; Копейка ; 1605-1606 ; Дмитрий Иванович(Лжедмитрий I) Новгородский ден.двор ; Ag ; VF ; 38 ; Интересант ; 2570 
 751 ; Копейка ; 1605-1606 ; Дмитрий Иванович(Лжедмитрий I) Псковский ден.двор ; Ag ; F-VF ; 39 ; Норман ; 1224 
 752 ; Копейка ; 1606-1610 ; Василий Шуйский Новгородский ден.двор ; Ag ; F-VF ; 36 ; Норман ; 1020 
 753 ; Копейка ; 1606-1610 ; Василий Шуйский Псковский ден.двор ; Ag ; F+ ; 30 ; zmike1869 ; 351 
 754 ; Копейка ; 1612-1613 ; временный московский денежный двор ; Ag ; VF ; 85 ; НЗ ; 3876 
 755 ; Мечевая копейка ; 1533-1584 ; Иван IV Васильевич ; Ag ; F- ; 16 ; авс19 ; 123 
 756 ; Денга ; 1533-1584 ; Иван IV Васильевич. Тверской денежный двор ; Ag ; F ; 30 ; авс19 ; 137 
 657 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 11 ; bniuyt ; 255 
 658 ; Денга. Василий Темный ; 1425-1462 ;  ; Ag ; F- ; 18 ; НЗ ; 216 
 659 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 7 ; Левин А. ; 306 
 660 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 9 ; vladmarkin ; 266 
 661 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F ; 37 ; bniuyt ; 1143 
 662 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F ; 9 ; vladmarkin ; 126 
 663 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 34 ; Rosomaha ; 627 
 664 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 15 ; Vasilyi9 ; 329 
 665 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F ; 16 ; Jauho ; 276 
 666 ; Денга. Василий Темный ; 1425-1462 ;  ; Ag ; VG ; 17 ; vladmarkin ; 145 
 667 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F ; 54 ; Майкл ; 2947 
 668 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; VF- ; 34 ; Rosomaha ; 340 
 669 ; Денга ; 1533-1584 ; Иван IV Васильевич. Тверской денежный двор ; Ag ; VF- ; 19 ; aziya11 ; 79 
 670 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 22 ; murew ; 83 
 671 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF- ; 18 ; igor26 ; 81 
 672 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 10 ; igor26 ; 71 
 673 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF ; 24 ; murew ; 124 
 674 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF ; 17 ; Mikl2015 ; 92 
 675 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 25 ; murew ; 125 
 676 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF ; 19 ; igor26 ; 81 
 677 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF ; 12 ; igor26 ; 81 
 678 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF- ; 17 ; mandalay ; 90 
 679 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 25 ; ssr ; 125 
 680 ; Денга ; 1533-1584 ; Иван IV Васильевич. Тверской денежный двор ; Ag ; VF ; 43 ; Норман ; 187 
 681 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF ; 12 ; murew ; 113 
 682 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 11 ; wolikaz ; 73 
 683 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; VF- ; 15 ; 21011984andrei ; 161 
 684 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; VF ; 35 ; aziya11 ; 153 
 685 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; VF ; 19 ; murew ; 108 
 686 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; VF ; 23 ; mandalay ; 127 
 687 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; VF- ; 20 ; mandalay ; 109 
 688 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; F-VF ; 10 ; igor26 ; 79 
 689 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; VF- ; 11 ; mandalay ; 83 
 690 ; Копейка ; 1533-1584 ; Иван IV Васильевич. Псковский денежный двор ; Ag ; VF ; 7 ; rirosrob ; 161 
 691 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 43 ; Sky2 ; 699 
 692 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 31 ; Vasilyi9 ; 1247 
 693 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F- ; 18 ; Yar42 ; 255 
 694 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F- ; 11 ; Jauho ; 161 
 695 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 30 ; Норман ; 516 
 696 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 13 ; gelo_oleg ; 452 
 697 ; Денга ; 1462-1505 ; Иван III Васильевич ; Ag ; F-VF ; 21 ; gelo_oleg ; 567 
 698 ; Копейка ; 1610-1612 ; Владислав Жигимонтович Московский ден.двор ; Ag ; F-VF ; 21 ; три хода ; 995 
 699 ; Копейка ; 1610-1612 ; Владислав Жигимонтович Московский ден.двор ; Ag ; VF- ; 23 ; Интересант ; 1918 
 700 ; Копейка ; 1612-1613 ; Второе земское ополчение Ярославский ден.двор ; Ag ; VF ; 27 ; Vasilyi9 ; 1530 
 701 ; Копейка ; 1612-1613 ; Второе земское ополчение Ярославский ден.двор ; Ag ; VF+ ; 50 ; Норман ; 2040 
 702 ; Копейка ; 1605-1606 ; Дмитрий Иванович(Лжедмитрий I) Новгородский ден.двор ; Ag ; VF- ; 33 ; pvg111 ; 963 
 703 ; Копейка ; 1605-1606 ; Дмитрий Иванович(Лжедмитрий I) Псковский ден.двор ; Ag ; VF ; 23 ; три хода ; 1036 
 704 ; Копейка ; 1645-1676 ; Алексей Михайлович ; Ag ; VF- ; 8 ; mandalay69 ; 83 
 705 ; Копейка ; 1645-1676 ; Алексей Михайлович ; Ag ; F-VF ; 5 ; rirosrob ; 123 
 706 ; Копейка ; 1645-1676 ; Алексей Михайлович ; Ag ; VF- ; 3 ; навсегда ; 90 
 607 ; Лот монет России: 2,1 коп (3шт) ; 1797-1875 ;  ; Cu ; G/VG ; 24 ; veektor ; 125 
 608 ; Лот монет России: 2 коп, денга (3шт) ; 1745-1820 ;  ; Cu ; F/VG ; 31 ; leshii40 ; 159 
 609 ; Лот монет России (11шт): 2коп,1/2коп,5пенни,1пенни ; 1811-1914 ;  ; Cu ; XF+/F- ; 44 ; sibirian ; 681 
 610 ; Лот монет России (2шт): 1коп,деньга ; 18-19вв ;  ; Cu ; VG ; 71 ; sarspas ; 2244 
 611 ; Лот монет России (2шт): 2коп,денежка ; 1851-1915 ;  ; Cu ; F+/VG ; 21 ; Bogrus89 ; 118 
 612 ; Денга. Псков ; 1425-1480 ;  ; Ag ; VF- ; 91 ; Andrei2007 ; 1771 
 613 ; Денга ; 1420-1478 ; Великий Новгород ; Ag ; VF- ; 22 ; Luka1 ; 616 
 614 ; Денга ; 1420-1478 ; Великий Новгород ; Ag ; F+ ; 18 ; Luka1 ; 204 
 615 ; Денга ; 1420-1478 ; Великий Новгород ; Ag ; F+ ; 31 ; Luka1 ; 579 
 616 ; Денга ; 1533-1584 ; Иван IV Васильевич. Тверской денежный двор ; Ag ; VF- ; 18 ; Yuri1966 ; 83 
 617 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF- ; 27 ; ssr ; 83 
 618 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 12 ; igor26 ; 71 
 619 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 8 ; igor26 ; 70 
 620 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF- ; 15 ; igor26 ; 81 
 621 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 18 ; ssr ; 19 
 622 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 12 ; igor26 ; 71 
 623 ; Денга. Деформация ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 18 ; igor26 ; 71 
 624 ; Денга ; 1533-1584 ; Иван IV Васильевич. Тверской денежный двор ; Ag ; F-VF ; 8 ; igor26 ; 71 
 625 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 10 ; ssr ; 63 
 626 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF ; 13 ; igor26 ; 81 
 627 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; VF ; 8 ; igor26 ; 81 
 628 ; Денга ; 1533-1584 ; Иван IV Васильевич ; Ag ; F-VF ; 12 ; igor26 ; 71 
 629 ; Денга ; 1533-1584 ; Иван IV Васильевич. Тверской денежный двор ; Ag ; F-VF ; 12 ; igor26 ; 81 
 630 ; Копейка. Михаил Федорович ;  ;  ; Ag ; VF+ ; 5 ; НЗ ; 112 
 631 ; Денга. Псков ; 1425-1510 ;  ; Ag ; F ; 44 ; авс19 ; 1019 
 632 ; Денга. Псков ; 1425-1510 ;  ; Ag ; F ; 26 ; zmike1869 ; 1711 
 633 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F- ; 25 ; Rosomaha ; 1182 
 634 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 50 ; bniuyt ; 1090 
 635 ; Полушка ; 1533-1584 ; Иван IV Васильевич. Новгородский денежный двор ; Ag ; VG ; 22 ; scasi ; 1138 
 636 ; Полушка. Василий III Иванович ; 1505-1533 ;  ; Ag ; VG ; 45 ; scaevola ; 11333 
 637 ; Денга. Суздальско-Нижегородское кн-во. Князь Даниил Борисович ; 15в ;  ; Ag ; F-VF ; 19 ; Rosomaha ; 579 
 638 ; Денга. Князь Иван Андреевич ; 1432-1454 ; Удельное Княжество Можайское ; Ag ; F+ ; 48 ; Monah ; 1310 
 639 ; Денга. Суздальско-Нижегородское кн-во ; 15в ;  ; Ag ; VF- ; 46 ; CaesarAugustus ; 1542 
 640 ; Денга. Суздальско-Нижегородское кн-во ; 15в ;  ; Ag ; F-VF ; 22 ; antongor ; 335 
 641 ; Денга. Суздальско-Нижегородское кн-во ; 15в ;  ; Ag ; VF- ; 35 ; Rosomaha ; 816 
 642 ; Денга. Суздальско-Нижегородское кн-во ; 15в ;  ; Ag ; F+ ; 13 ; antongor ; 335 
 643 ; Денга. Василий Дмитриевич ; 1389-1425 ;  ; Ag ; F ; 21 ; Апрель ; 1247 
 644 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F- ; 13 ; bniuyt ; 405 
 645 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 11 ; Апрель ; 306 
 646 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 29 ; Vasilyi9 ; 1917 
 647 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F- ; 15 ; Jauho ; 293 
 648 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 7 ; Апрель ; 350 
 649 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 19 ; Ивпага ; 293 
 650 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; VF- ; 39 ; Rosomaha ; 1011 
 651 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 32 ; Luka1 ; 347 
 652 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 13 ; Апрель ; 255 
 653 ; Денга. Деформация ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 16 ; Vasilyi9 ; 293 
 654 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F-VF ; 11 ; Апрель ; 266 
 655 ; Денга ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F+ ; 7 ; bniuyt ; 328 
 656 ; Денга. Деформация ; 1425-1462 ; Василий Васильевич(Темный) ; Ag ; F ; 13 ; Yar42 ; 293 
 557 ; 1 пенни ; 1891 ; Финляндия ; Cu ; VF-XF ; 45 ; Vasiliy_t ; 411 
 558 ; 1 пенни ; 1892 ; Финляндия ; Cu ; VF-XF ; 13 ; Vasiliy_t ; 404 
 559 ; 1 пенни ; 1892 ; Финляндия ; Cu ; VF- ; 32 ; Vasiliy_t ; 347 
 560 ; 1 пенни ; 1893 ; Финляндия ; Cu ; XF- ; 39 ; Vasiliy_t ; 273 
 561 ; 1 пенни ; 1893 ; Финляндия ; Cu ; VF+ ; 25 ; franklin ; 255 
 562 ; 1 пенни ; 1893 ; Финляндия ; Cu ; VF-XF ; 14 ; Fontan ; 204 
 563 ; 1 пенни ; 1894 ; Финляндия ; Cu ; VF-XF ; 14 ; Марик ; 351 
 564 ; 1 пенни ; 1894 ; Финляндия ; Cu ; VF-XF ; 15 ; Diamonds ; 283 
 565 ; 1 пенни ; 1895 ; Финляндия ; Cu ; VF-XF ; 21 ; себер ; 450 
 566 ; 1 пенни ; 1898 ; Финляндия ; Cu ; XF- ; 11 ; gdrg2 ; 184 
 567 ; 1 пенни ; 1898 ; Финляндия ; Cu ; VF+ ; 30 ; Карон ; 126 
 568 ; 1 пенни ; 1899 ; Финляндия ; Cu ; VG ; 10 ; Аленка ; 30 
 569 ; 1 пенни ; 1899 ; Финляндия ; Cu ; VF-XF ; 24 ; Карон ; 160 
 570 ; 1 пенни ; 1900 ; Финляндия ; Cu ; AU/XF ; 23 ; tanker1975 ; 255 
 571 ; 1 пенни ; 1900 ; Финляндия ; Cu ; XF- ; 16 ; Alexei ; 184 
 572 ; 1 пенни ; 1902 ; Финляндия ; Cu ; AU/XF ; 7 ; Diamonds ; 283 
 573 ; 1 пенни ; 1905 ; Финляндия ; Cu ; AU/XF ; 12 ; takhizis1313 ; 221 
 574 ; 1 пенни ; 1906 ; Финляндия ; Cu ; VF-XF ; 22 ; Карон ; 173 
 575 ; 1 пенни ; 1906 ; Финляндия ; Cu ; AU ; 29 ; tanker1975 ; 353 
 576 ; 1 пенни ; 1907 ; Финляндия ; Cu ; F-VF ; 20 ; Mikl2015 ; 99 
 577 ; 1 пенни ; 1908 ; Финляндия ; Cu ; VF-XF ; 10 ; flutter ; 157 
 578 ; 1 пенни ; 1908 ; Финляндия ; Cu ; XF- ; 10 ; flutter ; 181 
 579 ; 1 пенни ; 1909 ; Финляндия ; Cu ; AU ; 11 ; Stanislavskiy-89 ; 255 
 580 ; 1 пенни ; 1909 ; Финляндия ; Cu ; XF ; 19 ; Rober ; 81 
 581 ; 1 пенни ; 1909 ; Финляндия ; Cu ; AU ; 46 ; numser ; 152 
 582 ; 1 пенни ; 1911 ; Финляндия ; Cu ; VF+ ; 11 ; ТОМ13 ; 57 
 583 ; 1 пенни ; 1911 ; Финляндия ; Cu ; AU ; 19 ; flutter ; 232 
 584 ; 1 пенни ; 1911 ; Финляндия ; Cu ; XF+ ; 6 ; flutter ; 126 
 585 ; 1 пенни ; 1912 ; Финляндия ; Cu ; AU ; 22 ; numser ; 163 
 586 ; 1 пенни ; 1912 ; Финляндия ; Cu ; VF-XF ; 6 ; ТОМ13 ; 57 
 587 ; 1/2 копейки ; 1912 ; СПБ ; Cu ; VF ; 18 ; NAS2012 ; 112 
 588 ; 1 пенни ; 1913 ; Финляндия ; Cu ; AU ; 14 ; numser ; 208 
 589 ; 1 пенни ; 1913 ; Финляндия ; Cu ; AU ; 7 ; numser ; 152 
 590 ; 1 пенни ; 1914 ; Финляндия ; Cu ; AU ; 24 ; Stanislavskiy-89 ; 242 
 591 ; 1 пенни ; 1914 ; Финляндия ; Cu ; AU/XF ; 8 ; Bogrus89 ; 152 
 592 ; 1 пенни ; 1915 ; Финляндия ; Cu ; XF+ ; 16 ; numser ; 99 
 593 ; 1 пенни ; 1915 ; Финляндия ; Cu ; AU ; 14 ; gdrg2 ; 181 
 594 ; 1 пенни ; 1916 ; Финляндия ; Cu ; AU ; 5 ; numser ; 126 
 595 ; 1 пенни ; 1916 ; Финляндия ; Cu ; XF+ ; 18 ; Fontan ; 92 
 596 ; 1 пенни ; 1916 ; Финляндия ; Cu ; XF+ ; 8 ; ТОМ13 ; 62 
 597 ; 1 пенни ; 1916 ; Финляндия ; Cu ; AU ; 37 ; kotolev1 ; 255 
 598 ; 1 пенни ; 1917 ; Финляндия ; Cu ; XF+ ; 22 ; aidih ; 261 
 599 ; 1 пенни ; 1917 ; Финляндия ; Cu ; XF+ ; 31 ; tanker1975 ; 261 
 600 ; 1 пенни ; 1917 ; Финляндия ; Cu ; XF+ ; 24 ; LIV ; 273 
 601 ; Лот монет Финляндии: 5 пенни (26шт) ; 1899-1917 ;  ; Cu ; XF/F ; 25 ; ga2012 ; 1750 
 602 ; Лот монет России: 2,1 коп, денга (6шт) ; 1737-1910 ;  ; Cu ; VG/G ; 30 ; Andjey2878 ; 222 
 603 ; Лот монет России (3шт): 2 коп ; 1797-1801 ;  ; Cu ; F/F- ; 42 ; Звездолёты ; 449 
 604 ; Лот монет России (5шт): 2 копейки ; 1797-1800 ;  ; Cu ; F/VG ; 40 ; лопата ; 651 
 605 ; Лот монет России (5шт): 2 копейки ; 1797-1801 ;  ; Cu ; F-VF/VG ; 29 ; ga2012 ; 663 
 606 ; Лот монет России (3шт): 2коп,1коп ; 19591916 ;  ; Cu ; VG ; 12 ; wv ; 57 
 507 ; 5 пенни ; 1873 ; Финляндия ; Cu ; VF ; 16 ; vitab ; 259 
 508 ; 5 пенни ; 1873 ; Финляндия ; Cu ; VF-XF ; 51 ; Данила ; 1361 
 509 ; 5 пенни ; 1875 ; Финляндия ; Cu ; F-VF ; 23 ; franklin ; 102 
 510 ; 5 пенни ; 1875 ; Финляндия ; Cu ; F-VF ; 20 ; Mikl2015 ; 139 
 511 ; 5 пенни ; 1875 ; Финляндия ; Cu ; F-VF ; 37 ; Rober ; 133 
 512 ; 5 пенни ; 1888 ; Финляндия ; Cu ; F-VF ; 46 ; tarroman ; 816 
 513 ; 5 пенни ; 1889 ; Финляндия ; Cu ; F-VF ; 16 ; Andrei2007 ; 133 
 514 ; 5 пенни ; 1889 ; Финляндия ; Cu ; F+ ; 9 ; Andrei2007 ; 133 
 515 ; 5 пенни ; 1889 ; Финляндия ; Cu ; VF- ; 17 ; flutter ; 204 
 516 ; 5 пенни ; 1892 ; Финляндия ; Cu ; VF+ ; 21 ; tarroman ; 671 
 517 ; 5 пенни ; 1892 ; Финляндия ; Cu ; VF ; 37 ; aidih ; 496 
 518 ; 5 пенни ; 1896 ; Финляндия ; Cu ; F-VF ; 12 ; Bizon6055 ; 191 
 519 ; 5 пенни ; 1897 ; Финляндия ; Cu ; VF- ; 6 ; Dentum ; 104 
 520 ; 5 пенни ; 1898 ; Финляндия ; Cu ; VF- ; 16 ; Dentum ; 69 
 521 ; 5 пенни ; 1899 ; Финляндия ; Cu ; VF- ; 16 ; Jeff ; 104 
 522 ; 5 пенни ; 1899 ; Финляндия ; Cu ; VF- ; 8 ; flutter ; 117 
 523 ; 5 пенни ; 1901 ; Финляндия ; Cu ; VF ; 8 ; temichek ; 133 
 524 ; 5 пенни ; 1905 ; Финляндия ; Cu ; VF-XF ; 21 ; gdrg2 ; 320 
 525 ; 5 пенни ; 1905 ; Финляндия ; Cu ; VF ; 6 ; Andjey2878 ; 102 
 526 ; 5 пенни ; 1906 ; Финляндия ; Cu ; VF- ; 8 ; lva08 ; 68 
 527 ; 5 пенни ; 1906 ; Финляндия ; Cu ; VF+ ; 12 ; Ravalnath ; 133 
 528 ; 5 пенни ; 1906 ; Финляндия ; Cu ; VF- ; 16 ; Карон ; 88 
 529 ; 5 пенни ; 1906 ; Финляндия ; Cu ; VF ; 8 ; boroda ; 68 
 530 ; 5 пенни ; 1907 ; Финляндия ; Cu ; VF- ; 6 ; 312 ; 57 
 531 ; 5 пенни ; 1907 ; Финляндия ; Cu ; VF- ; 14 ; Карон ; 44 
 532 ; 5 пенни ; 1908 ; Финляндия ; Cu ; VF- ; 16 ; Ravalnath ; 78 
 533 ; 5 пенни ; 1908 ; Финляндия ; Cu ; VF+ ; 6 ; Карон ; 51 
 534 ; 5 пенни ; 1908 ; Финляндия ; Cu ; VF- ; 10 ; boroda ; 40 
 535 ; 5 пенни ; 1908 ; Финляндия ; Cu ; VF- ; 26 ; Карон ; 100 
 536 ; 5 пенни ; 1908 ; Финляндия ; Cu ; VF+ ; 22 ; Mikl2015 ; 105 
 537 ; 5 пенни ; 1911 ; Финляндия ; Cu ; VF- ; 6 ; Аленка ; 69 
 538 ; 5 пенни ; 1913 ; Финляндия ; Cu ; VF-XF ; 8 ; себер ; 101 
 539 ; 5 пенни ; 1914 ; Финляндия ; Cu ; XF- ; 10 ; ТОМ13 ; 101 
 540 ; 5 пенни ; 1915 ; Финляндия ; Cu ; XF- ; 10 ; Ravalnath ; 102 
 541 ; 5 пенни ; 1915 ; Финляндия ; Cu ; AU ; 28 ; kotolev1 ; 340 
 542 ; 5 пенни ; 1916 ; Финляндия ; Cu ; XF- ; 12 ; ТОМ13 ; 72 
 543 ; 5 пенни ; 1916 ; Финляндия ; Cu ; XF- ; 6 ; boroda ; 82 
 544 ; 5 пенни ; 1917 ; Финляндия. Вензель ; Cu ; XF- ; 18 ; tanker1975 ; 153 
 545 ; 5 пенни ; 1917 ; Финляндия. Вензель ; Cu ; AU ; 17 ; ZOLTAN333 ; 313 
 546 ; 5 пенни ; 1917 ; Финляндия. Вензель ; Cu ; VF-XF ; 8 ; tanker1975 ; 164 
 547 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; XF- ; 38 ; Jeff ; 197 
 548 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; AU ; 37 ; ZOLTAN333 ; 313 
 549 ; 5 пенни ; 1917 ; Финляндия. Орёл ; Cu ; AU ; 71 ; VAPK ; 391 
 550 ; 1 пенни ; 1873 ; Финляндия ; Cu ; VF+ ; 55 ; kotolev1 ; 2042 
 551 ; 1 пенни ; 1883 ; Финляндия ; Cu ; VF-XF ; 28 ; flutter ; 357 
 552 ; 1 пенни ; 1883 ; Финляндия ; Cu ; F ; 8 ; franklin ; 114 
 553 ; 1 пенни ; 1888 ; Финляндия ; Cu ; VF-XF ; 36 ; Грызлов АС ; 283 
 554 ; 1 пенни ; 1888 ; Финляндия ; Cu ; VF+ ; 26 ; flutter ; 340 
 555 ; 1 пенни ; 1888 ; Финляндия ; Cu ; VF-XF ; 5 ; Diamonds ; 400 
 556 ; 1 пенни ; 1891 ; Финляндия ; Cu ; VF-XF ; 13 ; Vasiliy_t ; 435 
 457 ; Полушка ; 1736 ; Орёл 1735 г. ; Cu ; F- ; 11 ; Аленка ; 125 
 458 ; Полушка (Петров - 5 руб, Ильин - 5 руб) ; 1745 ; Орёл 1744 г. ; Cu ; VG ; 72 ; SSK ; 2833 
 459 ; Полушка ; 1771 ; ЕМ ; Cu ; F- ; 15 ; EAL34 ; 136 
 460 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 68 ; коррозия ; 2805 
 461 ; 1 копейка "оккупация" ; 1916A ;  ; Fe ; VF- ; 41 ; vitab ; 893 
 462 ; 10 пенни ; 1865 ; Финляндия ; Cu ; VF- ; 13 ; franklin ; 184 
 463 ; 10 пенни ; 1865 ; Финляндия ; Cu ; F+ ; 22 ; Mikl2015 ; 175 
 464 ; 10 пенни ; 1866 ; Финляндия ; Cu ; F-VF ; 17 ; GAVR ; 267 
 465 ; 10 пенни ; 1867 ; Финляндия ; Cu ; VF- ; 27 ; franklin ; 228 
 466 ; 10 пенни ; 1867 ; Финляндия ; Cu ; F+ ; 17 ; franklin ; 171 
 467 ; 10 пенни ; 1867 ; Финляндия ; Cu ; VF- ; 4 ; aidih ; 202 
 468 ; 10 пенни ; 1889 ; Финляндия ; Cu ; F+ ; 47 ; tarroman ; 1203 
 469 ; 10 пенни ; 1891 ; Финляндия ; Cu ; VF- ; 37 ; DaMon15 ; 1219 
 470 ; 10 пенни ; 1891 ; Финляндия ; Cu ; VF ; 7 ; Bizon6055 ; 897 
 471 ; 10 пенни ; 1891 ; Финляндия ; Cu ; F-VF ; 29 ; valerdon ; 510 
 472 ; 10 пенни ; 1895 ; Финляндия ; Cu ; VF ; 35 ; Stanislavskiy-89 ; 592 
 473 ; 10 пенни ; 1895 ; Финляндия ; Cu ; VF ; 43 ; ct200h ; 956 
 474 ; 10 пенни ; 1896 ; Финляндия ; Cu ; F-VF ; 24 ; tarroman ; 654 
 475 ; 10 пенни ; 1897 ; Финляндия ; Cu ; VF+ ; 33 ; Грызлов АС ; 498 
 476 ; 10 пенни ; 1899 ; Финляндия ; Cu ; VF ; 15 ; Карон ; 145 
 477 ; 10 пенни ; 1899 ; Финляндия ; Cu ; F-VF ; 16 ; boroda ; 145 
 478 ; 10 пенни ; 1900 ; Финляндия ; Cu ; VF ; 13 ; Alexei ; 203 
